ENGLISH,FRENCH
Granheim Abbey is just over those mountains. It is a Donari Temple outpost.\! We will be safe there.,L'abbaye de Granheim est juste au-dessus de ces montagnes. C'est un avant-poste du Temple de Donar.\! Nous serons en sécurité là-bas.
"Please keep moving. If the cold does not take us, enemy patrols will.","Continuons de bouger. Si le froid ne nous arrête pas, les patrouilles ennemies le feront."
Am I the only prisoner you found alive?,N'avez-vous pas aperçu d'autre prisonnier ?
"Sorry, friend. You're it.","Désolé, camarade. Il n'y a que toi."
Zelos...,Zelos...
He was with me before they took me.\! He fought to save my life.,Il était avec moi avant qu'ils ne me capturent.\! Il s'est battu pour sauver ma vie.
Our enemy is clever and elusive.\! It is possible that your friend was taken elsewhere.,Notre ennemi est malin et insaisissable.\! Il est possible que ton ami ait été emmené ailleurs.
...What enemy?,...Quel ennemi ?
"Long story, friend.\! We'd best be headin', though. Askin' for a bit of trust here.","C'est une longue histoire, mon ami. \! Mais nous ferions mieux d'y aller. Je demande juste qu'on me fasse confiance."
Of course...,Bien sûr...
