ENGLISH,FRENCH
"\c[1]Interesting.\! You really think it was a good idea coming here, do you?","\c[1]Intéressant.\! Tu penses vraiment que c'était une bonne idée de venir ici, n'est-ce pas ?"
I-I... guess I saw something different about you.\! Any of the others...,Je... je crois que j'ai vu quelque chose de différent chez toi.\! N'importe lequel des autres...
Any of the others would've killed you on sight.\! I sincerely hope for your sake that you have an answer for me.,N'importe lequel des autres t'aurait tué à vue.\! J'espère sincèrement pour toi que tu as une réponse à me donner.
I... I understand.,Je... Je comprends.
"While your interpretation of the texts is somewhat rudimentary, I believe it to be correct.\! Well...\| correct enough for your purposes.","Bien que ton interprétation des textes soit quelque peu rudimentaire, je la crois correcte.\! Eh bien... \| assez correcte pour tes besoins."
"If I am ""correct enough"", then how best to act on this information?\! That said, it disturbs me that you were willing to risk your life to come here.\! I know you have much to gain.","Si j'ai « suffisamment raison », alors comment agir au mieux à partir de cette information ? \! Cela dit, cela me dérange que tu sois prêt à risquer ta vie pour venir ici.\! Je sais que tu as beaucoup à y gagner."
"B-begging your pardon, but we are not so different!","Je te demande pardon, mais nous ne sommes pas si différents !"
"Except that you serve a mad cult, and are so blinded by the promise of reward that you let yourself get kicked around like a dog.\! I will not be following that path, Jebediah.","Sauf que tu sers un culte fou, et que tu es tellement aveuglé par la promesse d'une récompense que tu te laisses battre comme un chien.\! Je ne suivrai pas cette voie, Jebediah."
"Our business is done.\! Leave, following my exact instructions.\! One deviation will likely be your last mistake... and mine.","Nous en avons terminé.\! Pars, en suivant mes instructions exactes.\! Tout écart sera probablement ta dernière erreur... et la mienne."
D-do not waste this chance to make things right...,Ne gaspille pas cette chance d'arranger les choses...
"Any of the others would've killed you on sight.\! And if you don't have a good answer for me, they'll know you're here.","N'importe lequel des autres t'aurait tué à vue.\! Et si tu n'as pas de bonne réponse à me donner, ils sauront que tu es là."
Except that you are so blinded by the promise of reward that you let yourself get kicked around like a dog.\! I will not let that happen to me.,Sauf que tu es tellement aveuglé par la promesse d'une récompense que tu te laisses battre comme un chien.\! Je ne laisserai pas cela m'arriver.
Our business is done.,Nous en avons terminé.
I know you feel alienated by the Nephilim.\! They do not deserve the power they wield.\! But just...\| just please don't hurt my Beatrix...,Je sais que tu te sens aliéné par les Nephilims.\! Ils ne méritent pas le pouvoir qu'ils exercent.\! Mais juste... \| je t'en supplie ne fais pas de mal à ma Beatrix...
...\| Pardon me?!,...\| Pardon ?!
Please...,S'il te plaît...
"...""Your"" Beatrix?\! What, do you think you can win over that unhinged harpy by coming to her rescue?","... « Ta » Beatrix ? \! Quoi, tu penses que tu peux gagner la confiance de cette harpie déséquilibrée en venant à son secours ?"
"Go home, Jebediah. You poor, misguided soul.","Rentre chez toi, Jebediah. Pauvre âme égarée."
