ENGLISH,FRENCH
Chapter 29: Zenith of the World,Chapitre 29 : Zénith du monde
So you chose to remain a slave.\! Pathetic...,Tu as donc choisi de rester esclave.\! Pathétique...
Beatrix...\| My love!\| Y-you will see me again in the next life!,Beatrix...\| Mon amour !\| Tu me reverras dans une prochaine vie !
"""Beatrix, my love""??","« Beatrix, mon amour » ??"
"Oh to be him, poor, poor little Jeb, and desire that which he could never have.\! I believe we have done him a favor by sending him to the void.","Oh, pauvre, pauvre petit Jeb, qui désire ce qu'il ne pourra jamais avoir.\! Je crois que nous lui avons fait une faveur en l'envoyant dans le néant."
"Stop! This man spared my son.\! Assassin, why do you serve Zanatus?","Arrête ! Cet homme a épargné mon fils.\! Assassin, pourquoi sers-tu Zanatus ?"
"...\| I am a dead man whose heart still beats.\! It is the only path left.\! But now I accept defeat, Paladin.\! My life is yours.","...\| Je suis un homme mort dont le cœur bat encore.\! C'est la seule chose qui me reste.\! Mais maintenant, j'accepte la défaite, Paladin.\! Ma vie est la tienne."
"The only path? You speak like you are downtrodden.\! This is what they do - they beat the hope out of you, so that they can fill your emptiness with their evil.\! But there is always hope, even for you.\! If you will turn your skills against the enemy that would throw you at a certain death.","La seule ? Tu parles comme si tu étais déjà battu.\! C'est ce qu'ils font. Ils nous torturent jusqu'à ce qu'on n'ait plus d'espoir. Ensuite ils insufflent leur mal en ton être.\! Mais il y a toujours de l'espoir, même pour toi.\! Si tu retournes tes compétences contre l'ennemi, cela te jettera dans une mort certaine."
"You are wasting your empathy on me, Paladin.\! But if you wish for me to be an ally against the demon cult, then it shall be done.\! When they are all dead, I will disappear from your world forever.","Tu gaspilles ton empathie pour moi, Paladin.\! Mais si tu souhaites que je sois un allié contre le culte des démons, alors je me joins à vous.\! Quand ils seront tous morts, je disparaîtrai de ton monde pour toujours."
"You will get no more fight from me, \n[8]...","Je ne combattrai plus, \n[8]..."
