ENGLISH,FRENCH
"Here we stand, together again.\! You've a lot to answer for, \n[8].","Nous voilà de nouveau réunis.\! Tu as beaucoup d'explications à fournir, \n[8]."
"No matter how many lies you pile onto yourself, you still play the part.\! Some day, Casamir, your lies are going to catch up to you.","Peu importe l'accumulation de mensonges, tu es toujours dans ton rôle.\! Un jour, Casamir, tes mensonges vont te rattraper."
Your glib remarks mean nothing.\! All that matters is my imminent coronation to become Emperor of all Veridia.,Tes commentaires ne valent rien.\! Tout ce qui compte est mon couronnement à venir en tant qu'Empereur de tout Veridia.
"You've built quite a following, you know.\! They say you're the bringer of light, the hero of the West... some even think you're the reincarnation of their god.","Tu t'es composé une sacrée compagnie, tu sais.\! Ils disent que tu portes la lumière, que tu sauveras l'ouest... voire que tu es la réincarnation de leur dieu."
"It seems pretending to be a religious savior to win the hearts of the people nearly won this war for you.\! The Temple is too dangerous to be left intact, as are their beliefs, and their...\| folk heroes.","On dirait bien que de faire semblant d'être un messie pour gagner le cœur des gens a failli te faire remporter la victoire.\! Le Temple est trop dangereux pour être ignoré, tout comme leurs convictions et leurs...\| héros."
Gunners... ready!!!,"Fusiliers, épaulez !"
"Goodbye, \n[8].\! Give my regards to... whatever god you people worship these days.","Adieu, \n[8].\! Salue le Dieu que les gens préfèrent en ce moment de ma part."
FIRE!,FEU !
"\c[1]What have they done, my champion?\! Such folly, such recklessness.\! To cause you such harm...\| all for what?\! To continue this fairy tale, this... prophecy of theirs?!","\c[1]Qu'as-tu donc fait ?\! Quelle folie, quelle imprudence.\! T'avoir fait tant de mal...\| et tout cela pour quoi ?\! Pour faire perdurer ce compte de fées, cette... prophétie ?!"
"\c[1]You have become powerful, my champion. Peerless in this world!\! You know what you must do.\! Do it, and the power bestowed upon you will be yours forever.",\c[1]Tu as acquis un grand pouvoir. Personne dans ce monde ne t'égale !\! Tu sais ce que tu dois faire.\! Accomplis ton devoir et le pouvoir qui t'a été conféré sera tien à jamais.
It shall be done.,Qu'il en soit ainsi.
