ENGLISH,FRENCH
S-Soldiers...\| Attack!!\|\|\|\^,S-Soldats...\| À l'attaque !!\|\|\|\^
No...\| not you...\| It couldn't be...?\| The prophecy is unraveling...\| Uaaaaagggh!!!\|\|\^,Non...\| pas vous...\| Ça ne se peut pas...\| La prophétie se réalise...\| Uaaaaagggh !!!\|\|\^
Is it really...?\|\|\^,Est-ce que c'est vraiment... ?\|\|\^
"Yes.\| It's good to be back, Stefan.\|\|\|\|\^","Oui.\| C'est bon d'être de retour, Stefan.\|\|\|\|\^"
Diana...,Diana...
"The mountain took her, \n[8]...","La montagne l'a prise, \n[8]..."
Please step aside.,Écarte-toi.
...\| \n[8]???\! Why do I see \n[8]...\| Have I perished...?,...\| \n[8] ???\! Pourquoi est-ce que je vois \n[8]...\| Aurais-je péri ?
"Not quite.\! You're doing pretty well, you'll find.",Pas vraiment.\! Tu verras que tu vas plutôt bien.
"Stefan, stand over there.","Stefan, mets-toi ici."
"Uhhhh... okay, sure thing!",Euh... OK !
"What the...\| have you lost yer mind, \n[8]?!!  ...\| Wait a minute...","Mais qu'est-ce que...\| Tu as perdu la tête, \n[8] ?!!  ...\| Un instant..."
Nice trick.\! You should probably do it again.,Joli tour.\! Tu devrais recommencer.
"\n[8], I have questions...\| a chat, please?","\n[8], j'ai quelques questions...\| Tu m'accordes un instant ?"
"Have a little faith, eh?",Essayez un peu d'y croire !
...\|H-Holy mackerel!,...\|Sacrebleu !
Stefan...\| we have been chosen...,Stefan...\| Nous avons été choisis...
"No more running, no more hiding.\! The lines are drawn and the enemy has played his hand.\! Casamir... the Nephilim have arrived, and we're coming for you.","Fini de courir, fini de se cacher.\! Les cartes sont sur table et l'ennemi a joué son tour.\! Casamir... les Nephilims sont là, et ils viennent pour toi."
