ENGLISH,FRENCH
"Your suspicions were correct, Zelos. The survivors of the cult have fled to the east, bound for the unexplored continent. Looks like Grothnor is their destination.","Tu avais raison de te méfier, Zelos. Les survivants du culte ont fui vers l'est, en direction du continent inexploré. On dirait bien qu'ils font route vers Grothnor."
"...Grothnor?\| Ha, those fools have no idea what they're up against. They'd be safer here, hated as they are.","...Grothnor ?\| Ces idiots n'ont aucune idée de ce qui les attend. En tout cas, ils y seront plus en sécurité, vu comment ils sont détestés."
"Maybe so, but that just stengthens my instincts even more.\| Zanatus's dying words still haunt me. I need answers, Zelos.\| Who actually is Donar? Why resurrect me?\| And how?\| I am even still the original me?\! And Zanatus... he had a certain calmness about him before his death. And I believe him...","Peut-être bien, mais mon pressentiment est de plus en plus puissant.\| Les derniers mots de Zanatus me hantent encore. J'ai besoin de réponses, Zelos.\| Qui est vraiment Donar ? Pourquoi me ressusciter ?\| Et comment ?\| Suis-je encore moi-même après ça ?\! Et Zanatus... le calme dont il faisait preuve face à la mort... Et je le crois."
"You are right. He was a manipulator, but ironically, an honest one.\| I felt it just the same.\| Zanatus was just a small piece of a larger puzzle, one that will have dire consequences for Tahnra.","Tu as raison. C'était un manipulateur, mais il était bizarrement sincère.\| Je l'ai ressenti moi aussi.\| Zanatus n'était qu'un pion dans quelque chose de plus grand. Quelque chose qui aura des conséquences dévastatrices sur Tahnra."
"Zelos, do you think the Veridians will ever accept us?","Zelos, est-ce que tu penses que les Véridiens nous accepteront un jour ?"
I think you know. They will never accept me. But they will accept you now.\| But there's a reason you've convinced yourself that you must leave.\! I wonder if you recognize what it is... and how unnecessary it is.,"Je pense que tu le sais déjà. Ils ne m'accepteront jamais. Mais toi, oui.\| Mais il y a une raison pour laquelle tu penses devoir partir.\! Je me demande si tu vas vraiment t'en rendre compte... et voir à quel point c'est inutile."
"Oh, come on... back to quizzing me again?","Et allez, tu me questionnes encore ?"
Yep.,Ouais.
"Fine.\| It's because of you.\| Obviously...\| there, I said it.","OK.\| C'est à cause de toi.\| Évidemment...\| Voilà, je l'ai dit."
And it is entirely unnecessary. I don't need my hand held by you.,Et c'est complètement inutile. Je n'ai pas besoin que tu me tiennes la main.
"Well, you'll get it anyway, you big grump.\| Come on, I'm sure all that time spent in the belly of the beast, you learned the way to the most horrifying depths of Grothnor?","Je vais quand même le faire, grand grincheux.\| Allons, après tout ce temps passé dans le ventre de la bête, tu dois certainement connaître la direction vers les pires horreurs de Grothnor."
"Yes. Get ready for the ride of your life, \n[8].","Oui. Alors prépare-toi pour le voyage de ta vie, \n[8]."
