ENGLISH,FRENCH
Y'always wanted to say you were the best sword in the world.\! I wager ya probably earned that title by now.,Tu as toujours voulu dire que tu étais la meilleure épée du monde.\! Je parie que tu as probablement mérité ce titre maintenant.
"Master Seargent.\! Perhaps, but that was a different time.","Sergent-chef.\! Peut-être, mais c'était une autre époque."
It's real funny hearin' you still call me that.\! Bein' that you're a livin' nightmare now.\! Feels like a higher rank than Master Seargent.,C'est vraiment drôle d'entendre que tu m'appelles encore comme ça.\! Parce que tu es un cauchemar vivant maintenant.\! Ça ressemble à un rang plus élevé que celui de sergent-chef.
"...Barnabas. There are two people in this world who'll always have my blade guarding their lives.\! \n[8], and you.","...Barnabas. Il y a deux personnes dans ce monde qui auront toujours ma lame pour protéger leur vie.\! \n[8], et toi."
"I'm touched, kid.\! I think I'd sooner ya kill me yerself than I boast about havin' a bodyguard like you.","Je suis touché, petit.\! Je pense que je préférerais que tu me tues toi-même plutôt que de me vanter d'avoir un garde du corps comme toi."
...So I've always held back my words when it came to you.\! Out of respect.,...Alors j'ai toujours évité d'en parler quand il s'agissait de toi. \! Par respect.
"Words'll not hurt me, boy.\! What's on yer mind?","Les mots ne me feront pas de mal, mon garçon.\! Qu'est-ce qui te préoccupe ?"
You'll never see the world you want.\! Never.,Tu ne verras jamais le monde que tu veux.\! Jamais.
"Yeah, what's it to ya?\! Doesn't mean I can't fight for it.\! Better'n the alternative, slaughterin' innocents for some insane cause.","Ouais, qu'est-ce que ça peut te faire ?\! Ça ne veut pas dire que je ne peux pas me battre pour ça.\! C'est toujours mieux que massacrer des innocents pour une cause insensée."
"I've always hated people who think like you, Barnabas.\! You think your noble pursuit of peace is actually going to work?\! Perhaps for a short time, before the inevitable regression back to conflict.","J'ai toujours détesté les gens qui pensent comme toi, Barnabas.\! Tu penses que ta noble quête pour la paix va vraiment marcher ?\! Peut-être pour une courte période, avant l'inévitable régression vers le conflit."
"Nothin' a good war'll fix, right?","Rien qu'une bonne guerre ne puisse arranger, n'est-ce pas ?"
"People are at their best when they are called to a cause.\! Without a dragon to slay, we sink into degeneracy.\! Case in point, squabbling, clueless nobles creating the conditions for the Succession War.\! A war in which you fought, and took many lives.\! A war that could have been avoided, had we not lapsed into complacency - enough so to allow such lowlives to reach the halls of power.\! But I know I'll never convince you.","Les gens sont au mieux de leur forme lorsqu'ils sont appelés à défendre une cause.\! Sans dragon à abattre, nous sombrons dans la décadence.\! Par exemple, des nobles qui se chamaillent et qui ne savent pas quoi faire, provoquant ainsi la Guerre de Succession.\! Une guerre dans laquelle tu as combattu et pris beaucoup de vies.\! Une guerre qui aurait pu être évitée, si nous n'avions pas sombré dans la complaisance, juste assez pour permettre à de tels moins-que-rien d'accéder au pouvoir.\! Mais je sais que je ne te convaincrai jamais."
"Ya got that right, kid.\! Brain's too old to make heads or tails of what yer sayin'.\! Sounds more up \n[8]'s alley, heh heh.","C'est bien vrai, petit.\! Mon cerveau est trop vieux pour comprendre ce que tu me dis.\! C'est plutôt une question pour \n[8], ha ha."
"Take care, Master Seargent.\! You're a good man.\! It's too bad things turned out this way.","Prends soin de toi, Sergent-chef.\! Tu es un homme bon. \! C'est dommage que les choses aient tourné de cette façon."
