ENGLISH,FRENCH
Hello again Diana...,Rebonjour Diana...
...Snuck up on me there.\! ...How long have you been there?,Je ne t'ai pas vu arriver.\! Ça fait longtemps que tu es là ?
"Aha, is that for me?\! Me like eat.","Ah, c'est pour moi ?\! J'aime manger."
"Heh...\| Yes, I've attempted to extend our supplies by using fewer base ingredients, while mixing in some local flora.","Hé...\| Oui, j'ai tenté de préserver nos vivres en utilisant moins d'ingrédients de base et en incluant de la flore locale."
"By Donar, you are too kind to me. You don't have to keep this up...","Par Donar, tu es trop gentil avec moi. Tu n'es pas obligé..."
But my muscles do appreciate it.,Mais mes muscles te sont reconnaissants.
...Yes big...\| I-I mean!!\| I'm sure they...,"...Oui, grande...\| Enfin, je veux dire... !\| Je suis sûre que..."
"Yep, thought so.",C'est bien ce que je pensais.
"It's just...\| No, I don't mean to... It's just who you are... you're just a mystery to me.",C'est juste que...\| Je ne voulais pas... Tu es un mystère pour moi...
"Mmhmm. I suppose, for your sake, I will have to convince myself that it is my ""mysterious personality"" that has you fixated.",Mmhmm. Je vais te faire une fleur et supposer que c'est ma « mystérieuse personnalité » qui te trouble.
Heh... yeah.\| I shall now hide for the rest of my life. Good day.,"Oui, voilà...\| Bon allez, je vais me cacher pour le restant de mes jours. À plus."
