ENGLISH,FRENCH
Chapter 11: Taking Fort Eureeka,Chapitre 11 : Prendre le Fort Eureeka
"Bonanza! So many little toy soldiers on the battlefield, just for me.\! Very well, if my actions today will grease the wheels of power, so be it.","Bonanza ! Tant de petits soldats de plomb sur le champ de bataille, rien que pour moi.\! Très bien, si mes actions d'aujourd'hui graissent les roues du pouvoir, qu'il en soit ainsi."
"\c[1]Just enough to stop their momentum, Beatrix!\! Don't kill everyone right now - we need more time to prepare for the next phase!","\c[1]Il en faut juste assez pour stopper leur élan, Beatrix !\! Ne tuez pas tout le monde maintenant - nous avons besoin de plus de temps pour nous préparer à la prochaine phase !"
"Quiet, old man, I was born for this...\| It's time, my poor little soldiers... come to Beatrix!","Silence, vieil homme, je suis née pour ça...\| Il est temps, mes pauvres petits soldats... Venez à Beatrix !"
"Th-that mage is some sort of demon!!\! Men of Isanter, full retreat!!","Ce mage est une sorte de démon !!\! Soldats d'Isanter, battez en retraite !!"
...How dare you? Did I order you to retreat?\! I am not bored with slaughtering you yet!,...Comment osez-vous ? Vous ai-je ordonné de battre en retraite ?\! Je ne suis pas encore fatigué de vous massacrer !
Damn. We're on our own out here.\! If you want something done right...,Merde. Ils nous ont abandonné ici.\! Si vous voulez que quelque chose soit bien fait...
"That enemy sorceress singlehandedly decimated Isanter's most elite forces...\! Unless you've got something up your sleeve, \n[8], I pray you find a way to avoid sending our troops anywhere near her.","Cette sorcière ennemie a décimé à elle seule les forces d'élite d'Isanter... \! A moins que tu n'aies quelque chose dans ta manche, \n[8], je prie pour que tu trouves un moyen d'éviter d'envoyer nos troupes près d'elle."
Noted. Let's see how this shakes out.,C'est noté. Voyons comment ça se passe.
"My gracious... these ones are feisty.\! Oh well, I've had my fill.\! Have fun playing war, darlings.","Mon Dieu... Ceux-là sont courageux.\! Oh, j'ai eu ma dose.\! Amusez-vous bien à jouer à la guerre, mes chéris."
"If we don't see her again, it'll be too soon.","Si nous ne la revoyons pas, ce sera pour le mieux."
"Sigh... what a bore, these temple types.\! But I do think I've sent enough of them to the void for today.\! Have fun playing war, darlings! Nap time for Beatrix.","Soupir... quel ennui, ces types de temple.\! Mais je pense que j'en ai envoyé assez dans le néant pour aujourd'hui.\! Amusez-vous bien à jouer à la guerre, mes chéris ! C'est l'heure de la sieste pour Beatrix."
