ENGLISH,FRENCH
"Hey there, Sybil was it?\! \n[8] says you're good people so you're alright with me.\! Good fightin' out there.","Salut, Sybil, c'est ça ? \!\n[8] m'a dit que vous êtes quelqu'un de bien, donc je vous fais confiance aussi.\! Vous vous êtes bien battue."
"Thanks! Hey, right back at you Mr. Barnabas.\! Pretty good for an old farmer type.","Merci ! Hé, je vous retourne le compliment M. Barnabas. \! Plutôt impressionnant pour un vieux fermier."
"That's Master Sergeant Barnabas to you, lady!","C'est le Sergent-chef Barnabas pour vous, madame !"
"Yeah, whatever.\! Hey just let me know if you need to take a rest, I am a healer, ya know!","Ouais, peu importe.\! Faites-moi savoir si vous avez besoin de vous reposer, j'ai des talents de guérison vous savez !"
What the-\! Sharp tongue on this one!,Qu'est-ce que...\! Vous avez la langue bien pendue !
"Hey now, just giving you a hard time!\! Figured a military guy like yourself would be used to it!",Je ne fais que vous taquiner !\! J'ai pensé qu'un militaire comme vous y serait habitué !
"Never was the type to go straight into the jokes.\! Gotta feel someone out a bit first!\! Ya know, wine 'n dine me before ya ask for a kiss, heh heh!","Je n'ai jamais été du genre à plaisanter à la première rencontre.\! J'aime d'abord me faire une meilleure idée de la personne !\! Vous savez, j'aime bien qu'on m'invite à dîner avant qu'on essaye de m'embrasser, ha ha ha !"
"Um... ewww?\! Sorry Mr. Farmer, I'm keepin' my options open right now!","Euh... beurk ? \! Désolé M. le Fermier, je garde mes options ouvertes pour le moment !"
!!!\! What the-\! That ain't what I meant!,!!!\! Qu'est-ce que...\! Ce n'est pas ce que je voulais dire !
"Hahahaha! Too easy!\! Hey I like you.\! Let's stick together out there, eh?\! Seems I'm not the only one with something to learn!","Hahahaha ! Trop facile !\! Hé, je vous aime bien. \! On se serre les coudes jusqu'au bout, hein ?\! Il semble qu'il n'y ait pas que moi qui ait quelque chose à apprendre !"
"Sigh...\| You're gonna be trouble, I can tell.\! Glad you're on our side!","Soupir... \| Vous allez m'apporter des ennuis, je le sens.\! C'est une bonne chose qu'on soit dans le même camp !"
