ENGLISH,FRENCH
Hey Abigayle! Are you glad to be back in Lemelin?,Salut Abigayle ! Alors ? Contente de retrouver Lemelin ?
"Yes... but I must admit, I prefer the cold, and the snow, of Granheim Abbey. There is a certain magic to it that I cannot explain!","Oui, mais je dois avouer que je préfère la neige froide de l'Abbaye de Granheim. Ça a quelque chose de magique que je ne saurais expliquer."
Interesting. Aren't you from the hottest country in Tahnra?,Intéressant. Pourtant tu viens du pays le plus chaud de Tahnra.
"I have no memory of my place of birth. To be honest, it is just another part of my life that sets me apart from most Sayunaari.\! I am a Priestess of the Sisterhood of Mercy... the Temple is my calling, and my home.\! My brother sorely wants to visit Sayunaa with me, but then again...","Je n'ai aucune mémoire de mes terres natales. Franchement, c'est un autre aspect de ma vie qui me différencie de la plupart des Sayunaari.\! Je suis une prêtresse de la Sororité de la Miséricorde... Le Temple est ma vocation et mon foyer.\! Mon frère insiste pour visiter Sayunaa avec moi, mais..."
...He pretty much wants to do anything and is thrilled about the idea.,"En fait, il s'emballe toujours pour un rien et donc voilà."
Ha ha ha... yes! Exactly!,Ha ha ha ! C'est bien ça !
"So... you're supposed to be assigned to a Paladin, right? How's that goin'?","Et... Tu es donc supposée être assignée à un Paladin, c'est bien ça ? Comment ça se passe ?"
"It does not happen at any given time... sometimes it does not happen at all.\! You see, the Sisterhood of Justice is far smaller in number than my holy order.\! And eligible female Paladins number even fewer.\! I do not hold the same aspiration to be Bonded as Sister Edelia is, but it must be such an honor to be Bonded with the greatest of all Paladins!\! I can only hope to fulfill my duty to serving the Temple and pursuing a life as directed by holy Donar.","Cela ne se passe pas comme ça. Des fois, ça n'a même pas lieu.\! Tu vois, la Sororité de la Justice est bien plus petite que mon ordre saint.\! Et les femmes éligibles à devenir Paladin sont en plus petit nombre encore.\! Je ne partage pas la même aspiration que Sœur Edelia à être assignée, mais ce doit être un tel honneur que de collaborer avec la plus grande des Paladins !\! Je ne peux qu'espérer faire au mieux mon devoir envers le Temple et mener une vie telle que la dicte Saint Donar."
"Yeah.\| Wait, what about that drakeling you adopted?\! Is that in Donar's plans for you?","Ouais.\| Attends, et tu fais quoi du petit dragon que tu as adopté ?\! Ça fait partie du plan de Donar ?"
Ahhh... please don't mention Nibbler to the Temple officials!\! But... I am still working on bonding with him.\! It seems it will take some time...,"Ahhh... Mais... Mais... Je travaille encore à tisser des liens avec lui.\! Ça prend un peu de temps."
"You'll figure it out, I'm sure. Seems like the kid is a real fighter.","Tu vas y arriver, c'est certain. Il m'a l'air d'être un battant."
"I am not quite sure, but I think he insists on being by my side in this war. I do hope to see him survive, and grow to enjoy life...","Je n'en suis pas entièrement certaine, mais je pense qu'il insiste pour rester à mes côtés dans cette guerre. J'espère qu'il y survivra et qu'il grandira suffisamment pour apprécier la vie."
