ENGLISH,FRENCH
"\c[1]Eastwall Fortress, Inner keep\c[0]","\c[1]Forteresse d'Eastwall, donjon intérieur\c[0]"
You all survived...,Vous avez tous survécu...
"And you as well, which begs the question... how?","Et toi aussi, ce qui soulève la question... comment ?"
"Someone, or something greater than us all, saw fit to change things in a big way.\! Perhaps one day, I will have a better explanation than that.","Quelqu'un, ou quelque chose de plus grand que nous tous, a jugé bon d'intervenir.\! Peut-être qu'un jour, j'aurai une meilleure explication que cela."
"This is the Nephilim Army.\! Everyone in this room, and everyone who travels with us.\! This army's purpose is to dismantle Casamir's empire.\! If you don't wish to go with me, I won't hold it against you.","C'est l'armée des Nephilims.\! Tout le monde dans cette pièce, et tous ceux qui voyagent avec nous.\! Le but de cette armée est de démanteler l'empire de Casamir.\! Si tu ne veux pas venir avec moi, je ne t'en voudrai pas."
Raskuja has not yet fulfilled his contract - to slay all enemies of \n[8].\! He will remain.,Raskuja n'a pas encore rempli son contrat... tuer tous les ennemis de \n[8].\! Il restera.
"Those bastards destroyed my life's goal!\! I'm gonna make them pay, one way or another!","Ces salauds ont détruit le but de ma vie !\! Je vais les faire payer, d'une manière ou d'une autre !"
"There is no other path to justice for this world. I stand with you, \n[8]!","Il n'y a pas d'autre chemin vers la justice pour ce monde. Je suis avec toi, \n[8] !"
"I think the people have spoken.\! The old crew's back together, and for good this time, yeah?","Je pense que le peuple a parlé.\! L'ancienne équipe est de nouveau réunie, et pour de bon cette fois, hein ?"
All I've had are friends.\! But now I consider all of you family.\! None of you are allowed to die...,"Tout ce que j'ai eu, ce sont des amis.\! Mais maintenant, je vous considère tous comme ma famille.\! Aucun d'entre vous n'a le droit de mourir..."
"\n[8], please follow me to the rooftop.\! Before you reinforced us, we captured a luxury airship that was parked here.","\n[8], suis-moi sur le toit, s'il te plaît.\! Avant que tu ne rejoignes nos rangs, nous avons capturé un dirigeable de luxe qui était garé ici."
