ENGLISH,FRENCH
"Jules...\| Where have you been?\! This isn't like you, avoiding all of us.",Jules...\| Où étais-tu ?\! Ça ne te ressemble pas de nous éviter.
"Really?\! Yeah, I guess that's not really like me...\| I'm sorry, \n[8].","Vraiment ?\! Oui, je suppose que ce n'est pas dans mes habitudes...\| Désolé, \n[8]."
"Haha, don't be sorry!\! I'm supposed to be leading this army and I can't have one of my best officers drifting away and...\| keeping secrets from me.","Ha ha, ne sois pas désolé !\! Je suis aux commandes de cette armée et je ne peux pas me permettre de perdre l'un de ses meilleurs officiers...\| ni qu'il me cache des choses."
W-What secrets?,Qu... Quelles choses ?
Jules...,Jules...
"...Oh, did you...\! No, I swear, I didn't mean a thing!\! I-I thought I had lost my journal, but...\| How did...?!","...Oh, est-ce que tu as...\! Non, je le jure !\! Je pensais avoir perdu mon journal, mais...\| Comment est-ce que..."
...So you didn't mean it?,Alors tu ne le pensais pas ?
???\| Do you mean...???,???\| Tu veux dire que...
Very well.\! I guess I'll leave it alone...,Très bien.\! Je ne m'en préoccuperai plus.
"No, wait!!\! \n[8]...","Non, attends !!\! \n[8]..."
...What is it?,Qu'y a-t-il ?
"...\| Of COURSE I meant it!!\! \n[8], I have never met someone like you...\| I've always thought of myself as the one who has to pick up everyone else.\! But with you... I don't have to!\! It's you who does that to me!","...\| Bien sûr que je le pensais !!\! \n[8], je n'ai jamais rencontré quelqu'un comme toi...\| Je me suis toujours vu comme celui qui devait jouer le joli cœur devant tout le monde.\! Mais avec toi... Ce n'est pas le cas !\! C'est toi qui me fais ça !"
Jules...\| Anyone should feel privileged to hear such things from someone as kind-hearted as you...,Jules...\| C'est un privilège d'entendre une telle chose venant de quelqu'un avec un aussi grand cœur que le tien.
"What a dangerous time this is.\! But I think we will be just fine if we are there for each other.\! Would you stand by me in this life, \n[8]?","Nous vivons une époque dangereuse.\! Mais tout ira bien si on reste aux côtés l'un de l'autre.\! Est-ce que tu vas rester à mes côtés, \n[8] ?"
"I can't imagine going forward any other way, Jules...","Il n'en sera jamais autrement, Jules..."
