ENGLISH,FRENCH
"Stefan, a moment?","Stefan, tu as un instant ?"
"\n[8]! Of course! Although I warn you, I am nursing my 3rd glass of brandy, so I preemptively strike from the record any incriminating statements.\! What can I do for you, friend?","\n[8] ! Bien sûr ! Par contre, je te préviens : j'en suis à mon troisième brandy donc il faudra pas prêter trop attention à toute parole malencontreuse.\! Que puis-je faire pour toi ?"
"You are working with the Temple as a spy, I understand?",J'ai cru comprendre que tu travailles pour le Temple en tant qu'espion ?
"Yep. Y'see, the blonde and I are in cahoots, as they say.","Ouais. La blonde et moi on est de mèche, comme ils disent."
You mean Diana.,Tu veux dire Diana.
"Yes! That's the one.\! Ya know, the one that's got a big ole' muscle where Donar usually puts a sense 'a humor.\! ...Ah what am I sayin', she's a big goofball if you let her relax a bit.\! Wanna get on her good side in a flash? Food. Even mentioning it makes her eyes sparkle with glee.","Oui ! La blonde.\! Tu sais, c'est celle chez qui Donar a mis des muscles là où il met le sens de l'humour d'habitude.\! Bon après c'est vrai qu'elle sait s'amuser quand on la laisse se détendre un peu.\! Tu veux être dans ses petits papiers rapidement ? La nourriture. Il suffit d'en parler pour voir ses yeux briller."
"Heh, noted. So, you're risking your life on the Temple's behalf, are you a devotee?","C'est noté. Donc, tu risques ta vie pour le compte du Temple. Tu es un dévot ?"
"Well... Let me bring ya back 2 or 3 years.\! Got tired of the junk peddlin', purse cuttin', y'know, small time stuff.\! Got involved with the Tidereavers. Real bad fellas.\! Let me tell you, bein' THAT much of an outlaw is the thrill of a lifetime.\! That is, until you get involved with... y'know. Their primary cargo. Slaves!","Eh bien... Ça remonte à 2 ou 3 ans.\! J'en ai eu marre de voler des sacs et de commettre de petits larcins.\! Je me suis encanaillé avec les Brise-vagues. De sacrés démons, ceux-là.\! Laisse-moi te dire que d'être hors-la-loi à ce point c'est des pointes d'adrénaline, camarade !\! En tout cas ça l'était jusqu'à... ben, tu sais, non ? Leur marchandise principale. Les esclaves !"
Crazy...\| So what happened?,C'est dingue...\| Et du coup ?
"They were shippin' slaves to the fungus plantations of Greyden.\! A common source of income for those dogs.\! I, however, was able to help myself to the captain's jewel chest while they were dealin' with a ""policing action"" by the Veridians.\! Almost slipped away, but then... I saw her.\! That towering titaness of terror. She came out of the Imperial ships barrellin' around, smashin' those pirates like they were gnats.\! I tell ya, you would not believe it if ya didn't see it!","Ils envoyaient des esclaves dans les plantations de champignons de Greyden.\! C'est de là qu'ils tiraient l'essentiel de leurs revenus.\! Moi je m'occupais de me servir dans le coffre du capitaine du navire pendant qu'ils s'occupaient d'un contrôle de l'armée Veridienne.\! Je me suis presque enfui quand... je l'ai vue.\! Cette titan de la terreur. Elle est sortie d'un des navires impériaux et elle a haché menu tout l'équipage de ces pirates.\! Je te jure, il fallait le voir pour le croire."
So how did you end up crossing paths with her?,Et comment tu as fait sa connaissance ?
"Well... y'see...\! She caught me! Hahaha!\! But, no worries, this slippery toad avoided jail, as usual.","Eh bien, en fait...\! Elle m'a pris la main dans le sac. Ha ha ha !\! Mais ne t'en fais pas. Cette bonne vieille anguille a glissé de ses menottes, comme d'habitude."
"Aha... snuck away, huh?","Oui, tu t'es échappé, n'est-ce pas ?"
"Yeah!\! Well...\| no.\! Y'see Diana and I made an agreement!\! She needed masters of espionage to investigate those cultists.\! So, I do some dirty work, and she keeps me nice and legal.\! Turns out, we're a hell of a team.\! Plus, I've found me new family in the Temple folks.\! Real bleedin' nice, I tell ya.","Ouais !\! Eh bien...\| non.\! Tu vois, Diana et moi on a conclu un marché.\! Elle avait besoin de maîtres espions pour mener l'enquête sur ces cultistes.\! Du coup je fais ses basses besognes et elle me jette pas en prison.\! Et au final, on fait une sacrément bonne équipe !\! En plus, les gens du Temple sont devenus ma nouvelle famille.\! Et ça c'est génial, je peux te le dire."
"That's quite a story.\! And now you're here, chasing prophecies with me.",C'est une sacrée histoire.\! Et maintenant te voilà à mes côtés en train de courir après des prophéties.
"It's gonna be one hell of a ride, friend!\! Hey, I think you're alright. I mean that.\! You got my back, I got yours.\! 'Specially if you can secure me another spot of brandy, eh, eh?","Et jusqu'à présent, je ne suis pas déçu.\! T'es quelqu'un de chic. Je le pense vraiment.\! Tu me protèges, je te protège.\! Et encore plus si tu me trouves une autre caisse de brandy, tu vois ce que je veux dire ?"
