ENGLISH,FRENCH
Hey \n[8]...\| are you sure you've forgiven me?,Salut \n[8]...\| Est-ce que tu as trouvé un pardon à m'accorder ?
"Hmmmm, maybe.",Hum... Peut-être.
...Oh.,...Oh.
"Heh, sorry. I figured that was obvious.\| Just... try not to listen to Lysander's honeyed words for a while, huh?","Pardon. J'ai pensé que ce serait évident.\| Essaie juste de ne pas écouter les mots mielleux de Lysandre pendant un moment, d'accord ?"
"Of course, \n[8]...\| I will be by your side for the rest of my days, with all of my heart, I swear it!\! So, we must leave Veridia? Your mind is made up?","Bien sûr, \n[8]...\| Je serai à tes côtés pour le restant de mes jours avec tout mon cœur, je le jure !\! Alors, nous devons quitter Veridia ? Tu as pris ta décision ?"
"My role in the Millennium War is over. Zanatus is finally dead.\! I came close to losing myself completely, Abi. I can't face the people of Armitage again...\| not for a while.","Mon rôle dans la Guerre Millénaire touche à sa fin. Zanatus est enfin vaincu.\! Je n'ai pas été loin de faillir, Abi. Je ne peux plus me tenir en face des habitants d'Armitage...\| pour un moment, du moins."
"I understand. If they will not have you, then they will not have me just the same.\! What lies ahead for us, \n[8]?","Je comprends. S'ils ne veulent plus de toi, alors ils ne voudront pas de moi non plus.\! Qu'est-ce que nous réserve l'avenir, \n[8] ?"
"Zanatus's dying words still haunt me. I felt no deception in those words. Zanatus's hatred for Donar, and for me, cannot be described.\! He felt a certain peace in his final moments. As though he'd finished his job.\! We have reports that some of the Followers of Zanatus went into exile, far to the East, bound for Grothnor of all places.","Les derniers mots de Zanatus me hantent encore. Je n'ai pas senti de mensonge en eux. La haine de Zanatus envers Donar et moi-même est indescriptible.\! Il a ressenti une certaine paix dans ses derniers moments. Comme s'il avait accompli son œuvre.\! On a reçu des informations comme quoi des Acolytes de Zanatus se sont exilés à l'est, principalement à Grothnor."
Grothnor? I've never heard of this place!,Grothnor ? Je n'ai jamais entendu parler de cet endroit.
"A frozen hellscape far to the east in the unexplored continent.\| They say Zanatus himself emerged from a bottomless pit in the heart of Grothnor, though these are likely tall tales.","Ce sont des terres gelées, loin à l'est, dans le continent inexploré.\| On dit que Zanatus lui-même y a émergé d'un puits sans fond, mais ce sont surtout des fables."
Sounds dreadful.,Ça a l'air terrible.
We will see.\| So you're willing to leave behind your dragons?,Nous verrons bien.\| Tu vas donc laisser tes dragons ici ?
!!!\| I wouldn't dream of it! That is why we will be using Nibbler as our primary means of transport.\! Did you expect anything different?,!!!\| Même pas en rêve ! Mâchouille va nous servir de moyen de transport.\! Tu t'attendais à autre chose ?
"Haha, I suppose not.\| I just hope I don't have to compete for your attention.","Ha ha, je suppose que non.\| J'espère juste que j'aurai aussi un peu de ton attention."
"Hey, Abi...\| thank you for coming into my life. I couldn't imagine walking this journey without you.",Abi...\| merci de faire partie de mon existence. Je ne peux imaginer ce voyage sans toi.
"We are so blessed that Donar allowed us to cross paths, \n[8]!\| Let us see if we can seek him out and thank him ourselves...","Heureusement que Donar a fait se croiser nos chemin, \n[8] !\| Allons à sa recherche pour l'en remercier nous-mêmes."
