ENGLISH,FRENCH
Chapter 15: Westerfield Escape,Chapitre 15 : Évasion de Westerfield
"We'll get 'im, Diana.\! Just like we'll save all of 'em from these bastards.","On va l'avoir, Diana.\! Tout comme nous allons tous les sauver de ces bâtards."
"...All in due time.\! Now we must escape to the safety of Centurion's Rest.\! If we can cross the bridge to the east, we can destroy it, and cut off the Imperial army's advance.","...Tout en temps voulu.\! Maintenant, nous devons nous échapper vers la sécurité du Repos du Centurion.\! Si nous pouvons traverser le pont à l'est, nous pourrons le détruire et couper la progression de l'armée impériale."
"They're using the river as their escape route.\! Do not harm the children, but the rebel fighters are forsaken.","Ils utilisent la rivière comme itinéraire de fuite.\! Ne faites pas de mal aux enfants, mais n'ayez pas de pitié pour les combattants rebelles."
"You hear that, boys? That masked freak show wants us to go easy on these snot-nosed little goblins.\! Ignore him, our orders come from the Emperor! Slay them!","Vous entendez ça, les gars ? Ce pauvre type masqué veut qu'on laisse ces sales morveux tranquilles.\! Ignorons-le, nos ordres viennent de l'Empereur ! Tuez-les !"
"Do not engage the black knight!\! Everyone, move, on the double!","N'affrontez pas le chevalier noir!\! Tout le monde, bougez, allez !"
We can't destroy the bridge until it's clear!,Nous ne pouvons pas détruire le pont tant qu'il n'est pas dégagé !
"If we destroy the bridge, any children still out there will be stuck on the other side.","Si nous détruisons le pont, tous les enfants encore en liberté seront coincés de l'autre côté."
Yes,Oui
No,Non
