ENGLISH,FRENCH
"Barnabas, can you believe it?\! We're out here, doing what we prepared to do for years.","Tu y crois, ça, Barnabas ?\! Nus voilà ici à faire ce pour quoi nous nous sommes préparés pendant des années."
"Haven't seen battle since you were a street urchin, \n[8].\! Never thought I'd have to pick up the sword again, but it feels like a warm hug from mother.\! Can't put a price on that!","Tu n'as pas connu le combat depuis que tu étais un enfant des rues, \n[8].\! Je n'aurais jamais pensé reprendre les armes, mais cette sensation c'est comme si mère m'embrassait.\! Ça n'a pas de prix."
How am I doing?\! Feels like I'm making it up as a I go along.,Comment je fais ?\! J'ai l'impression que j'invente au fur et à mesure.
Ya never really know what you're made of until you're walking the tightrope between life and death on the regular.\! You haven't cracked under the pressure yet.\! By that measure you're right where you need to be.,"On ne sait jamais ce qu'on vaut vraiment tant qu'on n'a pas fait l'équilibriste entre la vie et la mort.\! Tu n'as pas encore craqué sous la pression.\! Sachant cela, tu es parfaitement à ta place."
Not too surprised. Remember yourself as a young street urchin?,Ce n'est pas surprenant. Tu te souviens quand tu étais un enfant des rues ?
It's a bit foggy...,"Pas très bien, non."
"That war turned too damned many kids to orphans.\! But out of all of 'em, you showed up at our barracks shinin' as bright as a star.\! You just kept on goin', even without single coin to show for it.\! Puts a pauper above a noble in my eyes any day.","Cette guerre a trop fait d'orphelins.\! Mais parmi ces orphelins, un seul s'est montré à notre caserne.\! Tu n'avais pas un sou, mais la vie continuait.\! À mes yeux, vous valiez plus que ces bourgeois."
"I seem to have everyone fooled, then.\! I have so much doubt about myself.\! I don't know why you or someone else much more experienced than I just take over.",On dirait bien que j'ai jeté de la poudre aux yeux de tout le monde.\! Je doute tellement de moi.\! Je ne sais pas pourquoi je ne passe pas le flambeau à toi ou quelqu'un d'autre de plus expérimenté que moi.
"You try that and I'm going back into retirement, heh heh.\! All I wanna do now is bust some bad guys.\! Lots easier than havin' real responsibility.\! You gotta fight through that doubt, kiddo. No reason for it. Believe me when I tell you, you've got this handled.","Si tu fais ça, je repars à la retraite, hé hé.\! Tout ce dont j'ai envie en ce moment c'est de donner une leçon à ces scélérats.\! C'est plus facile que d'avoir de vraies responsabilités.\! Ton premier combat sera contre ces doutes qui t'assaillent. Ils sont injustifiés. Crois-moi quand je te le dis : tu as bien les choses en main."
"Thanks...\! Guess I'll just have to learn to throw you into the front line first, eh?",Merci...\! Il me reste encore à apprendre comment te placer en première ligne.
"If there's a good reason for it, kid!",Tant qu'il y a une bonne raison de ce faire !
