ENGLISH,FRENCH
\c[1]Embor Palace\c[0],\c[1]Palais d'Embor\c[0]
"Please don't ever leave me like that again, Sybil...","Ne me quitte plus jamais comme ça, Sybil..."
"What am I going to do with you, Sybil...",Qu'est-ce que je vais bien pouvoir faire de toi ?
"...Thank you for looking out for me, \n[8].","Merci de faire attention à moi, \n[8]."
"Sybil, let me tell you about what it means to be a Paladin.\! We are not brutes, nor do we desire for ourselves.\! A Paladin has been forged in the fire of battle for most of their lives, and is punished harshly for pursuing worldly reward, or succumbing to fear.\! We must be ready to die for Donar.","Sybil, laisse-moi te raconter ce que cela signifie d'être Paladin.\! Nous ne sommes pas des brutes et nous ne connaissons pas le désir pour nous-mêmes.\! Une Paladin est forgée dans la combat pendant une grande partie de son existence et se retrouve sévèrement punie pour son orgueil ou avoir succombé à la peur.\! Nous devons être prêtes à mourir pour Donar."
"Even though evil forces have nearly destroyed us, the Paladins will live on.\! Under normal circumstances, you as a female must have bore a child to a father of the Temple's choosing.\! But we are living in extraordinary times, and our sacred order needs you.","Même si les forces du mal ont failli nous exterminer, les Paladin continuent d'exister.\! Dans des circonstances normales, en tant que femme, tu aurais du concevoir un enfant avec un homme choisi par le Temple.\! Mais nous vivons des temps si agités et notre ordre sacré a plus que jamais besoin de toi."
"Yes, I understand.","Oui, je comprends."
"Should you become a Sister of Justice, your sole purpose will be as a divine weapon of war, and you will wield the essence of divinity as your armor and weapon.\! With this power comes the burdens we bear - discipline, sacrifice, temperence...\! Are you prepared for this, Sybil?","Tu devrais devenir une Sœur de la Justice. Ton but serait d'officier en tant qu'arme divine et tu porterais l'essence divine par ton arme et ton armure.\! Mais ces pouvoirs ont un coût : discipline, sacrifice, tempérance...\! Est-ce que tu es prête, Sybil ?"
"I want nothing more, ma'am...\| I am prepared to do whatever it takes!!","Je ne désire rien de plus en ce monde, Madame.\| Je suis prête à tout pour en être digne !"
"Psst... I think you should probably call her ""Sister"" now...","Psst... Je crois que tu devrais l'appeler « Sœur », maintenant."
"Then from now on, until you depart this world, you are a Paladin.\! Serve Donar and the cause of good and justice until your last breath.\! I am honored to welcome someone as brave as you, Sister Sybil.","Alors à partir de cet instant et ce jusqu'à ton départ de ce monde, tu seras une Paladin.\! Sers Donar et la cause du bien et de la justice quitte à en tirer ton dernier souffle.\! Je suis honorée d'admettre parmi nous quelqu'un d'aussi courageuse que toi, Sœur Sybil."
Thank you...\| thank you so much...,Merci...\| Merci infiniment.
