ENGLISH,FRENCH
"Gotta say, Abigayle, you're a whole lotta courage in a small package.\! Takes a lot to keep spirits up these days I tell ya!","Je dois dire, Abigayle, que tu as beaucoup de courage.\! Il en faut beaucoup pour garder le moral ces jours-ci, je te le dis !"
"Oh... thank you, my friend.\! Truthfully, I could not do so without the fellowship of all of you, and my dear brother.","Oh... merci, mon ami.\! Sincèrement, je ne pourrais pas le faire sans le soutien de vous tous, et de mon cher frère."
"Heh, yeah.\| Say, you think all this prophecy stuff is gonna work?\! Not like we got anymore options...","Ha, ouais. \| Dis, tu crois que ce truc de prophétie va marcher ?\! C'est pas comme si on avait d'autres options..."
"...\| It must, Stefan.\! As you say, there is no other way.\! We have followed Sister Diana this far. But it is not she who we follow, it is our divine mission.\! We carry the last torch of Donar's presence in this world...","...\| Il le faut, Stefan.\! Comme tu le dis, il n'y a pas d'autre moyen.\! Nous avons suivi Sœur Diana jusqu'ici. Mais ce n'est pas elle que nous suivons, c'est notre mission divine.\! Nous portons la dernière flamme de la présence de Donar dans ce monde..."
Yikes... well when you put it that way... heh.,Ouille... Quand tu le dis comme ça... hm.
Say...\| anyone ever told you you're a real catch?,Dis...\| On t'a déjà dit que tu étais jolie ?
"I am sorry, I do not know what you mean, dear Stefan.","Je suis désolée, je ne comprends pas ce que tu veux dire, cher Stefan."
"A real catch!\! Y'know, fetching 'n all that.","Une vraie prise !\! Tu sais, attirante et tout ça, quoi."
"...Oh my stars, Stefan...","...Oh mes étoiles, Stefan..."
Yeeeeesss?,Ouuuiiii ?
"You really are as shameless as they say!\! Well, dear Stefan...","Tu es vraiment aussi effronté qu'on le dit!\! Eh bien, cher Stefan..."
"Go ahead princess, you can tell me anything!","Vas-y princesse, tu peux tout me dire !"
"I...\|I am sorry, but I only like handsome, masculine men.\! Don't worry, I'm sure you will find a nice woman who will see you differently!","Je...\|Je suis désolée, mais je n'aime que les hommes beaux et masculins.\! Ne t'inquiète pas, je ne doute pas que tu trouveras une gentille femme qui te verra différemment !"
W-w-w-whaaaaaat?!\! But...\| but...\| but...,QU... Quoi ?!\! Mais...\| mais...\| mais...
"Well, I must be going, my friend.\! We have a tough battle ahead, I wish you luck!","Je dois y aller, mon ami.\! Nous avons une bataille difficile à mener, je te souhaite bonne chance !"
Only...\| like...\| handsome...\! Ghaaaaaahhh!!! Come back!,Aime...\| seulement...\| beaux...\! Aaaaaahhh !!! Reviens !
