ENGLISH,FRENCH
"\c[1]Ezrum, fortress city in Western Sayunaa\c[0]","\c[1]Ezrum, ville fortifiée de l'ouest de Sayunaa\c[0]"
"Everyone is in place, right?",Tout le monde est en place ?
"Yes.\! Even so, we are taking a great risk coming here.",Oui.\! Nous prenons de grands risques à venir ici.
"Jules, Narima, I'm counting on you to coordinate the strike if needed.\! You know these lands better than anyone...","Jules, Narima, je compte sur vous pour coordonner la frappe si nous en avons besoin.\! Vous connaissez ces terres mieux que personne..."
"We will be watching every moment, \n[8].\! Please, be careful.","Rien ne nous échappera, \n[8].\! Soyez prudents."
"Jules, please wait.","Jules, attends."
Yeah?,Ouais ?
"This is the homeland of our people.\! They will not look highly on you and I cooperating with Veridians.\! Please, do not put yourself in danger in this mission.","Ce sont les terres natales de ton peuple.\! Ils ne verront pas d'un bon œil le fait que toi et moi coopérions avec les Véridiens.\! Je t'en prie, ne te mets pas en danger pendant cette mission."
"Wow, is it really that bad?",Eh bien... C'est si grave que ça ?
"You will just have to trust me.\! Call me for assistance for any reason.\! Come, let us get into position.","Il va juste falloir que tu me fasses confiance.\! N'hésite surtout pas si tu as besoin d'aide.\! Allez, en position."
