ENGLISH,FRENCH
Beatrix... I have so much to ask you.,Beatrix... J'ai tellement de choses à te demander.
"\n[8]... please, ask away.\! I'll talk as long as I'm not bored.\! It helps that you are pretty. Don't let anyone tell you that being pretty isn't important!","Vas-y, \n[8].\! Je répondrai tant que tu ne m'ennuieras pas.\! Heureusement que tu n'es pas désagréable à regarder. Ne laisse personne te dire que les apparences n'importent pas."
"You're of the Pendergast family?\! As in, Edmund Pendergast? Richest person alive?",Tu es de la famille Pendergast ?\! Comme Edmund Pendergast ? La personne la plus riche du monde ?
"Yes indeed, the very same.",Tout à fait.
You must stand to inherit untold riches.,Tu dois être l'héritière de richesses inimaginables.
"Well, I do deserve all the world's riches...\| but that doesn't mean the old man's going to bequeath his fortune solely to me.\! He's got an army of sycophants looking to take a bite out of his empire at all times.\! Guess we'll see when that cold, ancient heart of his finally gives out.",Eh bien je les mérite après tout.\| Mais ça ne veut pas dire que le vieil homme me léguera tout à moi toute seule.\! Il a une armée de lèche-bottes qui ne cherchent que leur part du gâteau.\! Je verrai bien quand son vieux cœur froid finira par lâcher.
"...Not the closest with your father, huh?","Tu n'es pas très proche de ton père, n'est-ce pas ?"
"Oh really?\! What ever gave it away?? Ha!\! No, maybe someday I'll tell you why.",Vraiment ?\! Comment as-tu deviné ? Ha !\! Peut-être qu'un jour je te dirai pourquoi.
No worries. I'm wondering how Pendergast came into his wealth.\! Almost seems unfair.,Pas de soucis. Je me demande seulement comment Pendergast a pu amasser une telle fortune.\! C'en est presque injuste.
"When the lion slays the gazelle, would you rather lament the unfairness of nature, or try to become the lion?\! You know anything about the Aetherium Crisis?","Quand tu vois le lion manger la gazelle, est-ce que tu préfères te lamenter sur l'injustice de la nature ou devenir toi-même le lion ?\! Tu as déjà entendu parler de la Crise de l'Aetherium ?"
"I like to say I'm a history nerd, so yes.","J'aime beaucoup l'histoire, donc oui."
"Well, well, poindexter, you're in for a treat.\! Pendergast has always been around, but once the world got a nice facelift from the destruction caused by the Aetherium Crisis, Pendergast was there to buy up all the cheapened real estate.\! That, and they financed the reconstruction efforts from shore to shore.\! That sort of thing pays off, big time.\! 'Tis the banker who rules the world, without swinging a sword.\! Wait a few generations, invest the earnings, and now they control whoever they can buy.\! You know, that does sound pretty unfair, now that you mention it.","Alors tu vas adorer.\! Pendergast n'a jamais raté une bonne occasion. Lorsque le monde a repris de zéro après toute la destruction qu'a causée la Crise de l'Aetherium, il s'est jeté sur toutes les terres qui ont perdu de la valeur et allaient en retrouver.\! Il y a eu ça, et il a aussi financé la reconstruction d'une côte à l'autre.\! Le genre d’affaire qui paie bien...\! Ce sont les banquiers qui gouvernent le monde, sans lever d'épée.\! Il suffit d'attendre quelques générations en investissant les gains et les voilà à commander tous ceux qu'ils peuvent acheter.\!  Ça ne me parait pas bien juste, maintenant que tu le dis."
"So in lieu of you inheriting this fortune, what exactly has lead you down this path?","Et donc, au lieu de juste être une future héritière, qu'est-ce qui t'a fait choisir ce chemin ?"
...And what path would that be?,De quel chemin tu parles ?
I guess I don't know that one either.,Je suppose que je n'en sais rien non plus.
"I will confess... I sometimes feel like an alien living among humans.\! Your customs and earthly pleasures bore me.\! What really gets me going is seeing what kind of disruption I can weave.\! Right now, that puts me on your side.\! But later, if I should develop the means, I'm not sure! I could just become your greatest adversary, if doing so is entertaining to me.\! ...Does that make you nervous?","Je vais te dire... Je me sens parfois comme une étrangère au milieu des humains.\! Vos habitudes et vos plaisirs m'ennuient.\! Ce qui me motive, c'est la pagaille que je vois que je peux semer.\! Et en ce moment, ça fait que je suis de ton côté.\! Mais je ne peux pas le garantir pour plus tard. Je pourrais bien devenir ta plus grande adversaire si ça me divertit.\! Ça te fait stresser ?"
"Yep, a little.\! But I'm a better judge of character than you think.\! If I truly felt that you would bring us down, I'd let you know.\! But I don't feel that way.","Un peu oui.\! Mais je suis un bien meilleur juge des gens que tu ne le penses.\! Si je pensais que tu pouvais vraiment mener à notre perte, je te le dirais.\! Mais ce n'est pas mon impression."
Awww... so trusting. Easier to devour when I'm good and ready.,Moooh... c'est trop mignon comme tu as confiance. Tu n'en seras que plus facile à dévorer le moment venu.
"Beatrix, you are a character.","Beatrix, tu es une sacrée personnalité."
"And you have successfully entertained me, but I can already feel boredom creeping in.\! Do be a dear and visit me some other time, mmm?","Et toi, tu as bel et bien réussi à me divertir. Par contre, je sens l'ennui revenir.\! Fais-moi plaisir et reviens me voir de temps en temps, d'accord ?"
Of course. Enjoy!,Bien sûr. Porte-toi bien !
