ENGLISH,FRENCH
"\c[1]Isanter Palace, headquarters of the Western Army\c[0]","\c[1]Palais Isanter, siège de l'armée occidentale\c[0]"
"That predictable oaf, Terenor...\! like a child playing with a cannon, the man deserves not the power he wields.","Quel lourdaud prévisible, ce Terenor...\! comme un enfant qui joue avec un canon. Il ne mérite pas le pouvoir qu'il exerce."
It should be a simple matter to overcome an oaf.,Il devrait être facile de vaincre un tel boulet.
"Would that I could wish it true, Diana.\! Harold, what are we looking at?","Je souhaite que ce soit vrai, Diana.\! Harold, qu'est-ce que nous regardons ?"
"Sixty-thousand men, against our own twenty-thousand, my lord.\! An unknown amount of gun and cannon divisions from the Imperial Army will be backing Terenor as well.\! Our 1st Heavy Cavalry has finally mobilized at Fort Findorian, giving us some breathing room.","Soixante mille hommes, contre vingt mille dans notre camp, mon seigneur.\! Une quantité inconnue de divisions d'armes et de canons de l'armée impériale soutiendra également Terenor.\! Notre 1ère cavalerie lourde s'est enfin mobilisée à Fort Findorian, ce qui nous donne un peu de répit."
And we have the Temple warriors on our side...,Et nous avons les guerriers du Temple de notre côté...
"As long as we control the river, let the Eastern Army come.\! We will destroy bridge after bridge until their supplies run dry.","Tant que nous contrôlons la rivière, laissons venir l'armée de l'Est.\! Nous détruirons pont après pont jusqu'à ce que leurs réserves soient épuisées."
Make them starve for going on the offensive.\| Terenor might just be dull-witted enough for that to work...,Faisons-les mourir de faim pour passer à l'offensive.\| Terenor est peut-être juste assez bête pour que cela fonctionne...
You have learned nothing since the Succession War.,Vous n’avez rien appris depuis la guerre de Succession.
Who is this disrespectful child?!\! You will address this council properly!,Qui est cet enfant irrespectueux?\! Tu vas t'adresser à ce conseil comme il se doit !
"\n[8], was it?\! This is the one who was key in recapturing Trucea.","\n[8], n'est-ce pas ? \! C'est toi qui as joué un rôle clé dans la reconquête de Trucea."
\n[8]...,\n[8]...
"The enemy has more men and material. You cannot hope to win a war of attrition.\! But their army is retreating and regrouping since their loss at Trucea.\! The time to strike is now while they are off balance. If not now, then never.\! If they were to lose Fort Eureeka, it would be a painful effort for them to continue offensive operations.","L'ennemi a plus d'hommes et de matériel. Vous ne pouvez pas espérer gagner une guerre d'attrition.\! Mais leur armée bat en retraite et se regroupe depuis leur défaite à Trucea.\! Le moment de frapper est maintenant, pendant qu'ils sont déséquilibrés. Si ce n'est pas maintenant, alors ce ne sera jamais.\! S'ils devaient perdre Fort Eureeka, il leur serait pénible de poursuivre des opérations offensives."
You can't expect me to just commit my soldiers to this...,Tu ne peux pas t'attendre à ce que j'engage mes soldats dans cette bataille...
"Duke Lothair, we have reason to trust in \n[8]'s judgement.\! ...\| I will accept personal responsibility if \n[8]'s plan fails.","Duc Lothair, nous avons des raisons d'avoir confiance dans le jugement de \n[8].\! ...\| J'en prendrai personnellement la responsabilité si le plan de \n[8] échoue."
"If this adventure is a failure, your ""personal responsibility"" will mean very little to us when the enemy has removed all of our heads.","Si cette aventure est un échec, ta « responsabilité » ne signifiera pas grand-chose pour nous lorsque l'ennemi nous aura tous décapités."
"...\| If we can shock Terenor with a dramatic move, he may lose his enthusiasm for war.\! This land does not need another generation lost.","...\| Si nous pouvons choquer Terenor avec un coup spectaculaire, il pourrait perdre son envie de participer à cette guerre.\! Cette terre n'a pas besoin d'une autre génération perdue."
"\n[8], we will support you how we can. Donar be with us.","\n[8], nous te soutiendrons comme nous le pouvons. Que Donar soit avec nous."
I can't guarantee anything.\! But a small chance is better than no chance.,Je ne peux rien garantir.\! Mais une petite chance vaut mieux que pas de chance du tout.
"I sincerely hope you know what you're doing, Diana...","J'espère sincèrement que tu sais ce que tu fais, Diana..."
I do not presume to know.\! All that matters is that I believe.,"Je ne prétends pas le savoir.\! Tout ce qui compte, c'est que je crois."
