ENGLISH,FRENCH
"It is like a game of chess.\! You will command groups of soldiers known as ""Squads"", and each squad will have a leader.","C'est comme les échecs.\! Tu commandes des groupes de soldats appelés « escouades », et chacune a son meneur."
"You appear as blue, and the enemy team appears in red.",Tu apparais en bleu et les ennemis sont en rouge.
"Time to engage in combat!\! First, you must move your squad next to me.\! Select your squad, then select the tile next to my squad on the map to move.","Il est temps d'engager le combat !\! Tout d'abord, déplace ton escouade près de moi.\! Sélectionne ton escouade sur la carte, puis la case à côté de la mienne pour te déplacer."
"Right. Now, it's time to attack.\! Choose the attack option, then target me.\! Careful, defenders will counter attack if they can!","Bien. Maintenant, passons à l'attaque.\! Choisis l'option d'attaque et vise-moi.\! Fais attention, les défenseurs riposteront s'ils le peuvent !"
This isn't exactly fair...,Ce n'est pas très juste...
"I am one soldier with one sword.\! You're going to command a whole army some day - you must think of yourself as a leader, and your followers are your sword and shield.\! First things first, show me what you've got!","Je suis un soldat solitaire avec une seule épée.\! Un jour, tu commanderas une armée entière. Tu dois te voir comme un meneur et ceux sous tes ordres comme ton épée et ton bouclier.\! Mais d'abord, montre-moi ce que tu as dans le ventre."
Not bad.\! Now let's raise the stakes.,Pas mal.\! On va passer à plus compliqué.
"You're now leading a squad with a good balance of troop types.\! You've got heavily-armored troops in front, or ""Heavy Infantry.""\! Always rely on Heavy Infantry to serve as the backbone of your army, not only to protect weaker allies, but to rush down and attack.\! Your squad also has 3 ""Archers"".\! These long-range troops are not as sturdy, but can attack from a distance, avoiding counter-attack.","Tu es maintenant aux commandes d'une escouade avec des troupes plus équilibrées.\! Tu as des troupes avec armure lourde en première ligne, « l'infanterie lourde ».\! Tu peux compter sur ton infanterie lourde pour maintenir ton armée debout et pas seulement pour protéger les alliés plus faibles. Mais ne va pas te précipiter.\! Ton escouade dispose aussi de trois « archers ».\! Ce sont des unités à distance qui ne sont pas bien résistantes, mais qui peuvent attaquer de loin et ainsi éviter les contre-attaques."
"Your turn is up for now.\! Access the menu, and ""End Turn"" to proceed.","Ton tour est terminé, pour le moment.\! Va dans le menu et sélectionne « Mettre fin au tour » pour continuer."
"Now you're ready.\! Attack me, and try to take me down!","Maintenant, c'est le moment.\! Attaque-moi et essaie de me vaincre !"
"Nothin' to it. There's a great deal more to learn.\! But for now, you should be able to lead our forces against Antares.\! As we progress, tutorials will pop up, and you'll be able to access them whenever you want.","Ce n'est que le début. Tu as encore beaucoup à apprendre.\! Mais, pour le moment, tu devrais pouvoir commander nos troupes contre Antarès.\! De nouveaux tutoriels apparaîtront à mesure que tu progresses. Tu pourras les consulter de nouveau quand bon te semble."
