ENGLISH,FRENCH
"Well met, \n[8].","Quel plaisir de te revoir, \n[8]."
Narima. I must say.\! Your plan to restore the proper King of Sayunaa...\| it must have taken years to get right.\! And it went off without a hitch!,Narima. Je dois bien l'admettre...\! Ton plan pour rasseoir son digne héritier sur le trône de Sayunaa...\| Cela a dû te prendre des années à le mettre au point.\! Et ça s'est passé sans accroc !
"It was indeed a delicate operation, but it required the strength of your army.\! The Scions of Dargon simply fulfilled their duty.","En effet, c'était une opération délicate, mais il a fallu la force de toute une armée.\! Les Scions de Dargon ont simplement fait leur devoir."
"Right...\| So, that's it? You're done?\! Jules gets to be King, and then what?","Tout à fait...\| Alors, c'est tout ? Tu as terminé ?\! Jules devient Roi et maintenant ?"
We Sayunaari are driven strongly by the preservation of our culture.\! It means more to us than material reward.,Nous les Sayunaari prenons très à cœur la préservation de notre culture.\! Cela représente plus pour nous que les choses matérielles.
"No, I mean...\| You've given so many years of your life to this cause, and endured so much hardship...","Non, je veux dire...\| Tu as consacré tellement d'années de ta vie à cette cause et vécu les plus grandes difficultés..."
"I have, yes \n[8]...","C'est vrai, \n[8]..."
Do you think it changed you?\! Defined you?\! You've told me about having to integrate yourselves with the Tidereaver pirates...,Tu penses que ça t'a changée ?\! Que ça t'a définie ?\! Tu m'as parlé d'intégrer les pirates Brise-vagues...
...I do not know why you ask these questions.,Je ne sais pas pourquoi tu poses ces questions.
"Because I endured quite a bit myself, Narima.\! Not in the same way as you, but I went most of my childhood unsure of my next meal.\! That sort of thing is difficult to shake off. Well, it is for me.","Parce que j'ai moi-même beaucoup enduré, Narima.\! Pas de la même manière que toi, mais j'ai passé l'essentiel de mon enfance à ne pas savoir ce que j'allais pouvoir manger.\! C'est quelque chose qui marque à vie. En tout cas pour moi."
"\n[8], the people who died by my hand...\| So many were innocent.\! The slave routes I had to protect...\| it was all for the mission.\! Else, the Tidereavers would have undermined our entire efforts.\! Yes, it did change me.\! I do not know if I will ever, as you say, ""shake it off"" either.","\n[8], les personnes qui sont tombées sous mes coups...\| Tant étaient innocentes.\! Les routes du commerce d'esclaves que j'ai dû protéger...\| Tout cela était au nom de ma mission.\! Autrement, les Brise-vagues auraient mis nos efforts à mal.\! Et oui, cela m'a changée.\! Et cela pourrait bien me marquer à vie, comme toi."
"Yeah. You know, that's why I've always felt we share a certain spirit.\! We both know what it is like to live, day by day, without the least be reassurance of our well being.","Oui. Tu sais, c'est pour cette raison que je nous considère proches dans nos expériences.\! On sait ce que ça signifie de vivre au jour le jour, sans assurance de notre bien-être."
"I certainly have developed a deep admiration for your character, \n[8].\! Whether it is for the reasons you state, I do not know.","J'ai en effet développé une certaine admiration pour ton personnage, \n[8].\! Je ne sais pas si c'est pour les mêmes raisons que les tiennes."
"Narima... \|Now that your primary mission is complete, I would ask you consider allowing me to get to know you, truly and deeply.\! It's...\| an energy I feel around you.\! Can't shake it... but I don't want to.","Narima... \|Maintenant que ta mission est accomplie, j'espère que tu me permettras de mieux te connaître.\! C'est...\| cette énergie que je ressens autour de toi.\! Je n'arrive pas à m'en défaire... et je ne veux pas m'en défaire."
\n[8]... you honor me...\| it would please me greatly to develop my connection with you...,\n[8]... tu m'honores trop...\| J'apprécierais grandement de développer notre relation...
"It's only fitting.\! You and I, versus the world, right?\! Except we're not scared of being completely alone anymore.\! We will be able to rely on each other, even when surrounded by the darkness.","Ce n'est que la suite logique des choses.\! Toi et moi contre le monde entier, n'est-ce pas ?\! Sauf que nous n'aurons plus jamais peur de la solitude.\! Nous nous aiderons mutuellement, même au beau milieu des ténèbres."
"...\| You and I, against the world...",...\| Toi et moi contre le monde...
