ENGLISH,FRENCH
"...Hey, you.",... hé toi.
You look well. I'm glad they've given you the freedom you deserve.,T'as l'air en forme. Tant mieux si tu as retrouvé ta liberté tant méritée.
"...\|In a sense, the guards have been agreeable.\| And of course, I am a model inmate.","...\|Les gardes ont été plutôt sympas.\| Et puis, je suis un détenu modèle."
"Heh...\| yeah, I have no doubt.","Euh... \| ouais, je n'en doute pas."
"There is no need for discomfort on your part, \n[8].\| This is penance for my own foolish actions, and how I proposed to repay my debts to my homeland.\! I can only hope the people see it as I do.","Il ne faut pas se sentir gêné, \n[8].\| C'est ma pénitence pour tous mes actes stupides, ma manière à moi de me racheter vis-à-vis de ma terre natale.\! J'espère que les gens verront les choses sous cet angle."
"It seems self-imposed penance is all the rage these days, huh.","La pénitence volontaire a le vent en poupe, hein."
"Indeed, and if I may impose, yours is entirely pointless.\| You are the hero of the age.","Si je puis me permettre, tout ceci est injustifié.\| Tu es héroïque."
"...So, I hear your articles are really making waves.\| I mean, that's not surprising, but... you're already serving in a government position before the end of your sentence?","... Alors, il paraît que tes articles font parler d'eux.\| Il n'y a rien de surprenant, mais... t'as déjà un poste au gouvernement avant même d'avoir purgé toute ta peine ?"
"Yes. It is a largely ceremonial role for the time being, but I am humbled to know that my articles have been so well-received.\! The Proconsulate has offered me the honor of being a founding father of sorts.\! A bizarre fate for a man like me, but a responsibility I feel obligated to fulfill.","Oui. Pour l'instant c'est un rôle très cérémonial, mais ça me touche de savoir que mes articles font florès.\! Le Proconsulat m'a fait l'honneur de m'offrir un rôle de père fondateur.\! Étrange destin pour un homme comme moi, mais je sens que c'est mon devoir."
"That is wonderful, Lysander.\| You deserve no less, and our country needs what you have to offer desperately.\! This is truly who you were meant to be. If I can hope one thing for my loved ones, to fulfill the purpose etched by your birth is it.","C'est merveilleux, Lysandre.\| Tu ne mérites pas moins que ça, et tes loyaux services servent notre pays.\! Tu es à ta place. Mon seul souhait serait que les être aimés accomplissent la mission qu'il leur est assignée depuis la naissance."
...Loved ones...,... les être aimés...
"Of course.\| Always, Lysander...\| nothing, no one could touch my life as you have.","Bien sûr.\| Toujours, Lysandre... \| rien ni personne n'a eu autant d'influence sur ma vie que toi."
I wish you would renounce this love entirely.\| ...\| I wish that I could.,Si seulement tu avais totalement renoncé à cet amour.\| ...\| J'aurais aimé en avoir la force.
"Yeah, not so easy, is it?","Ouais, pas évident, n'est-ce pas ?"
Will you ever return to Veridia?,Reviendras-tu un jour à Veridia ?
"You know I can't say.\| And... you know how I feel about it.\| About us.\| I need you to embrace your new life, and to let me go.\! If I return, if we do see each other again, I need to see you thriving. Happy, and fulfilled. Even if it's not with me.\! That is the only way either of us can survive the future, Lysander...","Tu sais que je ne puis répondre.\| Et... et tu sais ce que je ressens.\| Toi et moi.\| Je veux que tu épouses ta nouvelle vie, que tu me laisses partir.\! Si je reviens, si on se revoit un jour, je veux te voir rayonner. Nager dans le bonheur, la plénitude. Même sans moi.\! Ce sera notre seule façon de survivre à l'avenir, Lysandre..."
...\|\| Imagining life without you...\| it's so empty.\| So meaningless.,...\|\| Imaginer ma vie sans toi... \| c'est le néant.\| C'est si vide de sens.
"No, you're wrong!\| Stop getting trapped by your own hubris.\| You are in charge of your destiny now, you'll make that meaning.\| ...Don't suffer, Lysander.\| Please...","Non, tu as tort !\| Ne laisse pas l'orgueil te happer.\| Tu tiens ta destinée entre tes mains à présent, ce sens, tu le trouveras.\| ... S'il te plaît..."
I'm sorry. It is not possible to be pleased with losing you.,Pardonne-moi d'avoir abordé le sujet. Je ne puis me résoudre à te perdre et à m'en réjouir.
"I'm not lost.\| Not yet. A demon god couldn't take me down, I'm not about to throw in the towel for what ever awaits me.","Tu ne me perds pas.\| Pas encore. Je n'ai pas flanché face au démon, je ne jetterai pas l'éponge face aux nouvelles épreuves."
"Of course.\| Donar watch over you, \n[8]...","Bien sûr.\| Que Donar veille sur toi, \n[8]..."
"Thank you, Lysander... and you as well.",Merci Lysandre... la même chose pour toi.
