ENGLISH,FRENCH
"So, you really mean it, don't you?","Alors, tu le penses vraiment ?"
"Yeah....\| this is the way it's going to be. For a while, anyway.",Ouais... \| ce sera comme ça. Pour un bon moment.
Oh...\| alright. If you say so...,Ah...\| entendu. Si tu le dis...
"Oh, Jules.\| King Kasim Jules Dargon.\| I know I needn't remind you... the people of Sayunaa need you!","Oh, Jules.\| Roi Kasim de Dargon.\| Inutile de te le rappeler... le peuple de Sayunaa a besoin de toi !"
...\| More than you do?,...\| Plus que toi ?
"Jules, I...\| can't imagine going forward without you. I can't imagine the last two years had you not been there.","Jules, je... \| ne m'imagine pas avancer sans toi. Si tu n'avais pas été là ces deux dernières années..."
We must deal with what's in front of us...,Il nous faut affronter ce qui nous attend...
"I have an entire Kingdom now. All the wealth anyone could ever ask for. Willing servants, powerful allies...\| \n[8], it feels so empty.","Je détiens tout un Royaume désormais. Toutes les richesses imaginables. Des serviteurs dévoués, de puissants alliés...\| \n[8], tout paraît si vide."
"...You've got to find meaning in it all, Jules! No one else can do it for you, you are in the spotlight now!\! I know what you mean, the empty feeling. But, how about...\| one final order from me before you are officially discharged from the Nephilim Army. Would it help to think of it like that?","... Tu saisiras le sens de tout cela, Jules ! Nul autre ne peut agir à ta place, tu es dorénavant sur le devant de la scène !\! Cette impression de vide, je la comprends. Et si... \| je te donnais un ordre ultime avant ton renvoi officiel de l'armée des Nephilims. Ça t'aiderait de voir les choses sous cet angle ?"
I'm listening...,J'écoute...
"You've got to be strong! You have to find meaning for yourself, even if you must create it from thin air.\! You're a King now, and that will make you many enemies... don't let them get the best of you!\! It's time to put away your bow, and to wield your new role as your tool to reshape the world as you see fit.\! I will return to Sayunaa some day, and it had better be the gleaming land it's meant to be under the new King's glorious reign!","Tu dois être fort ! Tu dois toi-même trouver un sens à tout cela, même s'il faut le bâtir à partir de rien.\! Dorénavant tu es roi, ce qui t'attirera des ennemis... ne te laisse pas intimider !\! Il est temps de te libérer de ton arc, d'incarner ton rôle, de remodeler le monde comme bon te semble.\! Quand je regagnerai Sayunaa, je compte retrouver une contrée prospère, telle qu'elle aurait dû l'être sous le glorieux règne du Roi !"
"...\|I think I can handle that, \n[8].","...\|Je me sens à la hauteur, \n[8]."
"Heh, good! You are discharged with honor, King Jules.\! I won't forget you...","Hé, c'est une bonne chose ! C'est un honneur de te renvoyer, roi Jules.\! Je ne t'oublierai pas..."
