ENGLISH,FRENCH
"Oh, look. It seems someone forgot to clean up the scum here.\! Pah, what happened to service?!","Oh, regarde. On dirait que quelqu'un a oublié de faire le ménage ici.\! Pfff, quel service minable."
"Hello. Come to say your piece, have you?",Bonjour. Tu es venu mettre ton grain de sel ?
"Feeling beat up already, mmm? That just makes me want to crush your spirit even more.",Tu en as déjà marre ? Ça me donne juste envie de t'écraser plus encore.
"You may be disappointed, Beatrix. I am quite at peace.\! One should follow their convictions, even in the face of certain defeat, lest they fall into crushing obscurity.","J'ai peur de te décevoir, Beatrix. Je suis en paix.\! Il faut savoir suivre ses convictions, même en face de la défaite, faute de les voir sombrer dans l'obscurité."
Blah blah blah...\| Peace?! You would be in pieces if \n[8] was not around to protect you from me!,Bla bla bla...\| La paix ? Je t'aurais taillé en pièce si \n[8] n'était pas là pour te protéger !
"Yes, of that I'm sure. And for that, I am grateful.\! One should never hope to find themselves on your bad side.\! Well... if there ever were to be a modicum of rhyme or reason to your...\| child-like whimsy.","Oui, c'est certain. Et j'en suis reconnaissant.\! Personne n'aimerait faire de toi son ennemi.\! Si seulement ton...\| caractère enfantin avait un sens."
"What the...?!\! What child-like whimsy?! I assure you, my victims are ordained by Donar! Do you see? Donar's power crackles from my fingertips. My divine precident is unquestionable!\! Take that back, little man!","Comment ça ... ?!\! Caractère enfantin ? Je peux t'assurer que toutes mes victimes ont été choisies par Donar. Tu as vu ? Le pouvoir de Donar fait des étincelles au bout de mes doigts. Ma mission divine est indéniable !\! Retire ces paroles, petit homme !"
Heh heh...\| So you've become an acolyte of the Temple now?\| There's that child-like whimsy on full display.\! You really are hopeless.,"Hé hé.\| Alors tu es devenue une acolyte du Temple, maintenant ?\| Voilà ces fantaisies enfantines au grand jour.\! Tu es une cause perdue."
"My my, Lysander...\| what happened? Did you become a big boy overnight? I must say, this new-found persona of yours...\| impresses me.","Eh bien, Lysandre...\| que se passe-t-il ? Est-ce que tu es devenu un grand garçon pendant la nuit ? Je dois bien avouer que ta nouvelle personnalité...\| m'impressionne."
"Oh, wonderful.","Oh, merveilleux."
"I wonder how long you can sustain it?\| You know, I heard all about your pathetic, whimpering confession to our gigantic friend.\| You poor thing...","Je me demande combien de temps tu peux tenir comme ça.\| Tu sais, j'ai entendu tes aveux pathétiques à notre amie la géante.\| Pauvre de toi..."
...What?\| How did you...,...Quoi ?\| Comment as-tu...
"Awww, tsk tsk. Did the big lady break your heart?","Awww, tsk tsk. La grande dame t'a brisé le cœur ?"
"If you really must know, yes.","Oui, si tu as vraiment envie de savoir."
...Sigh...\| Lysander...,...Soupir...\| Lysandre...
"Why?\| Can you see past her freckled face, to the nauseatingly... stolid persona that lies beneath?!\! A mind like yours would be bored to tears!","Pourquoi ?\| Tu ne vois donc pas, au-delà de son visage, sa personnalité nauséabonde et stoïque ?\! Un esprit comme le tien s'ennuierait à en mourir !"
"Beatrix, do you know why I'm still here?\| Why I haven't walked off despite your blatant attempts to infuriate me?","Beatrix, est-ce que tu sais pourquoi je suis toujours ici ?\| Pourquoi je suis encore ici malgré tes vaines tentatives de me mettre hors de moi ?"
"Well, yes! I am shockingly beautiful, what more reason does a red-blooded man need?",Oui ! Je suis d'une beauté sans pareille. De quelle autre raison as-tu besoin ?
"While you learned about me, I also learned about you.\| In my attempts to learn what I could from the shadows, I learned about your experience with the cult.","Pendant que tu en apprenais plus sur moi, j'en apprenais plus sur toi aussi.\| Dans mes recherches sur le monde des ombres, j'ai croisé ton histoire avec le culte."
"And now, even after what can only appear to you as a betrayal, you remain steadfast.\| Not only in your pledge to fight the great enemy, but also to maintain your irreverent persona.\! All in a mostly vain attempt to conceal what I can only conclude is, as they say, a big, beating heart.\! I just wonder...\| when is your confession coming?","Et pourtant, même en face de la trahison, tu restes stoïque.\| Pas seulement dans ton serment de combattre l'ennemi, mais aussi dans ton but de maintenir ton masque d'impolitesse.\! Et tout cela dans une vaine tentative de cacher ce qui ne peut être autre qu'un grand cœur battant.\! Je me demande juste...\| quand comptes-tu te confesser ?"
Wha...\| my confession?!,De quoi ?\| Me confesser ?
"You can only try to bully me so long before it becomes obvious.\! I have concluded that either you really do want to incinerate me to ashes, or you crave me around for your continued amusement.\! I must ask, please don't keep me in suspense... as I may be even more easily bored than you.\! What's it going to be, Beatrix?","Tu auras beau jouer les brutes, c'est évident.\! J'ai conclu que soit tu cherches vraiment à me réduire en cendres, soit tu cherches ma présence pour continuer à te divertir.\! Ne me laisse pas dans le doute... Je suis peut-être aussi facilement victime de l'ennui que toi.\! Alors, Beatrix ?"
"You...\| slick, sly little devil.\| It really did just dawn on me.\! You may have declared war on literal demigods, but... you did just that.\! Men twice your strength wouldn't have dreamed of making such a brash and impudent move...","Toi...\| Espèce de petit monstre.\| Ça vient de me venir à l'esprit.\! Tu as peut-être déclaré la guerre à des demi-dieux, mais là tu te surpasses !\! Des hommes deux fois plus forts que toi ne se seraient jamais risqué à ce genre d'imprudence."
"...So was that the confession, or... shall I be on my way?",C'est ta confession ou... ou alors est-ce que je dois m'en aller ?
"Stop right there, Lysander!\| Fine, you've become truly tantalizing bait. And... sure, I'll bite.\! ...I promise.","Stop, Lysandre !\| J'avoue que tu as réussi à m'appâter. Et je vais mordre à l'hameçon.\! C'est promis."
Wha...\| really?!\| I mean...,Hein...\| vraiment ?!\| Je veux dire...
"Shhh... stay interesting, I command it!\| No backing out now, little man!","Chut ! Contente-toi de continuer à me divertir, je te l'ordonne.\| Tu as atteint le point de non retour, petit homme !"
By Donar... what have I done...,Par Donar... qu'ai-je fait ?
