ENGLISH,FRENCH
"Greetings, human.","Salutations, humain."
"First things first, please call me \n[8].\! Deal?","Tout d'abord, appelle-moi \n[8]. Ça marche ?"
Yes \n[8]. Raskuja will comply.,D'accord \n[8]. Raskuja s'exécutera.
"So, I've heard so much about this Eskandar, fella.\! Some sort of legendary Barek Tor.\! What's the deal with him anyway?\! You would think he was some sort of god.",J'ai beaucoup entendu parler de notre ami Eskandar.\! Une sorte de Barek Tor légendaire.\! Que peux-tu me dire à son sujet ?\! Apparemment c'était une sorte de dieu.
"Eskandar was a fierrrrrce and powerful warrior 100 years ago, during time of great crisis.\! Humans sought to conquer Barek Tor and destroy Barek Tor spirit.\! The great Eskandar rrrrrallied people together and defeated much more powerful enemy to earn Barek Tor freedom.\! Eskandar so great, he left Barek Tor lands to seek out and to destroy this enemy where they hide.\! He return home loved by all.\! Eskandar becomes grrrrreat chieftain of all Barek Tor people, and repopulate our kind.\! Most Barek Tor somehow related to Eskandar this day... I hope so is Raskuja, so have his grrrrreat and divine warrior blood.","Eskandar était un puissant et fier guerrrrrrier il y a 100 ans, pendant la grande crise.\! Les humains ont essayé de conquérir Barek Tor et de briser l'esprit Barek Tor.\! Le grand Eskandar a rrrrréuni les habitants et a vaincu un ennemi bien plus puissant pour que Barek Tor reste libre.\! Eskandar était si grand qu'il est parti des terres Barek Tor pour dénicher et vaincre les ennemis qu'il a repoussés.\! Il est revenu en héros.\! Eskandar est devenu le grrrrrrrrand chef et a repeuplé les Barek Tor.\! La plupart des Barek Tor font partie de sa descendance. J'espère que c'est aussi le cas de Raskuja et qu'il a hérrrrrrité de son sang de guerrier."
I wonder why I'd never learned much about him.,Je me demande pourquoi je n'ai pas plus entendu parler de lui.
"Barek Tor lifespan not as long as human.\! Eskandar pass to next life after rrrrreaching golden age of 50 years.\! Eskandar policy on human is to be being frrrrriendly, because of best friend named ""Lucian Iblis"" who was prominent human and great hero of human lands.",Les Barek Tor ne vivent pas aussi longtemps que les humains.\! Eskandar a quitté ce monde après avoir atteint le grrrrrrrand âge de 50 ans.\! La politique d'Eskandar envers les humains est de bien s'entendre à cause de son grand ami « Lucian Iblis » qui était un humain célèbre et un héros chez les humains.
"Yep, everyone knows about Lucian Iblis.","Oui, tout le monde connaît Lucian Iblis."
"Because of their frrrrriendship, human and Barek Tor were to be connected.\! Lucian live on many years past Eskandar, but without our great hero, Lucian and Barek Tor people were to being disconnected slowly over time.\! Lucian attempt to befrrrrriend new Barek Tor chieftains, but it was not to be being.\! Over next 50 years, Barek Tor attempt to return to old way.\! No longer trrrrrade food with humans of Sayunaa in exchange for their great trrrrreasures.\! Barek Tor society become poor.\! Now we attempt to repair damage but without being weak to conquest much like during the time of Eskandar.","C'est cette amitié qui a cimenté les rrrrrrrelations entre Barek Tor et humains.\! Lucian a survécu à Eskandar, mais sans notre grand héros, les Barek Tor et les humains se seraient peu à peu perdus de vue.\! Lucian a tenté de se rrrrrrrallier aux chefs Barek Tor, mais cela n'a pas pu durer.\! Pendant les 50 années qui ont suivi, les Barek Tor ont tenté de revenir à leurs anciennes traditions.\! Plus d'échange de nourrrrrrrriture avec les humains de Sayunaa contre leurs grands trrrrrésors.\! La société Barek Tor a sombrrrrré dans la pauvrrrrrreté.\! Nous tentons maintenant de réparer les dégâts, comme du temps d'Eskandar."
"I could listen to this stuff all day, cat.",Je ne me lasse pas de ces histoires.
It is great honor to Raskuja when human show interest in Barek Tor.\! \n[8] is good company for Raskuja. Raskuja wishes to talk more in future days.,C'est un grrrrrand honneur pour Raskuja quand les humains s'intéressent à l'histoire Barek Tor.\! \n[8] est d'une agréable compagnie pour Raskuja. Raskuja espère que nous parlerons de nouveau à l'avenir.
Count on it!,Compte sur moi !
