ENGLISH,GERMAN
"It is like a game of chess.\! You will command groups of soldiers known as ""Squads"", and each squad will have a leader.","Das Ganze ist wie ein Schachspiel.\! Ihr befehligt Gruppen von Soldaten, die man „Trupps“ nennt. Jeder Trupp hat einen Anführer."
"You appear as blue, and the enemy team appears in red.","Ihr werdet in Blau dargestellt, der Gegner in Rot."
"Time to engage in combat!\! First, you must move your squad next to me.\! Select your squad, then select the tile next to my squad on the map to move.","Zeit zu kämpfen!\! Zunächst müsst Ihr Euren Trupp neben mir positionieren.\! Wählt den Trupp aus und dann das Feld neben meinem Trupp auf der Karte, um dorthin zu ziehen."
"Right. Now, it's time to attack.\! Choose the attack option, then target me.\! Careful, defenders will counter attack if they can!","Alles klar. Jetzt ist es Zeit für den Angriff.\! Wählt die Option „Angriff“ und dann mich als Ziel.\! Aber Vorsicht – die Verteidiger werden kontern, wenn sie es können!"
This isn't exactly fair...,Das hier ist ziemlich unfair …
"I am one soldier with one sword.\! You're going to command a whole army some day - you must think of yourself as a leader, and your followers are your sword and shield.\! First things first, show me what you've got!","Ich bin nur ein Soldat mit einem Schwert.\! Ihr werdet aber eines Tages ein ganzes Heer anführen – Ihr müsst also Eure Anhänger als Euer Schwert und Euren Schild sehen.\! Aber eins nach dem anderen. Zeigt mir mal, was Ihr könnt!"
Not bad.\! Now let's raise the stakes.,Gar nicht übel.\! Jetzt gehen wir einen Schritt weiter.
"You're now leading a squad with a good balance of troop types.\! You've got heavily-armored troops in front, or ""Heavy Infantry.""\! Always rely on Heavy Infantry to serve as the backbone of your army, not only to protect weaker allies, but to rush down and attack.\! Your squad also has 3 ""Archers"".\! These long-range troops are not as sturdy, but can attack from a distance, avoiding counter-attack.","Ihr führt jetzt einen Trupp mit einer recht ausgeglichenen Einheitenzusammenstellung an.\! Vorne stehen Einheiten mit schwerer Rüstung, also „schwere Infanterie“.\! Die schwere Infanterie sollte immer das Rückgrat Eurer Armee sein. Nicht nur, um schwächere Verbündete zu schützen, sondern auch, um beim Angriff voranzugehen.\! Euer Trupp hat außerdem 3 Bogenschützen.\! Diese Fernkämpfer halten nicht so viel aus, können dafür aber aus der Distanz angreifen und so einen Gegenangriff vermeiden."
"Your turn is up for now.\! Access the menu, and ""End Turn"" to proceed.","Jetzt ist Eure Runde erst einmal beendet.\! Wählt „Runde beenden“ im Menü aus, um fortzufahren."
"Now you're ready.\! Attack me, and try to take me down!","Jetzt seid Ihr bereit.\! Greift mich an und versucht, mich zu erledigen!"
"Nothin' to it. There's a great deal more to learn.\! But for now, you should be able to lead our forces against Antares.\! As we progress, tutorials will pop up, and you'll be able to access them whenever you want.","Mehr ist nicht dabei. Allerdings gibt es noch viel zu lernen.\! Ihr wisst jetzt aber, was Ihr wissen müsst, um unsere Streitkräfte im Kampf gegen Antares anzuführen.\! Es werden immer wieder Tutorials erscheinen, auf die Ihr jederzeit zugreifen könnt."
