ENGLISH,GERMAN
"Why, look at this.\! The Messiah crosses my path once again.\! You've been doing that a lot lately, young man.","Wen haben wir denn da?\! Der Messias kreuzt mal wieder meinen Weg.\! Das passiert in letzter Zeit ziemlich oft, junger Mann."
Errr... I have??,Äääh … Ach ja?
"Oh, yes indeed.\! And believe me, I am quite flattered.","Oh, aber ja doch.\! Und glaubt mir, ich fühle mich sehr geschmeichelt."
What the...\| What do you mean?\! I mean I'm certainly impressed by your...,"Was zum …?!\| Was meint Ihr damit?\! Ich meine damit, dass Ihr mich in gewisser Weise tief beeindruckt."
"Ha, by my what, hmmmm?\! Surely it is my fantastic magical aptitude, no?\! Or is it my lust for battle, or is it...\| both of these?","Ha, aber wieso denn genau, hm?\! Bestimmt meint Ihr damit meine geniale magische Begabung, richtig?\! Oder ist es meine Kampfeslust, oder vielleicht eher …\| sowohl als auch?"
"*GULP*\| I... uh...\! Yes.\! And yes... I mean, no!!!\! Beatrix, what are you doing???","*SCHLUCK*\| Ich … äh …\! Ja.\! Und ja … Ich meine nein!!!\! Beatrix, was ist denn mit Euch los?!"
"You know very well what I...\| what we're doing.\! I see you prowling about in the distance.\! That analytical little mind whizzing away in a whirlwind of thoughts.\! Who is this unusual dame?\! And just HOW to tame her??\! Is she siren, or succubus? The mystery must be tantalizing...","Ihr wisst doch ganz genau, was mit mir …\| was mit uns los ist.\! In der Ferne sehe ich, wie Ihr durch die Gegend streift.\! Wie ein Wirbelsturm an Gedanken durch Euren kleinen analytischen Verstand tost.\! Wer ist diese außerordentliche Dame?\! Und WIE kann ich sie bändigen???\! Ist sie eine Sirene oder ein Sukkubus? Dieses Geheimnis liegt Euch sicher schwer auf der Seele …"
"Don't worry, just follow my lead on this little dance.\! You see, \n[8], I have prowled you just the same.\! You have grown powerful, and famed, and to that, I am irresistably compelled.\! For it is power that moves me, and thrills me... I feel the quiver of its compulsion in my bones, and so too do you, \n[8]... when you lay eyes on me.\! Don't you, mmm?","Keine Sorge, macht einfach mit bei unserem kleinen Tänzchen.\! Wisst Ihr, \n[8], auch ich bin so um Euch herumgeschlichen.\! Ihr seid so mächtig geworden, so berühmt, dem kann ich unmöglich widerstehen.\! Denn die Macht treibt mich an, sie fesselt mich … Ich spüre tief in mir drin ihr zwanghaftes Beben, und Euch ergeht es ebenso, \n[8] … wenn Ihr mich erblickt.\! Ist es nicht so, hmmmm?"
"You give me little choice, Beatrix.","Ihr gebt mir kaum eine Wahl, Beatrix."
"Do not worry, I can see it in your eyes.\! But it would do me a world of good to hear you say the words, my good \n[8].","Sorgt Euch nicht, ich erkenne es in Eurem Blick.\! Aber mir würde ein Stein vom Herzen fallen, wenn Ihr es nur aussprechen würdet, mein guter \n[8]."
"Not gonna let this go, are you?\! Yeah. I can't stop thinking about you, and I can't get my eyes off you.\! What sane man could?\! Believe me, I have tried...","Ihr werdet die Sache nicht auf sich beruhen lassen, hm?\! Genau. Ich muss ständig an Euch denken und kann meinen Blick nicht von Euch abwenden.\! Welcher Mann, der klar bei Verstand wäre, könnte das schon?\! Glaubt mir, ich habe es versucht …"
"Oh, come now, there is no reason to resist.\! You are in for the ride of your life.\! I can show you things and experiences you did not imagine possible.\! Come here, \n[8], and I will give you a new sense of purpose that you so desire.","Oh, na los doch, Ihr müsst nicht dagegen ankämpfen.\! Hier wartet das wildeste Abenteuer Eures Lebens auf Euch.\! Bei mir erlebt Ihr Dinge, die Ihr nicht für möglich gehalten hättet.\! Kommt her, \n[8], dann verleihe ich Euch das neue Gefühl der Sinnhaftigkeit, das Ihr so sehr begehrt."
