ENGLISH,GERMAN
Hey Beatrix!\! How are you liking it here?,"Hallo, Beatrix!\! Wie gefällt es Euch hier?"
"Oh, I guess I'm supposed to 'belong' now?","Oh, mittlerweile soll ich wohl „dazugehören“, was?"
So you're just gonna fly solo?\! Well I'm not gonna let that happen!,"Das hört sich an, als würdest Ihr Euer eigenes Ding machen wollen.\! Tja, das werde ich nicht zulassen!"
Is that so?\! Good luck with that.\! But you do seem like a real sweetie.\! Perhaps I'll make you my most prized servant.,Ach ja?\! Na dann viel Glück dabei.\! Aber Ihr wirkt schon wie ein echter Schatz.\! Vielleicht mache ich Euch ja zu meinem kostbarsten Diener.
"Oh...\| Can I ask... how did you become so magically gifted?\! I've never seen your tricks, even from the most experienced battlemages.",Oh …\| Dürfte ich fragen … wie Ihr zu so einer begabten Magierin geworden seid?\! Eure Tricks habe ich nicht einmal bei den erfahrensten Kampfmagiern gesehen.
"'Tis my gift and my curse, Jules.\! My existence is a bit of an experiment.\! Y'see, I'm the first Nephilim those cultists knew about, so they tried to twist me in every which way to get me to do their bidding.\! Really messed with my brain, they tell me.","Es ist meine Gabe und mein Fluch, Jules.\! Mein Dasein ist ein bisschen so wie ein Experiment.\! Wisst Ihr, ich bin die erste Nephilim, von der diese Kultisten erfahren haben, also haben sie versucht, mich auf jede erdenkliche Art zu manipulieren, damit ich nach ihrer Pfeife tanze.\! Die haben mir ziemlich übel im Hirn herumgepfuscht."
...Messed with your brain?,… In Eurem Hirn herumgepfuscht?
"Don't you see?\! The elevator doesn't reach the top floor here!\! A few nuts and bolts missing!\! Who knows, I might just snap in the middle of this conversation and make you explode, just for fun!\! Whaddya think about that?!","Versteht Ihr denn nicht?\! Dieser Aufzug hier oben gelangt einfach nicht ins oberste Stockwerk!\! Da sind ein paar Schrauben locker!\! Wer weiß, vielleicht drehe ich mitten in diesem Gespräch durch und jage Euch in die Luft – einfach nur zum Spaß!\! Wie würde Euch das gefallen?!"
I don't think you'd do such a thing.,So was würdet Ihr doch nicht machen.
"Hahaha... if you say so.\! Hey, you're a gem, but I've gotta practice my skills and I need you to keep your distance!\! Do take care, hmm?","Hahaha … Wenn Ihr das sagt.\! Wisst Ihr, Ihr seid ein Kleinod, aber ich muss meine Fertigkeiten verfeinern und dafür solltet Ihr Abstand halten!\! Passt gut auf Euch auf, hm?"
"Hmmm, alright sure.\! Have fun, Beatrix!","Hmm, na gut, alles klar.\! Viel Spaß, Beatrix!"
That I can do!,Den werde ich haben!
