ENGLISH,GERMAN
Chapter 12: Upheaval,Kapitel 12: Aufstand
"My Duke, we have word that there is a massive riot in the streets of Rimorgue!\! The mob is calling for an end to war and they demand compensation!\! Our government has been exiled!","Mein Herzog, uns wird gesagt, dass es auf den Straßen Rimorgues einen riesigen Aufstand gibt!\! Die Menge fordert das Ende des Krieges sowie Entschädigungen!\! Unsere Regierung wurde ins Exil gezwungen!"
What?!\! Why now?!\! Then we mustn't waste time!\! We must take Fort Eureeka without delay - overwhelm their defenses! Charge!!,Was?!\! Warum ausgerechnet jetzt?!\! Dann dürfen wir keine Sekunde mehr vergeuden!\! Wir müssen Fort Eureeka sofort erobern und ihre Verteidigung überwältigen! Angriff!!!
"So, it's come to this...\! Lysander, how could I have miscalculated this bad...","So weit ist es also gekommen …\! Lysander, wie konnte ich mich so grob verschätzen …"
"Don't worry about it. Look at them, they're fools.\! Preparing to charge a position as heavily fortified as this.\! They're throwing lives away... one has to wonder why.\! As long as we control the chokepoints in the walls, Fort Eureeka will hold.","Sorgt Euch nicht deswegen. Seht doch, was das für Narren sind.\! Sie wollen eine so gut befestigte Stellung stürmen.\! Da werfen sie Leben weg … Man muss sich schon fragen, warum.\! Solange wir die Engpässe durch die Mauern kontrollieren, werden wir Fort Eureeka halten."
Hopefully they'll take enough damage to lose their appetite for bloodshed...,"Hoffentlich erleiden sie genug Verluste, dass ihr Blutdurst nachlässt …"
\c[1]Permadeath has been turned off for this chapter.,\c[1]Der endgültige Tod wurde für dieses Kapitel deaktiviert.
Terenor! Stop this!\! You can call it all off and realize you've been mislead.\! Casamir thinks he can wag you around like a dog...\| we musn't give him what he wants!,"Terenor! Setzt dem ein Ende!\! Ihr könnt einsehen, dass Ihr getäuscht wurdet, und all dies aufhören lassen.\! Casamir denkt, Ihr würdet nach seiner Pfeife tanzen …\| Er darf nicht bekommen, was er will!"
"It is too late for that now, \n[8].\! One of us will die today, so unless you wish to leave this world in disgrace, raise your weapon!","Dafür ist es jetzt zu spät, \n[8].\! Wir werden diesen Tag nicht beide überleben. Wenn Ihr nicht in Schande aus dieser Welt scheiden wollt, dann hebt die Waffe!"
"Ugh... you ARE a predictable oaf!\! Fine, then die the lapdog of a traitor!","Pah … Ihr seid so ein berechenbarer Tölpel!\! Nun gut, dann sterbt als Scherge eines Verräters!"
"Ugh...\| Donar, forgive me...","Argh …\| Donar, vergib mir …"
With Terenor dead... what's going to happen??,Terenor ist tot … Was passiert denn jetzt?
A meaningless death.\! But Casamir's still out there.\! We need to stay vigilant!,Ein sinnloser Tod.\! Aber Casamir lauert immer noch da draußen.\! Wir müssen wachsam bleiben!
"Oh, Terenor died in battle?\! How unfortunate.\! It seems we will have to clean up this mess now.","Ach, Terenor ist in der Schlacht gefallen?\! Wie unpässlich.\! Jetzt müssen wir diese Sache wohl zu Ende bringen."
