ENGLISH,GERMAN
Incredible...,Unglaublich …
"And it is ours to use as we see fit.\! It will take some time to refit it for battle, but with it, we can airdrop troops deep behind enemy lines.","Und jetzt können wir es für unsere Zwecke verwenden.\! Es wird etwas dauern, es für den Kampf umzurüsten, aber damit können wir Truppen weit hinter der feindlichen Front absetzen."
I've never seen one with my own eyes.,So etwas habe ich noch nie mit eigenen Augen gesehen.
Most haven't...\| We haven't flown these things for a hundred years.\! One would have to be wealthy beyond imagination to own one.,Das geht den meisten so …\| Wir fliegen seit hundert Jahren nicht mehr mit so etwas.\! Nur jemand unermesslich Reiches würde so etwas besitzen.
I have to admit something to you.,Ich muss Euch etwas gestehen.
I am afraid of you outgrowing me.\! Outgrowing our cause.,"Ich habe Angst, dass Ihr mich zurücklasst.\! Unsere Sache zurücklasst."
...I do have a history of changing loyalties.,… Ich habe ja schon einmal die Seiten gewechselt.
"It's not that.\! I don't need loyalty from others.\! Not to me, anyway.",Das meine ich nicht.\! Ich brauche keine Loyalität.\! Zumindest nicht mir gegenüber.
"It seems to me that you've become the icon of hope in the peoples' eyes.\! As you are the icon, I would best serve the people as your right hand, if you will have me as such.","Mir scheint, dass Ihr in den Augen der Menschen zu einem Symbol der Hoffnung geworden seid.\! Insofern könnte ich dem Volk am besten als Eure rechte Hand dienen, wenn Ihr das akzeptiert."
"That's a relief.\! We'll build a new world together, Lysander.","Was für eine Erleichterung.\! Gemeinsam werden wir eine neue Welt aufbauen, Lysander."
