ENGLISH,GERMAN
"\c[1]The world of Tahnra.\! In the 997th year of our age, three realms rule the land.",\c[1]Die Welt von Tahnra.\! Im 997. Jahr unserer Zeit herrschen drei Reiche über das Land.
"\c[1]The desert Kingdom of Sayunaa, whose wealth earned it the title of ""Kingdom of Gold""...","\c[1]Das Wüstenkönigreich Sayunaa, dessen Reichtum ihm den Titel „Königreich des Goldes“ verlieh …"
\c[1]The technologically advanced free Republic of Sandraka...,\c[1]Die technisch fortgeschrittene freie Republik von Sandraka …
"\c[1]And the hegemonic Empire of Veridia, the world's military and economic superpower, where our story begins.","\c[1]Und das Kaiserreich Veridia, die militärische und wirtschaftliche Hegemonialmacht der Welt. Hier beginnt unsere Geschichte."
"\c[1]One generation ago, multiple bids for the Veridian Imperial throne plunged the land into war. This is known as the War of Veridian Succession.",\c[1]Vor einer Generation stürzte der Kampf um den kaiserlichen Thron von Veridia das Land in den Krieg. Dieses Ereignis ging als Thronfolgekrieg von Veridia in die Geschichte ein.
"\c[1]The long and bloody war ended with the coronation of Empress Florina.\! However, it left deep scars in the people's hearts, as resentment against the excesses of the ruling class rose to the boiling point.\! Common people, who had lost so much, were forced to endure increasing hardships as the Empire sought to rebuild.","\c[1]Dieser lange blutige Krieg endete mit der Krönung von Kaiserin Florina.\! Jedoch hinterließ er tiefe Wunden in den Herzen der Menschen, und der Groll ob der Ausschweifungen der herrschenden Klasse erreichte seinen Siedepunkt.\! Die kleinen Leute, die so viel verloren hatten, litten unter immer größeren Strapazen, während das Kaiserreich den Wiederaufbau verfolgte."
"\c[1]Twenty five years after the end of the Succession War, a man named Antares, a battle-worn General, kidnapped the Empress and formed his own army in an act of open rebellion.",\c[1]25 Jahre nach dem Ende des Thronfolgekrieges entführte ein Mann Namens Antares – ein vom Krieg gezeichneter General – die Kaiserin und stellte in einem offenen Akt der Rebellion seine eigene Armee auf.
"\c[1]He now controls a territory in the forest known as the Eastwall District.\! Driven by what he believes to be undue hardships by the central government, Antares threatens to sack the Imperial capital if his demands are not met.","\c[1]Jetzt herrscht er über ein Territorium im Wald, das als Ostwall bekannt ist.\! Antares war der Meinung, dass die Zentralregierung dem Volk unzumutbare Bürden auferlegte, und so drohte er, die kaiserliche Hauptstand zu brandschatzen, falls seinen Forderungen nicht nachgekommen würde."
\c[1]The ambitious Prime Minister Casamir has called the General's bluff and has decided to take military action.\! He orders a force sent to Antares's stronghold at Eastwall Fortress.,"\c[1]Der ambitionierte Premierminister Casamir entschied sich, ihn auf die Probe zu stellen und militärische Maßnahmen zu ergreifen.\! Er entsendet eine Streitmacht zu Antares’ Stützpunkt, der Festung von Ostwall."
"\c[1]Two young and promising Imperial Army officers, \n[8] and \n[27] long time friend, Zelos, have prepared to meet General Antares in battle.\! Little could they know how much their adventure would change the course of history...","\c[1]Zwei junge, aufstrebende und schon lange befreundete Offiziere der kaiserlichen Armee, \n[8] und Zelos, wappnen sich für die Schlacht mit General Antares.\! Sie hatten noch keinen blassen Schimmer, wie sehr ihr Abenteuer den Lauf der Geschichte verändern würde …"
