ENGLISH,GERMAN
\n[8].\! Got a minute?,\n[8].\! Habt Ihr kurz Zeit?
"For you, always.",Für Euch immer.
Eh... this kind of advice givin' isn't really my thing.,"Äh … Ich bin nicht gerade gut darin, Ratschläge zu geben."
"Whoa, who died, anyway?\! You're so serious at the moment, old man.","Welche Laus ist Euch überhaupt über die Leber gelaufen?\! Ihr seid momentan immer so ernst, alter Mann."
...Old man...,Alter Mann …
"Listen, I know I'm no spring chicken, but my mind's still sharp as a tack.\! And I have a good mind to tell you you're breakin' a lotta hearts 'round here.","Hört mal, ich bin zwar kein junger Hüpfer mehr, aber mein Verstand ist immer noch rasiermesserscharf.\! Und ich würde Euch gern wissen lassen, dass Ihr hier eine Menge Herzen brecht."
I beg your pardon??!,Wie bitte?!
"Just...\| I'm sure at this point I got nothin' more to teach you about swordplay.\! But I still notice these young fellas 'round you...\| You just gotta be aware of their intentions.\! Just...\| keep that in mind for me, alright?","Es ist nur …\| Mittlerweile kann ich Euch nichts mehr über den Schwertkampf beibringen.\! Aber mir fallen diese Jungen Leute auf, die sich um Euch tummeln …\| Ihr solltet Euch ihrer Absichten klar sein.\! Behaltet …\| das einfach im Hinterkopf, ja?"
"Well... of course, Barnabas.","Aber … natürlich, Barnabas."
"I'd hate to see you goin' down the wrong path.\! That's all I ever wanted for you, \n[8].\! Just to be surrounded by those who have your back 'til the very end.\! You know...","Es würde mir überhaupt nicht gefallen, wenn Ihr Euch in die falsche Richtung entwickelt.\! Das war mir immer schon am wichtigsten, \n[8].\! Dass Ihr von denen umgeben seid, auf die Ihr Euch bis zum bitteren Ende verlassen könnt.\! Ihr wisst schon …"
Kinda like a guy like me would.,"Von Leuten, die ein bisschen so sind wie ich."
Yeah.\! A guy just like you would.,Genau.\! Von Typen wie Euch.
"Come on, Barnabas. There's gotta be a thousand stars I can recognize out tonight.\! Join me for a walk?","Na los, Barnabas. Heute Nacht sehen die Sterne besonders herrlich aus.\! Wollen wir uns etwas die Füße vertreten?"
"Sure thing, \n[8].\! I would ask you to lay off the ""old man"" thing, but... I know how that goes.","Klar doch, \n[8].\! Ich würde Euch ja bitten, die Sache mit dem „alten Mann“ sein zu lassen, aber … Na ja, ich weiß, wie der Hase läuft."
"Haha, right you are.","Haha, ganz genau."
