ENGLISH,GERMAN
"It is a miracle that we found you when we did, \n[8].","Es gleicht einem Wunder, dass wir Euch dort gefunden haben, \n[8]."
...Who were my captors?,… Wer waren meine Entführer?
The Followers of Zanatus.\! My mortal enemy. Scourge to all the innocent people of our world.,Zanatus’ Jünger.\! Mein Todfeind. Geißel aller unschuldigen Leute auf unserer Welt.
Zanatus...,Zanatus …
"Yep, that one. Some call him the devil, the bringer of death, dark god, what have you.\! Turns out he's got quite the following here among us mortals, a cult of sorts.\! They might've taken you away, never to be seen again had we been just a tad slower.","Ja, genau der. Manche nennen ihn den Teufel, den Todesbringer, den dunklen Gott, und so weiter.\! Offenbar hat er ziemlich viele Anhänger unter uns Sterblichen, eine Art Kult.\! Wären wir nur ein klein bisschen später gekommen, hätten sie Euch womöglich verschleppt, und Ihr wärt spurlos verschwunden."
Have you heard of the battle between the dark god Zanatus and Donar?,Kennt Ihr die Geschichte des Kampfes zwischen dem dunklen Gott Zanatus und Donar?
No,Nein
Yes,Ja
"\c[1]In a time long before living memory, the world was covered in despair.\! The dark god Zanatus was summoned into our world, and the human race endured unspeakable tyranny and hardship under his rule.",\c[1]Vor Urzeiten bestand die Welt aus nichts als Verzweiflung.\! Der dunkle Gott Zanatus wurde in unsere Welt gerufen. Die Menschheit musste während seiner Herrschaft unaussprechliche Tyrannei und Not erleiden.
"\c[1]Seeking to liberate their people, five warriors lead by the legendary hero, Donar, rose up in rebellion.\! Donar became the symbol of hope, and for the first time, people believed that Zanatus could be defeated, and they could be free.","\c[1]Im Bestreben, die Menschen zu befreien, entfachten fünf Krieger – der legendäre Held Donar an ihrer Spitze – eine Rebellion.\! Donar wurde zum Symbol der Hoffnung, und zum ersten Mal glaubten die Menschen an die Freiheit, und daran, dass Zanatus besiegt werden könnte."
"\c[1]On the brink of defeat against overwhelming odds, the five heroes received the boon of the heavens.\! With this new power, they pushed back the demonic forces of Zanatus, and Donar plunged his blade into the heart of the dark god himself, sending him to the void.","\c[1]Die fünf Helden standen einer Übermacht entgegen und am Rande der Niederlage. Doch dann erhielten sie den Segen des Himmels.\! Mit dieser neuen Kraft drängten sie die dämonischen Streitkräfte von Zanatus zurück, und Donar stieß seine Klinge ins Herz des dunklen Gottes, der dadurch in die Leere geschickt wurde."
"\c[1]With the defeat of Zanatus followed the collapse of his empire.\! The human survivors, guided by faith, planted the seeds of civilization as we know it today, and prospered for centuries.","\c[1]Auf die Niederlage Zanatus’ folgte der Untergang seines Kaiserreiches.\! Vom Glauben geführt, pflanzten die menschlichen Überlebenden die Samen der Zivilisation, so wie wir sie heute kennen, und gediehen Jahrtausende lang."
Yep... the event which the history books say forged our world.\! Makes for a great story.,"Jep … Das war das Ereignis, das unseren Geschichtsbüchern zufolge unsere Welt begründete.\! Stoff für eine tolle Geschichte."
This ancient battle is about to return to our world.\! Everything has been set into motion as it is told in the prophecy.\! This is why the cultists have mobilized... they are searching for the Nephilim.,"Dieser uralte Kampf kehrt nun auf unsere Welt zurück.\! Alles wurde genau so in Bewegung gesetzt, wie es unsere Prophezeiung verkündete.\! Deswegen haben die Kultisten mobil gemacht … Sie suchen nach den Nephilim."
...Nephilim? You mean the giants in children's fairy tales?,… Nephilim? Ihr meint die Riesen aus den Kindermärchen?
"The five heroes who defeated Zanatus so long ago ascended to the heavens to watch over us as the gods.\! Their spirits have seen fit to return to our world to be reborn into five mortals, five Nephilim.\! We of the Temple have no doubt...\| war is coming, and Zanatus is marshalling his forces against us.","Jene fünf Helden, die Zanatus vor so langer Zeit besiegt hatten, stiegen in den Himmel empor, um als Götter über uns zu wachen.\! Ihre Geister haben es für notwendig erachtet, in unsere Welt zurückzukehren, indem sie als fünf Sterbliche wiedergeboren werden – fünf Nephilim.\! Wir vom Tempel hegen keinerlei Zweifel …\| Der Krieg naht, und Zanatus formiert seine Truppen, um sie gegen uns zu führen."
"Come on, Diana. Are you gonna tell \n[1] or do I have to?\! We did just witness you in battle...","Na los, Diana. Wollt Ihr es aussprechen oder soll ich?\! Wir haben Euch gerade in der Schlacht beobachtet …"
"...What, are you supposed to be one of these Nephilim or something?",… Gehört Ihr etwa zu diesen Nephilim oder so?
"The prophecy is not so easily interpreted. The Temple Grandmaster Oxley believes I bear the characteristics of a Nephilim, due to my lineage.","Die Prophezeiung lässt sich nicht so einfach interpretieren. Der Großmeister des Tempels, Oxley, glaubt, dass ich aufgrund meiner Herkunft die Eigenschaften der Nephilim in mir trage."
"But you were the only survivor we found here.\! They know something about you, \n[8].\! That makes you a part of the prophecy.","Aber außer Euch haben wir hier doch keine anderen Überlebenden gefunden.\! Sie wissen etwas über Euch, \n[8].\! Das macht Euch zu einem Teil der Prophezeiung."
"That's...\| Come on.\! There's nothing special about me, I'm just on the wrong side of Casamir's scheming.\! If you expect me to just listen and believe...","Das ist …\| Kommt schon.\! Ich bin niemand Besonderes. Ich stehe nur auf der falschen Seite von Casamirs Intrigen.\! Wenn Ihr von mir erwartet, dass ich so etwas einfach glaube, dann …"
You need not simply believe.\! Look.,Das hat nichts mit bloßem Glauben zu tun.\! Seht.
