ENGLISH,GERMAN
"Hey, \n[8]! Are we leaving now?","Hallo, \n[8]! Brechen wir jetzt auf?"
"Hi, Sybil. Yeah, it's that time. My role in Veridia is done for now. The Nephilim War is done, and Zanatus is finally dead.\! The time will come for me to face the people of Veridia, but not for a while.\! ...Didn't you say you had to serve the Temple for a year?","Hallo, Sybil. Ja, es ist so weit. Meine Aufgabe in Veridia ist vorerst erfüllt. Der Nephilim-Krieg ist vorüber, und Zanatus ist endlich tot.\! Ich werde mich dem Volk von Veridia stellen müssen, aber noch nicht jetzt.\! … Sagtet Ihr nicht, Ihr müsstet dem Tempel ein Jahr lang dienen?"
"Yeah, about that...","Na ja, wegen dieser Sache …"
Oh no. Don't tell me...\| you'll regret not doing that!,"Oh nein. Sagt mir nicht …\| Wenn Ihr das nicht macht, werdet Ihr es bereuen!"
"No, it's fine! I uh...\| found out exactly what you've got planned. And...","Nein, es ist schon in Ordnung! Ich, äh …\| weiß genau, was Ihr vorhabt. Und …"
...And you told Diana all about it.,… Und Ihr habt Diana alles darüber erzählt.
"Yeah...\| sorry! But she said this counts, and that once I come back from Grothnor, I'll be a full Paladin for life!","Ja …\| Tut mir leid! Doch Ihr zufolge hat es Gewicht, und sobald ich aus Grottnor zurückkehre, werde ich bis an mein Lebensende ein richtiger Paladin sein!"
...You understand what Grothnor is?\| They say Donar's light has never touched that place.\! That Zanatus himself was born from its depths.,"… Euch ist bewusst, was in Grottnor vor sich geht?\| Angeblich soll Donars Licht noch nie auf diesen Ort gefallen sein.\! Zanatus selbst wurde in seinen Tiefen geboren."
"Oh, whatever, we can take it!\| So, what do you hope to find out?","Ja, ja, wir schaffen das schon!\| Also, was erhofft Ihr, herauszufinden?"
"Zanatus's dying words still haunt me. I felt no deception in those words. Zanatus's hatred for Donar, and for me, cannot be described.\! He felt a certain peace in his final moments. As though he'd finished his job.\! We have reports that some of the Followers of Zanatus went into exile.\! My resurrection leaves more questions that need answers, and my instinct points to the east, to Grothnor.","Zanatus’ letzte Worte verfolgen mich noch. Ich habe keinerlei Täuschung in diesen Worten gespürt. Zanatus’ Hass auf Donar, und auf mich, ist unbeschreiblich.\! Er hat in seinen letzten Atemzügen einen gewissen Seelenfrieden verspürt. Als hätte er seine Bestimmung erfüllt.\! Uns wurde berichtet, dass einige von Zanatus’ Jüngern ins Exil gegangen seien.\! Meine Wiederbelebung hinterlässt mehr Fragen, auf die ich Antworten finden muss, und mein Gefühl weist nach Osten, nach Grottnor."
"I'm so fired up, \n[8], let's get going!\| Let's show these baddies there's nowhere they can hide!","Ich bin Feuer und Flamme, \n[8], brechen wir auf!\| Zeigen wir diesen Schurken, dass sie nirgendwo in Sicherheit sind!"
"Heh, of course, Sybil.\| I'm truly grateful you're on my side...","Ha, natürlich, Sybil.\| Ich bin wahrhaftig dankbar, dass Ihr auf meiner Seite seid …"
