ENGLISH,GERMAN
Is he dead...??,Ist er tot …?
"Almost.\! Stay here.\! With my power, I will bury this threat forever.",Fast.\! Bleibt hier.\! Mit meiner Macht werde ich diese Bedrohung für immer ausschalten.
I'm sorry.\! I can't let this happen.,Es tut mir leid.\! Das kann ich nicht zulassen.
Do you think you can stop me?,"Meint Ihr, Ihr könnt mich aufhalten?"
...\| Yes. But not by crossing blades with you.\! I've felt what's coming for a long time... this is the end of a story that you've sought to make true.,"…\| Ja. Aber nicht, indem ich mit Euch kämpfe.\! Ich habe schon lange gespürt, was passieren würde … Dies ist das Ende einer Geschichte, die Ihr wahr machen wolltet."
"If you want to take Zanatus's power, you'll have to kill me.","Wenn Ihr Zanatus’ Macht an Euch reißen wollt, müsst Ihr mich töten."
"\n[8]...\| There is no other path for me.\! Not in this world, not in this life.\! The people of our country could not, and should not tolerate my existence.",\n[8] …\| Für mich gibt es keinen anderen Weg.\! Nicht auf dieser Welt und nicht in diesem Leben.\! Unser Volk kann und sollte meine Existenz nicht dulden.
"...Then we have something in common.\! For me, it's only a matter of time.",… Dann haben wir ja etwas gemeinsam.\! Bei mir ist es nur eine Frage der Zeit.
...What?,… Wie?
"Our whole lives, in these moments, you've always told me to wait and watch while you handle it.\! Now, I'm asking you to return the favor.\! Let me handle this one, Zelos.\| ...It's time for us to disappear.","Unser ganzes Leben lang habt Ihr mir in solchen Momenten immer gesagt, ich solle abwarten und zuschauen, während Ihr Euch kümmert.\! Jetzt bitte ich Euch, dasselbe für mich zu tun.\! Lasst mich das erledigen, Zelos.\| … Es ist Zeit, dass wir verschwinden."
"You really have surpassed me, as I'd always predicted.\! But you know, I'll never forget this.\! What you asked me to sacrifice.","Ihr habt mich übertroffen, wie ich ja schon immer vorhergesagt habe.\! Aber das hier werde ich nie vergessen.\! Das Opfer, das Ihr mir abverlangt."
"The way I see it, we'll have plenty of time to get over it.\! Here, or in hell.","Meiner Ansicht nach werden wir jede Menge Zeit haben, um darüber hinwegzukommen.\! Entweder hier oder in der Hölle."
"Right then. Do what you came here to do, \n[8]...","Also gut. Tut, was Ihr nicht lassen könnt, \n[8] …"
