ENGLISH,GERMAN
Y'always wanted to say you were the best sword in the world.\! I wager ya probably earned that title by now.,"Ihr wolltet doch schon immer sagen, dass Ihr der beste Schwertkämpfer der Welt seid.\! Ich denke, mittlerweile habt Ihr Euch den Titel wohl verdient."
"Master Seargent.\! Perhaps, but that was a different time.","Hauptfeldwebel.\! Mag sein, aber das waren noch andere Zeiten."
It's real funny hearin' you still call me that.\! Bein' that you're a livin' nightmare now.\! Feels like a higher rank than Master Seargent.,"Ganz schön komisch, dass Ihr mich immer noch so nennt.\! Jetzt, wo Ihr ein lebender Albtraum seid und so.\! Der steht in der Hierarchie vermutlich über dem Hauptfeldwebel."
"...Barnabas. There are two people in this world who'll always have my blade guarding their lives.\! \n[8], and you.","… Barnabas. Auf dieser Welt gibt es zwei Menschen, deren Leben meine Klinge immer schützen wird.\! \n[8] und Euch."
"I'm touched, kid.\! I think I'd sooner ya kill me yerself than I boast about havin' a bodyguard like you.","Wie rührend, mein Kleiner.\! Ich glaube, mir wäre es lieber, Ihr bringt mich direkt um, als dass ich mich mit so einem Leibwächter brüste."
...So I've always held back my words when it came to you.\! Out of respect.,… Ich habe meine Zunge Euch gegenüber bisher immer im Zaum gehalten.\! Weil ich Euch respektiere.
"Words'll not hurt me, boy.\! What's on yer mind?","Worte können mir nichts anhaben, mein Junge.\! Spuckt es schon aus."
You'll never see the world you want.\! Never.,"Ihr werdet die Welt nie zu sehen bekommen, die Ihr Euch wünscht.\! Niemals."
"Yeah, what's it to ya?\! Doesn't mean I can't fight for it.\! Better'n the alternative, slaughterin' innocents for some insane cause.","Aha. Na und?\! Deshalb kann ich doch trotzdem darum kämpfen.\! Immer noch besser, als stattdessen für eine wahnwitzige Sache Unschuldige dahinzumetzeln."
"I've always hated people who think like you, Barnabas.\! You think your noble pursuit of peace is actually going to work?\! Perhaps for a short time, before the inevitable regression back to conflict.","Leute, die so denken, waren mir immer verhasst, Barnabas.\! Ihr denkt, Euer edelmütiges Streben nach Frieden wird wirklich funktionieren?\! Für kurze Zeit vielleicht. Dann verfällt alles unweigerlich zurück in Konflikte."
"Nothin' a good war'll fix, right?","Daran ändert auch ein Krieg nichts, was?"
"People are at their best when they are called to a cause.\! Without a dragon to slay, we sink into degeneracy.\! Case in point, squabbling, clueless nobles creating the conditions for the Succession War.\! A war in which you fought, and took many lives.\! A war that could have been avoided, had we not lapsed into complacency - enough so to allow such lowlives to reach the halls of power.\! But I know I'll never convince you.","Menschen zeigen sich von ihrer besten Seite, wenn sie eine Berufung haben.\! Wenn es keine Drachen zu töten gibt, verfallen wir in Dekadenz.\! Ein Beispiel wären die dummen, streitlustigen Adligen, die den Thronfolgekrieg heraufbeschworen haben.\! Ihr habt in diesem Krieg gekämpft und zahlreiche Leben beendet.\! Doch dieser Krieg wäre vermeidbar gewesen, wenn wir nicht so selbstzufrieden geworden wären, dass dieses Pack an die Macht kommen konnte.\! Aber ich weiß ja, dass ich Euch nicht überzeugen werde."
"Ya got that right, kid.\! Brain's too old to make heads or tails of what yer sayin'.\! Sounds more up \n[8]'s alley, heh heh.","Das stimmt immerhin, Junge.\! Ich bin zu alt, um auszuklamüsern, was Ihr da redet.\! Klingt eher nach was für \n[8], hehe."
"Take care, Master Seargent.\! You're a good man.\! It's too bad things turned out this way.","Lebt wohl, Hauptfeldwebel.\! Ihr seid ein guter Mann.\! Zu schade, dass alles so gekommen ist."
