ENGLISH,GERMAN
Chapter 9: Sanctuary,Kapitel 9: Zuflucht
"The enemy lies before us at Lemelin Monastery!\! We shall crush the treasonous Temple for harboring the enemies of the Empire of Veridia.\! General Lysander, don't disappoint me.","Der Feind befindet sich vor uns im Lemelin-Kloster!\! Dafür, dass dieser verräterische Tempel den Feinden des Kaiserreichs von Veridia Zuflucht gewährt, werden wir ihn zermalmen.\! General Lysander, enttäuscht mich nicht."
"Yes, your excellency.\! You can count on me.","Ja, Eure Exzellenz.\! Ihr könnt auf mich zählen."
The Imperial government is invading the Monastery?!\! Unforgivable!,Die kaiserliche Regierung fällt in das Kloster ein?!\! Das ist unverzeihlich!
"Great Paladin...\| perhaps the government means us no harm!\! Please practice restraint, warriors...","Großer Paladin …\| vielleicht will uns die Regierung nichts zuleide tun!\! Bitte übt Euch in Zurückhaltung, Krieger …"
"The Prime Minister has been desperate for an excuse to destroy us, and now we've given him one.","Der Premierminister hat verzweifelt nach einer Ausrede gesucht, uns zu vernichten, und jetzt haben wir ihm eine gegeben."
Sorry...\| I will take my leave now.,Entschuldigt …\| Ich muss mich jetzt verabschieden.
"That excuse is me, isn't it, Diana...","Ich bin diese Ausrede, nicht wahr, Diana?"
"This turn of events was inevitable.\! We are much more powerful with your tactical mind, so Donar has given us a blessing.","Diese Wendung der Ereignisse war unausweichlich.\! Mit Euren taktischen Winkelzügen sind wir viel stärker, also muss Donar uns einen Segen erteilt haben."
"At least we know what we're up against.\! No more mercenaries, this is the Empire's central army.\! They'll have larger and more organized ranks, and probably some gun units in the mix.\! We don't want to be on the wrong side of gunnery soldiers, their weapons make any armor basically useless.","Zumindest wissen wir jetzt, wen wir vor uns haben.\! Keine Söldner mehr – das ist die Hauptarmee des Kaiserreichs.\! Sie verfügen über mehr Ränge, die auch noch besser organisiert sind, und wahrscheinlich sind unter ihnen auch ein paar Einheiten mit Feuerwaffen.\! Der Artillerie wollen wir um jeden Preis aus dem Weg gehen. Ihre Waffen durchdringen praktisch jede Rüstung."
"\n[8], the Temple maintains outposts by the river.\! We should fortify the river to protect the Monastery from needless violence.","\n[8], der Tempel unterhält einige Außenposten beim Fluss.\! Wir sollten den Fluss befestigen, um das Kloster vor unnötiger Gewalt zu schützen."
"Those forts are closer to Casamir's army than they are to us, but it might be worth a shot!\! I guess now'd be a good time to pray to Donar...","Casamirs Armee ist näher an diesen Festungen als wir, aber es könnte einen Versuch wert sein!\! Jetzt könnte ein guter Zeitpunkt sein, zu Donar zu beten …"
"This is it, men of Isanter!\! Our chance to stand up to the central government's tyranny is now!\! We cannot abide this disgraceful action by the Prime Minister.\! Attack the Imperial Army and reinforce the Temple!!","Es ist so weit, Männer Isanters!\! Jetzt haben wir die Chance, uns gegen die Zentralregierung zu behaupten!\! Dieses schändliche Handeln des Premierministers können wir nicht dulden.\! Greift die kaiserliche Armee an und verstärkt den Tempel!"
Isanter has arrived?!,Isanter ist hier?!
"You know what to do, men!\! The Temple will not fall today!\! We join Isanter and resolve to bring the Prime Minister to heel!","Ihr wisst, was zu tun ist, Männer!\! Der Tempel wird heute nicht fallen!\! Wir schließen uns Isanter an und zwingen den Premierminister in die Knie!"
What's this?,Was ist hier los?
"That's Duke Lothair's army, and General Lysander has defected!\! Damn, good timing, fella.","Das ist Herzog Lothairs Armee, und General Lysander ist übergelaufen!\! Verdammt guter Zeitpunkt, mein Bester."
Donar has answered our call - the Temple shall never perish.,Donar hat unseren Ruf erhört – der Tempel wird nie untergehen.
What treachery...\| the Duke of Isanter must be a fool of the highest order to make an enemy of me!,"Ein ungeheuerlicher Verrat …\| Der Herzog von Isanter muss durch und durch ein Narr sein, mich zu seinem Feind zu machen!"
