ENGLISH,GERMAN
Chapter 18: Emborian Dawn,Kapitel 18: Embor erwacht
Diana...\| I can't tell you what a relief it is to see your face again.,"Diana …\| Ich kann Euch nicht sagen, wie erleichtert ich bin, Euch wieder zu sehen."
"I have proven a failed leader.\! Casamir is strong as ever, and almost all signs of the Temple are gone.","Ich habe als Anführerin versagt.\! Casamir ist mächtiger denn je, und der Tempel wurde nahezu restlos ausgelöscht."
"You punish yourself far too much...\| Because of you, all hope is not lost.",Ihr seid zu streng mit Euch …\| Dank Euch besteht überhaupt noch Hoffnung.
It is my son.\! I fear I will lose myself completely if I lose him.\! \n[8]...,"Ich denke an meinen Sohn.\! Ich fürchte, dass ich mich gänzlich verliere, sollte ich ihn verlieren.\! \n[8] …"
"Remember when you told me you would be my ally, and no one I cared about would be left behind?","Wisst Ihr noch, wie Ihr meintet, Ihr würdet an meiner Seite stehen und niemand, der mir wichtig ist, würde zurückgelassen?"
"Your son's out there, and I'll spend my last breath to help you find him.\! You shouldn't have to bear the burden alone anymore.\! You are Diana, the greatest Paladin of all time, Nephilim Avatar of might - don't let the enemy forget that!","Euer Sohn ist da draußen und ich werde Euch bis zum letzten Atemzug helfen, ihn zu finden.\! Ihr solltet diese Last nicht mehr allein tragen müssen.\! Ihr seid Diana, der größte Paladin aller Zeiten, Nephilim-Inkarnation der Stärke – lasst den Feind das nicht vergessen!"
...Thank you.,… Ich danke Euch.
"I could swear, this is all just a night after far too much drink, m'friend.\! Seein' ghosts here.","Ich könnte schwören, dass wir einfach nur letzte Nacht zu viel getrunken haben.\! Und jetzt sehen wir Gespenster."
What's even more amazing is you're still in one piece.,"Noch erstaunlicher ist die Tatsache, dass Ihr noch wohlbehalten seid."
"Sure, 'cept I didn't come crashin' down on a lightning bolt from the sky.\! What gives, anyway?","Jo, nur bin ich nicht auf einem Blitz vom Himmel herabgefahren.\! Was hat es damit überhaupt auf sich?"
"Didn't you feel a certain energy up on that mountain, before I arrived?","Habt Ihr oben auf dem Berg nicht eine Energie gespürt, bevor ich kam?"
"Yeah. Got all uh...\| tingly.\! Can't find the words for it, believe it or not.","Schon. Das war so ein, äh …\| kribbeliges Gefühl.\! Ob Ihr es glaubt oder nicht, mir fehlen die Worte, es zu beschreiben."
"We've recreated Donar's arrival in the modern day.\! Stefan, the Nephilim Avatar of speed, skill, and guile.\! It is difficult to fathom.\! But we've got more practical problems right now, don't we?","Wir haben Donars Ankunft in der Gegenwart nachempfunden.\! Stefan, die Nephilim-Inkarnation der Flinkheit und List.\! Das ist schwer begreiflich.\! Aber für den Moment haben wir dringendere Probleme zu lösen, nicht wahr?"
"Righto, \n[8].\! I've got a blade that's waitin' to send some cultists to the void, and coffers ready to be filled with mountains of Imperial plunder!","Stimmt, \n[8].\! Meine Klinge wartet darauf, Kultisten in die Leere zu schicken, und mein Gepäck wartet darauf, mit reichlich kaiserlicher Beute gefüllt zu werden!"
"After a thousand years, the Nephilim Millennium War has resumed...",Nach tausend Jahren setzt sich der Jahrtausendkrieg der Nephilim nun fort …
"After a thousand years, the Nephilim Millennium War has resumed, and with Donar's intervention, we have new tools available to us in battle, Nephilim Battlefield Powers.\! These powers can be used at any time, and don't affect a Squad's turns.\! These powers can be used to teleport squads, render a squad invincible, drop a divine meteor on an enemy, and more.\! When my power, the power of Donar is available, let's try to use it.\! It will refresh any one of our squads' turns, allowing them a second turn within our phase of battle.","Nach tausend Jahren setzt sich der Jahrtausendkrieg der Nephilim nun fort. Dank Donars Eingreifen stehen uns neue Mittel im Kampf zur Verfügung: Kampfkräfte der Nephilim.\! Diese Kräfte können jederzeit eingesetzt werden und kosten den Trupp nicht seinen Zug.\! Mithilfe dieser Kräfte kann man Trupps teleportieren oder unverwundbar machen, einen göttlichen Meteor auf den Feind herabgehen lassen und noch mehr.\! Lasst uns meine Kraft, die Kraft Donars, nutzen, wenn sie zur Verfügung steht.\! Sie setzt den Zug eines unserer Trupps zurück, sodass dieser in unserer Kampfphase ein zweites Mal zum Zug kommt."
