ENGLISH,GERMAN
Stefan...\| You kissed me...\| That was...,Stefan …\| Ihr habt mich geküsst …\| Das war …
Heh heh... score one for Stefan.\! Didn't know I could jump that high.,"Hehe … Eins zu null für Stefan.\! Wusste gar nicht, dass Ihr so hoch springen könnt."
You silly man...\| Now you've gone and done this...\| All this time I figured I was just a thorn in your side.,"Törichter Kerl …\| Auf einmal kommt Ihr zu mir und schwupps …\| Obwohl ich die ganze Zeit über dachte, ich wäre Euch ein Dorn im Auge."
"I could have slipped past your watchful eye in a moment's notice.\! Been that way for years, y'know that, right?","Ich hätte Eurem wachsamen Auge jederzeit entwischen können.\! Das ist schon seit Jahren so. Das wisst Ihr doch, oder?"
"Yes, I suppose you are right there.\! ...Oh Stefan...\| this is probably just another one of your flirtations, isn't it?\! Please don't play with me, you know how gullible I am...","Ja, da habt Ihr wohl recht.\! … Oh Stefan …\| Sicher ist das nur ein weiteres Eurer Techtelmechtel, nicht wahr?\! Bitte spielt nicht mit mir. Ihr wisst doch, wie leichtgläubig ich bin …"
"Diana. I almost lost you.\! Up on that mountain.\! Only you, would be so... brave, or crazy, to do what you did.\! To sacrifice everything, just on faith.\! Only a miracle brought you back.","Diana. Ich hab Euch beinahe verloren.\! Oben auf diesem Berg.\! Niemand außer Euch wäre so … mutig, oder verrückt, so zu handeln.\! In blindem Vertrauen alles zu opfern.\! Was Euch zurückgebracht hat, muss ein Wunder gewesen sein."
"I am done being your minion.\! Submitting my resignation right now, effective today!","Ich bin es leid, Euch ergeben zu sein.\! Hiermit überreiche ich meine Kündigung, wirksam ab sofort!"
"...\| Well, you are free to go of course...\! \n[8] will be quite disappointed...","…\| Na ja, Ihr könnt natürlich tun und lassen, was Ihr wollt …\! \n[8] wird ziemlich enttäuscht sein …"
"...I can't be falling in love with my boss, can I?\! I figure, either I fall out of love and keep doing your dirty work, or I resign... can't have both!","… Ich kann mich schließlich nicht in meine Chefin verlieben, oder?\! Ich dachte mir, entweder ich schlage die Liebe in den Wind und verrichte weiter Eure dreckige Arbeit, oder ich kündige … Beides geht nicht!"
You fell in love with me??,Ihr habt Euch in mich verliebt?!
"Well...\| By the gods YES!\! I would never see another piece of gold again if it meant you felt the same.\! This ain't any normal kind of love, \|this love comes straight from the depths of my being...\| From the tips of my fingers, all the way to this charming face of mine.\! I've seen every side of you. Beyond the muscles, beneath to the warm, vulnerable, little dreamer underneath.","Na ja …\| Ja, bei den Göttern!\! Ich würde allen Goldstücken der Welt den Rücken kehren, wenn Ihr nur genauso fühlen würdet.\! Dies ist keine gewöhnliche Liebe. \|Diese Liebe kommt direkt aus den Tiefen meines Ichs …\| Von meinen Fingerspitzen bis hoch zu meinem anmutigen Gesicht.\! Ich kenne Euch auf jegliche erdenkliche Weise. Habe hinter Eure Muskeln geblickt, auf die warmherzige, zerbrechliche, kleine Träumerin, die sich darunter verbirgt."
"Stefan...\| When you climbed that mountain against my will, I chalked it up to your impetuousness.\! Can you blame me?\! But you just wanted to protect me...","Stefan …\| Als Ihr gegen meinen Willen diesen Berg bestiegt, dachte ich, es läge an Eurer impulsiven Ader.\! Könnt Ihr es mir verübeln?\! Aber Ihr wolltet mich einfach beschützen …"
Only from your own damn fool bravery.,Nur vor Eurem verdammt albernen Wagemut.
"You have enriched my life so much, Stefan.\! Far beyond just being my personal spy.\! Your actions have won my heart. That speaks louder than anything.\! Do you think I could fall in love with a womanizer?","Ihr habt mein Leben so sehr bereichert, Stefan.\! Damit meine ich nicht nur, dass Ihr mein persönlicher Spion wart.\! Eure Taten haben mein Herz erobert. Das sagt mehr als tausend Worte.\! Denkt Ihr, ich könnte mich in einen Herzensbrecher verlieben?"
"Oh, of course not, my fair paladin.\! I don't know any womanizers anyway, do you?","Oh, selbstverständlich nicht, mein holder Paladin.\! Ich kenne sowieso keine Herzensbrecher. Ihr etwa?"
"Not anymore.\! You're not going to go around breaking hearts anymore, Stefan.\! Do you see? This is what you are getting yourself into.","Nicht mehr.\! Ab jetzt werdet Ihr keinen Weibsbildern mehr hinterherjagen, Stefan.\! Versteht Ihr das? Auf genau das lasst Ihr Euch damit ein."
"Hmph.\! Now that you mention it, it does sound like a real bugger...","Hmpf.\! Jetzt, wo Ihr es sagt, hört es sich ziemlich nervig an …"
"Oh, I see.\! I suppose it was a foolish thought.","Oh, verstehe.\! Das von Euch zu verlangen, war wohl ein alberner Gedanke."
"Oh my... Come on, I'm just foolin' around, lady!","Oje … Ich mach doch nur Spaß, meine Herzensdame!"
Just kiss me again...,Küsst mich einfach noch mal …
