ENGLISH,GERMAN
Oh...\| flowers. How nice.\! You really are a hopeless romantic.\! And I do emphasize hopeless.,Oh …\| Blumen. Wie schön.\! Ihr seid wirklich ein hoffnungsloser Romantiker.\! Insbesondere der Teil mit „hoffnungslos“.
"You wound me, my dear.\! You wound me with your blade-edged words...","Ihr kränkt mich, meine Liebe.\! Ihr kränkt mich mit Euren Worten, die der Schneide einer Klinge ähneln …"
So sorry.\! You may want to see a priestess.,Entschuldigt vielmals.\! Möglicherweise solltet Ihr eine Priesterin aufsuchen.
"All I need is the warmth of your radiant beauty by my side.\! Admit it, how can you look at these baby blues and remain so defiant?","Ich benötige nichts als die Wärme Eurer strahlenden Schönheit an meiner Seite.\! Gebt es zu, diesen himmelblauen Augen könnt Ihr unmöglich widerstehen."
"You would do quite well if those 'baby blues' did the talking, and not your foul mouth.","Es würde Euch gut zu Gesicht stehen, wenn Eure himmelblauen Augen das Reden übernehmen würden und nicht Euer dreckiges Mundwerk."
....A compliment?\! From the icy heart that struggles to beat beneath this breathtaking visage I see before me?\! I can now die a happy man...,"… War das ein Kompliment?\! Von dem eisigen Herz, das unter diesem atemberaubenden Antlitz vor mir sich zu schlagen bemüht?\! Jetzt kann ich als glücklicher Mann sterben …"
"Ah, by all means, proceed.","Ach, fahrt ruhig fort."
But your heart would be shattered beyond repair for the rest of your days.,Aber dann würde Euer Herz bis zu Eurem Lebensende in tausend Stücke gesprungen sein.
"Dream\| on!!!\! Ugh, when are you going to get a clue?!\! You are a pig and I do not like you!","Träumt\| weiter!!!\! Puh, bekommt Ihr überhaupt irgendetwas mit?!\! Ihr seid ein Schwein und ich mag Euch nicht!"
...yet.,… noch nicht.
"You'd better hope for a miracle then, thief.","Dann solltet Ihr besser auf ein Wunder warten, Dieb."
"We do live in strange times, m'lady!\! Keep believing and it may just come true!","Wir leben in merkwürdigen Zeiten, werte Dame!\! Wenn Ihr nur fest genug daran glaubt, werden Eure Wünsche möglicherweise wahr!"
"Ugh, no, YOU are the one who wants...\| Nevermind.\! I am going away now!\! If you follow me, I will put an arrow through your eye socket!","Uff, nein, Ihr seid es doch, der hier …\| Ist auch egal.\! Ich werde jetzt gehen!\! Wenn Ihr mir folgt, jage ich Euch einen Pfeil in die Augenhöhle!"
"A blessed day to you, fair Narima.\! You know where to find me.","Ich wünsche Euch noch einen gesegneten Tag, holde Narima.\! Ihr wisst, wo Ihr mich findet."
