ENGLISH,GERMAN
"\c[1]Casamir enjoys great popular support by making grand promises to the public, to progress the country beyond the shackles of the nobility, and to spread their ill-gotten wealth.\! Now able to link the Donari Temple to the Empress's murder, he had all the justification he needed to carry out his vengeance on the Temple.","\c[1]Casamir erfreut sich großer Unterstützung in der Bevölkerung, da er ihr große Versprechen macht – er wolle das Land vom allgegenwärtigen Einfluss des Adels befreien und ihren unrechtmäßigen Reichtum verteilen.\! Da er nun den Donari-Tempel mit dem Mord an der Kaiserin in Verbindung bringen kann, verfügt er über die Rechtfertigung, die er benötigte, um seine Vergeltung am Tempel zu üben."
\c[1]With help from Duke Lothair and the Army of Isanter...,"\c[1]Mithilfe des Herzogs Lothair, der Armee von Isanter …"
\c[1]...And the defection by Imperial General Lysander...,\c[1]… und dem Treuebruch des kaiserlichen Generals Lysander …
\c[1]...The attack on Lemelin failed in a humiliating defeat.,\c[1]… entwickelte sich der Angriff auf Lemelin zu einer erniedrigenden Niederlage.
"\c[1]Duke Terenor of Rimorgue. He has not taken the Empress's murder lightly.\! After weeks of persuasion by Prime Minister Casamir, Terenor reluctantly agrees that the time to take action against Lothair and the Temple is now.\! Terenor marches his army into Lothair's territory, marking the beginning of the Veridian Civil War...","\c[1]Herzog Terenor von Rimorgue. Er hat den Mord an der Kaiserin nicht auf die leichte Schulter genommen.\! Nach Wochen der Überzeugungsarbeit von Premierminister Casamir zeigt Terenor sich widerwillig einverstanden, dass nun der Zeitpunkt gekommen sei, gegen Lothair und den Tempel vorzugehen.\! Terenor führt seine Armee in Lothairs Ländereien, was den Beginn des veridianischen Bürgerkriegs markiert …"
"\c[1]The West, which includes the Duchy of Isanter and the Donari Temple...","\c[1]Der Westen, darunter das Herzogtum Isanter und der Donari-Tempel …"
"\c[1]Against the East, comprised of the Duchy of Rimorgue, and the Imperial government.","\c[1]gegen den Osten, bestehend aus dem Herzogtum von Rimorgue und der kaiserlichen Regierung."
"\c[1]Terenor's much more powerful army takes the offensive, and seizes the Isanter city of Trucea.\! They now prepare for an assault on Isanter's capital city.",\c[1]Terenors überlegene Armee geht in die Offensive und erobert die zu Isanter gehörige Stadt Trucea.\! Jetzt bereiten sie einen Überfall auf die Hauptstadt Isanters vor.
"\c[1]If Isanter were to fall, the Temple would be next.\! And with its collapse, Casamir may become unstoppable.","\c[1]Wenn Isanter fällt, wäre der Tempel als Nächstes an der Reihe.\! Und mit seinem Niedergang würde Casamir unaufhaltsam werden."
"\c[1]Diana and \n[8] prepare for war, and set out to stop the city of Isanter from falling into enemy hands.","\c[1]Diana und \n[8] wappnen sich für den Krieg und brechen auf, um zu verhindern, dass die Hauptstadt Isanters in feindliche Hände fällt."
