ENGLISH,GERMAN
Chapter 28: Downfall,Kapitel 28: Untergang
Can't believe this...,Ich fasse es nicht …
There is no death painful enough for him...,"Es gibt keinen Tod, der schmerzhaft genug ist für ihn …"
"Bah, I don't think they realize who they're messin' with.\! Me thinks it's the bad guys who need savin'.","Bah, ich glaube nicht, dass die wissen, mit wem sie sich angelegt haben.\! Mich deucht, hier müssen die Bösewichte gerettet werden."
Don't be so sure. They found her one weakness.\! They'll kill her and she'll let them if we aren't smart about this...,"Seid Euch da nicht so sicher. Sie haben ihren einen Schwachpunkt gefunden.\! Sie werden sie töten, und sie wird es zulassen, wenn wir das nicht schlau angehen …"
"Your death would serve no purpose, child.\! Wait here for your mother.","Dein Tod wäre sinnlos, Kindchen.\! Warte hier auf deine Mutter."
...I will...,… Mache ich …
You must have a death wish trying to imprison me!,"Ihr seid wohl lebensmüde, wenn Ihr mich gefangennehmen wollt!"
What are you doing here?!\! My Alex!!,Was macht Ihr hier?!\! Mein Alex!!!
I know when I am outmatched... we will meet again.\! The boy is unharmed.,"Ich merke, wenn ich unterlegen bin … aber wir werden uns wiedersehen.\! Der Junge ist wohlauf."
Where's my mom?!,Wo ist meine Mama?!
What are you doing here?!\! Where is my Alex?!,Was macht Ihr hier?!\! Wo ist mein Alex?!
"We got 'im.\! Safe and sound.\! Let's finish this up, eh?","Wir haben ihn.\! Wohlbehalten und wohlauf.\! Bringen wir das zu Ende, hm?"
...Donar's mercy...,… Gnädiger Donar …
Mom!!!,Mama!!!
Casamir...,Casamir …
