ENGLISH,GERMAN
"Oh, hi there, Abigayle.\! I was just passing through...","Oh, hallo, Abigayle …\! Ich bin gerade ganz zufällig vorbeigekommen …"
"Of course, \n[8]!\! You didn't want to talk to me?\! Okay, well, take care...","Natürlich, \n[8]!\! Ihr wolltet Euch nicht mit mir unterhalten?\! Alles klar, dann macht’s mal gut …"
Sorry to bother you.\! ...See you around.,Tut mir leid für die Störung\! … Man sieht sich.
Is there something...,Ist irgendetwas …?
"Oh, sorry.\! I...\| Okay, let me start over.\! ...Hi Abigayle. I just wanted to check up on you.\! The battlefield is pretty rough at times...","Oh, verzeiht.\! ICH …\| In Ordnung, noch mal von Anfang an\! … Hallo, Abigayle. Ich wollte nur mal sehen, wie es Euch so geht.\! Das Schlachtfeld kann manchmal ziemlich hart sein …"
"Oh, that is sweet of you.\! It can be frightening... but it is my duty.\! Do not worry about me, dear \n[8].","Oh, wie lieb von Euch.\! Es kann furchteinflößend sein … aber es ist meine Pflicht.\! Macht Euch um mich keine Sorgen, mein lieber \n[8]."
"Yeah...\| That's the thing.\! I do worry about you.\! Even if it's not necessary.\! When I see you out there, I...","Na ja …\| Das ist ja das Problem.\! Ich mache mir Sorgen um Euch.\! Auch wenn es gar nicht nötig ist.\! Wenn ich Euch da draußen beobachte, dann …"
"...Yes, dear \n[8]?","… Was habt Ihr auf dem Herzen, mein lieber \n[8]?"
I want to protect you.,Ich will Euch beschützen.
Does that not just make you a responsible leader?,"Gehört das nicht dazu, wenn man ein verantwortungsbewusster Anführer sein will?"
"No, no, not like that.\! It's you, Abigayle.\! It's you specifically who I want to protect...","Nein, nein, nicht so.\! Bei Euch ist es anders, Abigayle.\! Euch will ich ganz besonders beschützen …"
"Oh...\| Oh my stars.\! Why me, dear \n[8]?","Oh …\| Du lieber Himmel.\! Warum denn gerade mich, mein lieber \n[8]?"
I don't know.\! I've felt that way since the first moment I met you.\! To be perfectly honest... my heart skipped a beat.\! I seem to remember it being really obvious on my face...,"Ich weiß es nicht.\! Ich habe dieses Gefühl bei Euch bereits, seit wir uns kennenlernten.\! Wenn ich ganz ehrlich bin … schlug mein Herz damals plötzlich höher.\! Ich weiß noch, wie überwältigend es war …"
"I-It is actually me who was embarassed to meet you, \n[8]...\| I felt my face turned the darkest shade of red...\| how foolish of me to lose my composure like that.","E-Eigentlich war ich es, die Ihr damals in Verlegenheit gebracht habt, \n[8] …\| Ich wurde schrecklich rot im Gesicht …\| Wie albern von mir, meine Fassung so zu verlieren."
...You didn't notice me blushing?,"… Ihr habt nicht bemerkt, wie rot ich im Gesicht wurde?"
"Nor did you notice me, dear \n[8]...","Genauso wenig wir es Euch bei mir auffiel, mein lieber \n[8] …"
"Abi... I haven't been able to get you out of my mind, since the first moment I met you.",Abi … Seit unserem ersten Treffen muss ich ständig an Euch denken.
I feel the very same about you...\| Oh my stars... You are a dream come true!,Mir geht es genauso …\| Du lieber Himmel … Ihr seid mein wahrgewordener Traum!
