ENGLISH,GERMAN
"\c[1]Upper balcony, Imperial palace at the capital\c[0]",\c[1]Oberer Balkon des Kaiserpalasts der Hauptstadt\c[0]
"So, not even the mighty Kuroda could best the orphan.","Also ist es nicht einmal dem mächtigen Kuroda gelungen, das Waisenkind zu besiegen."
The one you call an orphan has many powerful allies.\! Your people had us believe we would go almost unopposed.\! We were not prepared.,"Dieses sogenannte Waisenkind hat starke Verbündete.\! Eure Leute ließen uns im Glauben, dass kaum Widerstand zu erwarten sei.\! Wir waren nicht vorbereitet."
So be it. There will be another chance.\! Did you have a chance to review my message?,Es lässt sich nicht ändern. Es wird eine weitere Gelegenheit geben.\! Habt Ihr meine Nachricht begutachten können?
Yes. You need a problem solved.,Ja. Ich soll ein Problem für Euch lösen.
"I cannot expand on why, but this mission is but one part of a greater one... we will save this country, Kuroda.\! From itself, and its past folly.","Ich kann nicht näher darauf eingehen, aber diese Mission ist ein Puzzlestück von etwas viel Größerem … Wir werden dieses Land retten, Kuroda.\! Vor sich selbst und seiner früheren Torheit."
Countless men just like you have used men like me to further their ambitions from the shadows.\! It is a dance as old as time.,"Zahllose Männer wie Ihr habt Männer wie mich benutzt, um Ihre Ziele aus dem Verborgenen heraus voranzubringen.\! Dieses Spiel ist so alt wie die Zeit."
Truly a man of your craft. How honorable.,Ihr seid ein wahrer Meister Eurer Zunft. Wie ehrenhaft.
"I cannot stress enough the importance of timing.\! You must monitor the situation.\! When the target leaves to try to stop the war, that is when he must die.\! No sooner, no later.","Ich kann nicht genug betonen, wie wichtig der richtige Zeitpunkt ist.\! Ihr müsst die Lage beobachten.\! Wenn das Ziel aufbricht, um den Krieg zu beenden, dann muss er sterben.\! Nicht früher und nicht später."
273 targets have fallen to my hand. It will be as routine as morning tea.,273 Zielen habe ich den Tod gebracht. Für mich wird es das Normalste der Welt sein – wie meine morgendliche Tasse Tee.
"...What a noble life you lead.\! As you have been paid in advance, we must never meet again.\! Donar be with you... or whatever it is they say.","… Welch edles Leben Ihr führt.\! Da Ihr im Voraus bezahlt wurdet, müssen wir uns nie wiedersehen.\! Möge Donar Euch beistehen … oder wie das auch heißt."
