ENGLISH,GERMAN
Chapter 27: Return to the Origin,Kapitel 27: Rückkehr zum Ursprung
"Your excellency, the Nephilim Army has reached the capital!\! What are we to do?","Eure Exzellenz, die Armee der Nephilim hat die Hauptstadt erreicht!\! Was sollen wir tun?"
What in blazes do you mean?\! Go out and fight them!\! You are wasting time!,"Was zum Henker fragt Ihr da?\! Raus da, und kämpft gegen sie!\! Ihr vergeudet Zeit!"
"My Emperor, we have already swept all of Armitage for conscripts.\! There's nothing left. We no longer have the strength to fight back.\! Only a handful of exhausted veterans from past battles...","Mein Kaiser, wir haben bereits ganz Armitage nach Rekruten abgesucht.\! Es ist niemand mehr da. Wir sind nicht mehr stark genug, um sie abzuwehren.\! Wir haben nur wenige erschöpfte Veteranen aus den vorangegangenen Schlachten …"
"Then the veterans should gather whoever they can, man the walls, and repel the Orphan's pathetic army!\! Do I have to do everything myself or can you manage this?!","Dann sollen diese Veteranen eben mit allen, die noch übrig sind, die Mauern bemannen und die lächerlichen Kräfte der Waisen zurückschlagen!\! Könnt Ihr das in die Wege leiten oder muss ich alles selbst erledigen?!"
"Y-yes, your excellency...","J-Ja, Eure Exzellenz …"
"Most of their army...\| skinny youths, or old men...",Der Großteil ihrer Armee …\| sind dürre Jünglinge und alte Männer …
"That's just whatever scraps Casamir still has left... they should be ripe for surrender.\! But the Zanatus cultists will also be here with powerful and merciless warriors.\! Regarding the demoralized remnants of the Imperial Army...\| Casamir would sacrifice their lives just to stave off the inevitable for a few moments.\! I think you know what to do, \n[8].","Das sind die armseligen Überreste, die Casamir noch bleiben … Die sollten sich recht schnell ergeben.\! Aber Zanatus’ Kultisten werden starke und skrupellose Krieger schicken.\! Was den zermürbten Rest der kaiserlichen Armee angeht …\| Casamir ist bereit, diese Leute zu opfern, nur um das Unvermeidliche ein wenig hinauszuzögern.\! Ich denke, Ihr wisst, was da zu tun ist, \n[8]."
"""An army of lambs can become lions at a moment's notice""...\! Do you see that balcony, atop the Imperial Palace?\! That's where they watched me executed in cold blood, and where they cheered and celebrated it...\! these people would have me thrown to the dogs.","„Ein Heer von Lämmern kann sich jederzeit in Löwen verwandeln …“\! Seht Ihr den Balkon oben auf dem kaiserlichen Palast?\! Von dort aus sahen sie meiner Hinrichtung zu, dort jubelten sie und feierten …\! Diese Menschen würden mich den Hunden zum Fraß vorwerfen."
"No...\| you bend the knee to Casamir, your life is forfeit!!!","Nein …\| Wer sich Casamir beugt, dessen Leben ist verwirkt!!!"
Uhhhh..... \n[8]?\! What's goin' on?!,Ähhh … \n[8]?\! Was ist los?!
By Donar...,Bei Donar …
"We have been in an impossible situation! Facing death at the hands of the culists for dessertion, or against you in combat!\! We thank you for showing mercy...\| please accept this on the behalf of the people of Armitage.","Wir waren in einer Zwickmühle! Wir hatten die Wahl, von den Kultisten als Deserteure oder von Euch im Kampf getötet zu werden.\! Danke, dass Ihr Gnade gezeigt habt …\| Bitte lasst Euch dies im Namen der Bewohner von Armitage geben."
