ENGLISH,GERMAN
"\c[1]Crestmoor town square, later that evening\c[0]","\c[1]Stadtplatz von Krastenmoor, später am Abend\c[0]"
You're conflicted.\! I can smell it on you.,Ihr fühlt euch zwiegespalten.\! Das merke ich Euch an.
I ask you to consider what we are doing.\! And to keep this Beatrix on a short leash.,"Ich bitte Euch, zu überdenken, was wir tun.\! Und auf diese Beatrix sehr genau aufzupassen."
"I hear you.\! Beatrix just falls into our lives, and now we're chasing legends.","Ich verstehe schon.\! Beatrix fällt uns einfach zu, und jetzt jagen wir Legenden nach."
We know so little about these divine weapons.,Wir wissen so wenig über diese göttlichen Waffen.
You've seen Beatrix's magic.\! That's a lot of power...\| aren't you at least curious?,Ihr habt Beatrix’ Magie doch gesehen.\! Darin steckt große Macht …\| Seid Ihr nicht wenigstens neugierig?
I am always curious.\! But this is reckless.\! You must at least give me time to interpret the Historium Magnus.\! I believe I am starting to make sense of it.,"Ich bin immer neugierig.\! Aber das hier ist Leichtsinn.\! Ihr müsst mir wenigstens Zeit geben, das Historium Magnus auszulegen.\! Ich glaube, allmählich begreife ich es."
"Haha, of course.\| Only you would have that kind of patience... certainly not me!","Haha, selbstverständlich.\| So viel Geduld habt auch nur Ihr … mir fehlt sie jedenfalls."
Sometimes I can't put thoughts into words.\! My experience with death and rebirth...,Manchmal kann ich Gedanken nicht in Worte fassen.\! Meine Erfahrungen mit Tod und Wiedergeburt …
It seems beyond the realm of words to describe...,Lassen sich nicht in Worte fassen …
"Yep. Same with this draw to the divine shrines.\! Lysander, I felt something familiar in the shrine at Mount Karnac.\! It's like I've been living a lie until that moment.\! How can one resist the long-awaited truth?\! Could you?","Genau. Das Gleiche gilt für diese Anziehungskraft der göttlichen Schreine.\! Lysander, am Schrein auf dem Karnac habe ich ein vertrautes Gefühl gespürt.\! So, als ob mein Leben bis zu diesem Moment eine Lüge gewesen wäre.\! Wie kann man sich gegen die lang ersehnte Wahrheit sträuben?\! Könntet Ihr das?"
"\n[8]...\| I swore to be your right hand, and a proper right hand does not let his leader go unprepared.\! I just ask that you keep your eyes open.\! There is something going on that I do not like.\! We are about to pursue the shrine at Greywind Mountain...\| let us hope we find the answers we need there...","\n[8] …\| Ich habe geschworen, als Eure rechte Hand zu dienen, und darf Euch daher nicht unvorbereitet ziehen lassen.\! Ich bitte Euch nur, die Augen offen zu halten.\! Etwas geht vor sich, und es gefällt mir nicht.\! Wir setzen uns den Schrein auf dem Grauwind zum Ziel …\| Hoffentlich finden wir die nötigen Antworten dort."
