ENGLISH,GERMAN
It is to be nothing but...,Das wird brauchen lediglich …
...Sinarran Spice?,… Gewürz aus Sinarra?
"5,000,000 Human gold coins to be purchasing this shipment...",5.000.000 Goldmünzen der Menschen für den Kauf dieser Lieferrrrung …
"5 million big ones?! Hell's bells, some fancy folk in Veridia really wants this stuff!\! Hey, Rask, what gives? ...Cat got your tongue?!\| 5 million gold mean anything to ya?!","5 Millionen?! Potztausend, da sind wohl ein paar feine Leute in Veridia richtig scharf auf das Zeug!\! Hey, Rask, was ist denn los? Wollt Ihr mal die Katze aus dem Sack lassen?!\| Könnt Ihr Euch überhaupt vorstellen, wie viel 5 Millionen sind?!"
"Are you to be knowing what is Sinarran Spice, human?","Seid Ihr wissend, was das Gewürz aus Sinarrrra ist, Mensch?"
'Course I do! It's Sinarran Nervestim! The good stuff. Catnip. Whatever ya wanna call it.\! Got any other quiz questions?,Klar weiß ich das! Das sind Nervenstimulatoren aus Sinarra! Das richtig gute Zeug. Katzenminze. Was immer Ihr es auch nennen wollt.\! Habt Ihr sonst noch Quizfragen auf Lager?
"When it is to be being consumed by humans, it gives grrrreat pleasure.\! But to us Barek Tor, it is just to be used as normal spices for our food. Safe to be being consumed by us. But for human, verrrry dangerous.","Wenn es die Menschen zu sich nehmen, macht es grrrroße Freude.\! Aber für uns Barek Tor wird es einfach verwendet als Gewürrrrz für unser Essen. Für uns gefahrlos zu essen. Aber für Menschen sehr gefährrrrlich."
"Heh heh, yeah. Will never forget my first time. You kitties sure make good stuff.","Hehe, ja. Mein erstes Mal werde ich nie vergessen. Ihr Kätzchen produziert schon gutes Zeug."
"Do you know what humans are to be calling ""catnip"" is only, as you say, processed to becoming very powerful.\! And it is my own people who are to be doing the processings.\! Humans enslave Barek Tor to be feeling pleasure from the spice that is to be coming from our homeland.","Wisst Ihr, dass was die Menschen „Katzenminze“ nennen, nur wird verarrrrbeitet, um zu werden so mächtig?\! Und dass mein Volk die Verarbeitung macht.\! Menschen versklaven Barek Tor, um zu genießen das Gewürrrrz aus unserer Heimat."
"Sheesh... alright, alright, evil ""hoomans"", very bad guys. Well guess what, we just stole all their loot. Good, right?\! Come on, let's get paid and get outta here.","Hmpf … Ja, ja, böse Menschen, richtige Fieslinge. Aber wisst Ihr was? Wir haben ihnen gerade ihre ganze Beute abgenommen. Ist doch schon mal was, oder?\! Kommt, holen wir uns unser Geld und verschwinden wir hier."
"Raskuja will not to be takings gold from forced slavery of his own kin.\! Raskuja is to be retiring from this employ. The gold that was to be being Raskuja's share is to be paying off his debts. We are to be square, human.\! And prrrray Raskuja is not to be hirings by your enemies.","Rrrraskuja wird nicht Gold annehmen aus der Versklavung seiner Brüder.\! Raskuja macht nicht länger diese Arrrrbeit. Das Gold, was Rrrraskujas Anteil sein sollte, wird begleichen seine Schulden. Damit wir sind „quitt“, Mensch.\! Und betet, dass nicht Eure Feinde Rrrraskuja anheuern."
