ENGLISH,GERMAN
Chapter 11: Taking Fort Eureeka,Kapitel 11: Die Eroberung von Fort Eureeka
"Bonanza! So many little toy soldiers on the battlefield, just for me.\! Very well, if my actions today will grease the wheels of power, so be it.","Welch ein Getümmel! So viele kleine Spielzeugsoldaten auf dem Schlachtfeld. Nur für mich.\! Nun denn. Wenn meine Handlungen heute das Getriebe der Macht am Laufen halten, dann soll es eben so sein."
"\c[1]Just enough to stop their momentum, Beatrix!\! Don't kill everyone right now - we need more time to prepare for the next phase!","\c[1]Du sollst ihnen nur Einhalt gebieten, Beatrix!\! Töte sie nicht alle sofort – wir brauchen Zeit, um uns auf die nächste Phase vorzubereiten!"
"Quiet, old man, I was born for this...\| It's time, my poor little soldiers... come to Beatrix!","Ruhe, alter Mann. Ich bin hierfür geboren …\| Es ist so weit, meine armen kleinen Soldaten … kommt zu Beatrix!"
"Th-that mage is some sort of demon!!\! Men of Isanter, full retreat!!","D-Diese Magierin ist ja wie ein Dämon!!!\! Rückzug, Männer Isanters!"
...How dare you? Did I order you to retreat?\! I am not bored with slaughtering you yet!,"… Wie könnt Ihr es wagen? Habe ich einen Rückzug angeordnet?\! Ich amüsiere mich noch dabei, Euch abzuschlachten!"
Damn. We're on our own out here.\! If you want something done right...,Verflucht. Wir sind hier auf uns gestellt.\! Wenn man nicht alles selber macht …
"That enemy sorceress singlehandedly decimated Isanter's most elite forces...\! Unless you've got something up your sleeve, \n[8], I pray you find a way to avoid sending our troops anywhere near her.","Diese feindliche Zauberin hat die besten Elitestreitkräfte Isanters ganz alleine dezimiert …\! Wenn Ihr nicht ein besonderes Ass im Ärmel habt, \n[8], bete ich, dass unsere Truppen einen großen Bogen um sie schlagen können."
Noted. Let's see how this shakes out.,"Ist zur Kenntnis genommen. Lasst uns sehen, wie die Sache läuft."
"My gracious... these ones are feisty.\! Oh well, I've had my fill.\! Have fun playing war, darlings.","Meine Güte … die da sind aber störrisch.\! Nun gut, ich habe mich genug amüsiert.\! Viel Spaß noch beim Kriegspielen, meine Lieben."
"If we don't see her again, it'll be too soon.",Die sehen wir hoffentlich nie wieder.
"Sigh... what a bore, these temple types.\! But I do think I've sent enough of them to the void for today.\! Have fun playing war, darlings! Nap time for Beatrix.","Puh … alles Langweiler, diese Leute vom Tempel.\! Aber ich denke, für heute habe ich genug von ihnen in die Leere geschickt.\! Viel Spaß noch beim Kriegspielen, meine Lieben! Beatrix muss jetzt ein Schläfchen halten."
