ENGLISH,GERMAN
Seems like a trap...,Fühlt sich wie eine Falle an …
"Better keep your eyes open, then, and blink us out if things go sideways.\! We need the book...","Haltet besser die Augen offen, und gebt uns ein Zeichen, wenn irgendetwas schiefläuft.\! Wir brauchen das Buch …"
...\| By the heavens...,…\| Bei den Göttern …
Isn't that...\| that crazy mage who gave us such trouble before?!,"Ist das …\| diese verrückte Magierin, die uns mal so viel Ärger gemacht hat?!"
"Yes...\! And apparently, one of the Nephilim...",Ja …\! Und anscheinend eine der Nephilim …
...Am I dead?,… Bin ich tot?
Just about.\! But you'll be fine.,Fast.\! Aber Ihr werdet es schon schaffen.
"Splendid...\| looks like those imperial goons couldn't get the best of me, after all.\! I do suppose I owe you a thank you, mmm?","Großartig …\| Dann haben diese kaiserlichen Schafsköpfe mich wohl doch nicht kleingekriegt.\! Ich sollte mich wohl bei Euch bedanken, hm?"
"How about an apology?\! You know, for stealing our property.","Wie wär’s mit einer Entschuldigung?\! Ihr wisst schon, weil Ihr etwas gestohlen habt, was uns gehört."
"Oh, that belonged to you?\! Goodness, had I known I was dealing with such lovely specimens, I would've just asked nicely instead.\! Name's Beatrix Pendergast.","Oh, das hat Euch gehört?\! Herrje, hätte ich gewusst, dass ich mit solch reizenden Personen zu tun habe, hätte ich einfach nett gefragt.\! Ich bin Beatrix Pendergast."
"...Pendergast?\! As in, Edmund Pendergast?",… Pendergast?\! Die von Edmund Pendergast?
"That's the one, darling.\! Edmund's little princess.","Genau die, Schätzchen.\! Edmunds kleine Prinzessin."
Interesting. I wonder what someone from such a family would be doing out here?,"Interessant. Ich frage mich, was jemand aus einer solchen Familie hier draußen treibt."
"Beatrix...\| you must come with us.\! You are one of the ancient Avatars of Donar, reborn into our world.","Beatrix …\| Ihr müsst uns begleiten.\! Ihr seid eine der uralten Inkarnationen Donars, die in unserer Welt wiedergeboren wurden."
Wait just a minute...\| how did you...,Warte mal kurz …\| Wie habt Ihr …?
"Ah ha!\! Of course, you pulled me from the brink.\! Signature move of Donar himself.\! Well, well, fancy meeting you here, a thousand years later.","Haha!\! Natürlich weil Ihr mein Leben gerettet habt.\! Das ist sozusagen Donars Markenzeichen.\! Tja, schön Euch hier zu treffen – eintausend Jahre später."
"And you, the gigantic paladin. Inheritor of Galzus's legacy, no doubt.\! Eat any good books lately?","Und Ihr, der riesige Paladin. Zweifellos Erbin von Galzus’ Vermächtnis.\! Habt Ihr in letzter Zeit ein paar Bücher verschlungen?"
"Beatrix, the Nephilim are destined to reunite and fight Zanatus in the final battle.\! It is written in the prophecy, which has thus far come true.","Beatrix, die Nephilim sind vorherbestimmt, sich wiederzuvereinigen und Zanatus in der letzten Schlacht entgegenzutreten.\! Es steht in der Prophezeiung geschrieben, die sich bis dato erfüllt hat."
"Yes, that is the ""prophecy"" as they say, isn't it.","Ja, so ist das mit „Prophezeiungen“, nicht wahr?"
"If you don't like prophecies, take a look, all but one Nephilim Avatar is standing in this room.\! We have much to discuss - let's head back to Embor.","Wenn Ihr ein Problem mit Prophezeiungen habt, dann seht Euch nur um: Alle außer einer Inkarnation der Nephilim sind hier versammelt.\! Wir haben viel zu besprechen – gehen wir nach Embor zurück."
"Oh, really?\! And just why should Beatrix Pendergast comply with the likes of you, hmm?","Ach ja?\! Und warum in aller Welt würde Beatrix Pendergast mit Euresgleichen gemeinsame Sache machen, hmmm?"
"I have an army, and you owe me one.","Ich habe eine Armee, und Ihr seid mir was schuldig."
"You know... I always did love it in Embor.\! What with the year-round, bone-chilling winter, the endless, featureless fields... the bland, lard-based cuisine...\| yes, what a lovely destination.\! After you!","Wisst Ihr … Embor hat mir schon immer besonders gut gefallen.\! Das ganze Jahr über klirrend kalt, die endlose karge Landschaft … die faden Gerichte auf Schmalzbasis …\| Ja, ein wunderbares Ziel.\! Nach Euch!"
