ENGLISH,GERMAN
\n[8]. You honor me with your presence.,\n[8]. Ihr erweist mir die Ehre.
"I have so many questions for you, Diana.","Ich habe so viele Fragen an Euch, Diana."
Is your purpose unclear?,Seid Ihr Euch Eurer Ziele ungewiss?
"It's about the Temple.\! What's the deal with the priestesses, and the other Temple devotees?","Es geht um den Tempel.\! Was hat es mit den Priesterinnen auf sich, und den anderen Anhängern des Tempels?"
"The Sisterhood of Mercy are a seperate holy order.\! The Sisterhood of Justice and the Male Paladins take their direction from me, and I am second in command to Grandmaster Oxley.","Die Schwesternschaft der Gnade ist ein eigenständiger heiliger Orden.\! Die Schwesternschaft des Rechts und die männlichen Paladine erhalten ihre Anweisungen von mir, und ich bin die Stellvertreterin von Großmeister Oxley."
Righto.\! What's this bond you have with Edelia?,Aha.\! Was ist das für eine Verbindung zwischen Euch und Edelia?
"She is tasked with caring for my son, and providing support for me in addition to her duties to the Sisterhood of Mercy.\! It was Edelia who crafted me this ruby amulet, to remind me of home.\! A small comfort, ever since I was sanctioned for war.","Sie hat die Aufgabe, für meinen Sohn zu sorgen, und zusätzlich zu ihren Aufgaben bei der Schwesternschaft der Gnade mir Unterstützung zu leisten.\! Edelia fertigte mir dieses Rubinamulett als Andenken an meine Heimat.\! Es spendet ein wenig Trost, seit man mir die Erlaubnis gab, in den Krieg zu ziehen."
Wait...\| you were sanctioned?,Moment mal …\| Man hat Euch die Erlaubnis gegeben?
"All female potentials must bear at least one child before they are put in harm's way.\! After Alex was born, I began my Paladin training.","Alle weiblichen Anwärterinnen müssen wenigstens ein Kind gebären, bevor sie sich in Gefahr begeben dürfen.\! Nach Alex’ Geburt begann ich meine Paladinausbildung."
"Makes sense I guess...\| So, who's Alex's father??",Das ergibt wohl Sinn …\| Und wer ist Alex’ Vater?
...He was a devout man who sacrificed much and became one of the Temple's most beloved.\! He and I have lost contact... I try not to let it become a part of my thoughts.,"… Er war ein frommer Mann, der aufgrund seiner Aufopferung ein sehr hohes Ansehen im Tempel genießt.\! Wir haben jedoch den Kontakt verloren … Ich versuche, nicht daran zu denken."
Oh... I'm sorry. Probably too personal.,Oh … Das tut mir leid. Es ist wahrscheinlich zu persönlich.
"It matters not, if the Temple deems it so, it shall be so.\! Alex has my whole heart, and I now have my duty as a mother to a future Temple devotee.","Es spielt keine Rolle. Wenn der Tempel es für richtig erachtet, möge es so sein.\! Mein Herz gehört allein Alex, und nun muss ich bei einem zukünftigen Anhänger des Tempels meinen mütterlichen Pflichten nachkommen."
So when do you get to... you know... enjoy life?,Wann könnt Ihr dann mal … na ja … das Leben auskosten?
"Hmm, consider it is far more enjoyable for a Paladin to live as a warrior, ready to destroy evil in any form it takes.\! By that point of view, my life is enjoyable beyond description.","Hmm, Ihr müsst bedenken, dass es für einen Paladin weit erfreulicher ist, ein kriegerisches Leben zu führen – allzeit bereit, das Böse in welcher Gestalt auch immer zu vernichten.\! In dieser Hinsicht koste ich mein Leben in vollen Zügen aus."
Fascinating. Your way of life is sort of...\| refreshing to see.\! At least there's some semblence of order in this crazy world.,"Faszinierend. Von Eurer Lebensweise zu erfahren, ist irgendwie …\| erfrischend.\! In dieser verrückten Welt scheint es zumindest ein klein wenig Ordnung zu geben."
"Your open mind and open heart are refreshing to me.\! Please, do not hesitate to share your company with me again.","Ich hingegen finde Eure Aufgeschlossenheit und Euren Großmut erfrischend.\! Bitte zögert nicht, mich einmal wieder zu beehren."
Count on it!,Darauf könnt Ihr wetten!
