ENGLISH,GERMAN
"Barnabas, can you believe it?\! We're out here, doing what we prepared to do for years.","Barnabas, ist es denn zu fassen?\! Endlich ziehen wir das durch, worauf wir uns seit Jahren vorbereiten."
"Haven't seen battle since you were a street urchin, \n[8].\! Never thought I'd have to pick up the sword again, but it feels like a warm hug from mother.\! Can't put a price on that!","Als ich das letzte Mal in die Schlacht zog, wart Ihr noch ’n Straßenkind, \n[8].\! Hätte nicht gedacht, dass ich das Schwert noch mal erheben muss, aber es fühlt sich an wie ’ne innige Umarmung von Mutter.\! So was ist mit Gold nicht aufzuwiegen!"
How am I doing?\! Feels like I'm making it up as a I go along.,"Ich bin etwas zwiegespalten.\! Es fühlt sich an, als müsste ich dauernd irgendwie improvisieren."
Ya never really know what you're made of until you're walking the tightrope between life and death on the regular.\! You haven't cracked under the pressure yet.\! By that measure you're right where you need to be.,"Man weiß nie, aus welchem Holz man geschnitzt ist, bis man regelmäßig auf dem schmalen Grat zwischen Leben und Tod wandelt.\! Ihr seid unter dem Druck noch nicht zusammengebrochen.\! In dieser Hinsicht seid Ihr genau am richtigen Fleck."
Not too surprised. Remember yourself as a young street urchin?,"Das überrascht mich nicht. Erinnert Ihr Euch noch an die Zeit, als Ihr ein Straßenkind wart?"
It's a bit foggy...,Nur ganz schwach …
"That war turned too damned many kids to orphans.\! But out of all of 'em, you showed up at our barracks shinin' as bright as a star.\! You just kept on goin', even without single coin to show for it.\! Puts a pauper above a noble in my eyes any day.","Dieser verdammte Krieg hat aus zu vielen Kindern Waisen gemacht.\! Aber nur Ihr seid plötzlich voller Elan bei unserer Kaserne aufgetaucht.\! Ihr habt einfach weitergemacht, selbst wenn Ihr dafür keine müde Münze bekommen habt.\! Ihr zeigt tagein, tagaus, dass ’n Bettler ’nem Adligen jederzeit das Wasser reichen kann."
"I seem to have everyone fooled, then.\! I have so much doubt about myself.\! I don't know why you or someone else much more experienced than I just take over.","Dann habe ich wohl alle an der Nase herumgeführt.\! Ich habe so viele Selbstzweifel.\! Ich verstehe nicht, warum Ihr oder irgendein anderer Veteran nicht einfach das Ruder übernehmt."
"You try that and I'm going back into retirement, heh heh.\! All I wanna do now is bust some bad guys.\! Lots easier than havin' real responsibility.\! You gotta fight through that doubt, kiddo. No reason for it. Believe me when I tell you, you've got this handled.","Nur zu, dann geh ich direkt zurück in den Ruhestand, hehehe.\! Alles, worauf ich jetzt Lust hab, ist ein paar Schurken das Handwerk zu legen.\! Geht viel leichter von der Hand als echte Verantwortung zu tragen.\! Diese Zweifel müsst Ihr überwinden, Grünschnabel. Dafür gibt’s keinen Grund. Ihr könnt mir glauben, Ihr habt alles bestens im Griff."
"Thanks...\! Guess I'll just have to learn to throw you into the front line first, eh?","Danke …\! Schätze, ich muss nur noch lernen, wie ich Euch als Kanonenfutter an die Front schicke, hm?"
"If there's a good reason for it, kid!","Wenn’s dafür ’nen guten Grund gibt, Grünschnabel!"
