ENGLISH,GERMAN
"\c[1]Underground escape route, Westerfield sewers\c[0]",\c[1]Unterirdische Fluchtroute in der Kanalisation von Westerfeld\c[0]
Why are they making us leave?,Warum müssen wir weg?
They said the bad people are coming to take us away from our home.\! They said they are non believers.,"Sie haben gesagt, dass böse Menschen kommen und uns von zu Hause wegbringen wollen.\! Sie meinen, das wären Ungläubige."
"Yeah, this one prolly told 'em we are here.\! We all know he's not a believer like us, he doesn't even want to give up his old name.\! Isn't that right, ALEX?!","Ja. Er hier hat ihnen wahrscheinlich gesagt, wo wir sind.\! Wir wissen doch alle, dass er nicht gläubig ist wie wir. Er will noch nicht mal seinen alten Namen hergeben.\! Oder stimmt das etwa nicht, ALEX?!"
Shut up!\! I didn't tell anyone!!,Halt dein Maul!\! Ich habe gar niemandem was gesagt!
Stupid Alex... we're gonna tell on you.,"Alex, du Blödmann … wir werden dich verpetzen."
Listen! My mom's gonna kill the masters.\! You'll see.\! She's the best fighter in the world.\! Then you can have your real families back!!,Hör mal! Meine Mama wird die Meister töten.\! Du wirst schon sehen.\! Die ist die beste Kämpferin auf der Welt.\! Dann kriegt ihr alle eure echte Familie zurück!
"That's it, you're dead.\! Come on, let's tell the masters we have a sacrifice!!!","Jetzt reicht’s. Jetzt bist du dran.\! Kommt schon! Wir sagen den Meistern, dass wir ein Opfer für sie haben!!!"
Ha ha ha ha...\! Yeah! Get the non believer!!!,Hahahaha …\! Genau! Schnappt den Ungläubigen!
"Alright you little freaks, keep it down in here.\! The Emperor is coming.","Gebt mal Ruhe hier, ihr missratenen Rotzgören.\! Der Kaiser kommt."
"Hello, young man.\! Your name is Alex, yes?\! Don't worry, you can say it here.","Grüß dich, junger Mann.\! Du heißt Alex, ja?\! Keine Angst, hier darfst du das sagen."
"Yes, mister.","Ja, mein Herr."
Are the other children bothering you?,Sind die anderen Kinder gemein zu dir?
"Ha ha... not a tattle-tale, I see.\! Alex, I'm going to take you to a safe place.\! Please come with me.","Haha … ich sehe schon, du bist keine Petze.\! So, Alex, ich bringe dich jetzt an einen sicheren Ort.\! Bitte komm mit."
Do you know where my mom is??,"Wisst Ihr, wo meine Mama ist?!"
"...\| I am sorry, I cannot say I know her.\! But, I am the Emperor - so I should be able to find her, don't you think?","…\| Es tut mir leid, aber die kenne ich nicht.\! Aber ich bin schließlich der Kaiser und sollte sie problemlos finden können. Meinst du nicht?"
Yeah I guess so...,"Ja, bestimmt …"
"The rest of you, follow the masters' instructions.\! The...\| non-believers are coming to get you.","Ihr anderen tut weiter, was die Meister sagen.\! Sonst kommen die …\| Ungläubigen euch holen."
Let's get out of this den of muck...,Nichts wie raus aus diesem Dreckloch …
