ENGLISH,GERMAN
Sir Jaromir...,Fürst Jaromir …
Donar's mercy...\| you live and breathe.,Gnädiger Donar …\| Ihr seid am Leben.
"Only by the mercy of the Nephilim Army. In truth, I should not.",Nur dank der Gnade der Armee der Nephilim. Eigentlich sollte ich es nicht sein.
...\| Why?,…\| Warum?
I...\| am a coward.,Ich …\| bin feige.
How could you speak such words?,Wie könnt Ihr so etwas sagen?
"You do not see it? Sir Jaromir...\| I am a Swordmistress of Sayunaa, sworn to give my life for the integrity and sovereignty of my homeland.\! Now that I have traded my honor to spare my life, that title rings hollow.\! Sayunaa was subdued with nothing but words from the Veridian enemy.","Seht Ihr es nicht? Fürst Jaromir …\| Ich bin eine Schwertmeisterin Sayunaas, die geschworen hat, ihr Leben dafür zu geben, ihre Heimat zu verteidigen.\! Nachdem ich nun meine Ehre aufgegeben habe, um am Leben zu bleiben, scheint dieser Titel nicht mehr passend.\! Sayunaa wurde vom veridianischen Feind nur mit Worten unterworfen."
"Swordmistress of Sayunaa...\| what a grand title. Fitting, for a grand woman.",Schwertmeisterin Sayunaas …\| Ein prächtiger Titel. Er passt zu einer prächtigen Frau.
"I do understand fully, the need to put one's life below that of your sovereign. But, if I could share some insights from my talks with \n[8].\! I believe, if \n[5] were to opine, \n[5] would highlight that we live in an age of profound evil. That, as \n[5] would say ""lofty concepts"", such as reason and honor, have all but been thrown to the wind.\! That your chosen course was far wiser, that you not waste the gift Donar has asked you to use to better this world.\! And to the last part, I cannot disagree.","Ich verstehe absolut den Drang, das eigene Leben weniger zu wertschätzen als das des Herrschers. Doch vielleicht darf ich einige Erkenntnisse aus meinen Gesprächen mit \n[8] an Euch weitergeben.\! Ich denke, \n[8] würde darauf hinweisen, dass wir in einer von ausuferndem Bösen geprägten Zeit leben. Dass „erhabene Konzepte“ wie Vernunft und Ehre quasi aus dem Fenster geworfen wurden.\! Und dass der von Euch gewählte Weg folglich weiser war, weil Ihr die Gabe Donars nicht verschwendet, die er Euch geschenkt hat, auf dass Ihr die Welt verbessert.\! Und dem letzten Teil kann ich nicht widersprechen."
"To dispose of these so-called lofty concepts as a means of gaining advantage...\| That is the way of the schemer. The charlatan.\! It is, so...\| if you'll forgive the analogy...\| Veridian.","Diese sogenannten erhabenen Konzepte aufzugeben, um sich einen Vorteil zu verschaffen …\| Das machen nur heimtückische Intriganten. Betrüger.\! Das ist …\| Wenn Ihr mir das verzeihen mögt …\| Typisch veridianisch."
Ha. Of course.,Ha. Natürlich.
"Sir Jaromir, I believe I am hearing you correctly. There is wisdom in \n[8]'s philosophy from a certain point of view.","Fürst Jaromir, ich denke, ich habe Euch richtig verstanden. Der Philosophie von \n[8] wohnt Weisheit inne, wenn man sie aus dem richtigen Blickwinkel betrachtet."
If you had resisted... if you had gone against the wishes of your leaders...,Wenn Ihr Widerstand geleistet hättet … Euch entgegen der Wünsche Eurer Anführer verhalten hättet …
"The military of Casamir was beyond anything we could have imagined. Had we resisted, our defenses would surely have been crushed. And...","Casamirs Militär war etwas, was wir uns nie hätten vorstellen können. Wenn wir Widerstand geleistet hätten, wäre unsere Verteidigung zerschmettert worden. Und …"
"So too would be the soul of Sayunaa. It would take generations to recover, if at all.\! What is more fundamental to that which defines you? And your homeland?\! I believe Donar would see it that, Swordmistress of Sayunaa, you have fulfilled your duty. By surviving.","Die Seele Sayunaas mit ihr. Es würde Generationen dauern, bis sich das Land davon erholt, wenn überhaupt.\! Was definiert Euch grundlegend? Und Eure Heimat?\! Ich glaube, Donar würde erkennen, dass Ihr als Schwertmeisterin Sayunaas Eure Pflicht erfüllt habt. Indem Ihr überlebt habt."
...Sir Jaromir...\| I did not anticipate this. But it seems Donar has seen fit to deliver you to Sayunaa.\! We truly need your aid...,"Fürst Jaromir …\| Damit habe ich nicht gerechnet. Doch Donar hat es offenbar als richtig erachtet, Euch nach Sayunaa zu bringen.\! Wir brauchen Eure Hilfe dringend …"
...Just as I once did yours.,"… So, wie ich einst Eure brauchte."
Donar watch over us...,Möge Donar über uns wachen …
