ENGLISH,PORTUGUÊS (BRASIL)
"Stay here, \n[8].\! I will deal with the grandmaster myself.","Fique aqui, \n[8].\! Lidarei com o grão-mestre."
Come on...\| I know who you are...\| why are you doing all this?!\! I'm not going to just let you go in alone...,Fala sério...\| Eu sei quem você é...\| Por que está fazendo tudo isso?\! Não deixarei você ir só...
"His power comes from a source outside of what you can comprehend.\! You must leave this to me.\! You would surely die.\! ...\| Don't let that happen, \n[8].","O poder dele vem de uma fonte além da sua compreensão.\! Precisa confiar em mim.\! Você certamente vai morrer.\! ...\| Não deixe isso acontecer, \n[8]."
"You've spared the Nephilim.\! This is very disappointing, Hand of Zanatus.\! We were nearly there... so close to ending our struggle.\! I feel utterly betrayed!","Você poupou os Nephilins.\! Isso é decepcionante, Mão de Zanatus.\! Estávamos quase lá... Tão próximos de pôr um fim em nossa luta.\! É uma traição sem tamanho!"
"There's no need for pretense anymore.\! I learned all I need to know.\! All of your knowledge of the past...\| it is because you were there.\! You've been here since Donar first defeated you in battle.\! Now, you've amassed incredible influence. But that's not enough, is it?\! What do you want?","Não precisa mais fingir.\! Aprendi tudo o que precisava saber.\! Todo o seu conhecimento do passado...\| É porque você estava lá.\! Você vive desde que Donar o derrotou pela primeira vez em uma batalha.\! Agora, você acumulou uma influência respeitável. Mas não foi o suficiente, não é mesmo?\! O que você quer?"
"...\|Indeed, it seems we've exceeded the need for pretense, and I have created something I can no longer control.","... \|Realmente, parece que não precisamos mais de fingimentos e criei algo que não posso mais controlar."
"If you must know, after that battle with Donar, I was forced to remain feeble, hiding, taking full advantage of the pity and mercy of the victors.\! But gradually, my people found our way into the Donari halls of power, that we may finally emerge from the shadows.\! And now, we are fully self-determined, no one will humiliate us again!\! We've enlightened great masses of Donari, and cured them of their misguided loyalty to the false gods.\! You, and the Avatar of Donar, and that imbecile Casamir... all fight within the confines of a human lifetime. Petty concerns, these empires and alliances.\! The greatest struggle of this world is mine... to liberate all of Tahnra from the stranglehold of Donar, the greatest deceiver in all creation.\! Great warrior, it is not about what I want. It is about what should be!","Se quer saber, após a batalha contra Donar, fui forçado a permanecer fraco, me escondendo, me aproveitando da pena e da misericórdia dos vitoriosos.\! Mas, gradualmente, meu povo encontrou nosso caminho para os salões do poder Donari, para que pudéssemos finalmente emergir das sombras.\! E, agora, estamos totalmente autodeterminados, ninguém nos humilhará novamente!\! Iluminamos muitos grupos Donari e os curamos de sua lealdade equivocada aos falsos deuses.\! Você, Avatar de Donar e aquele imbecil do Casamir... todos lutam dentro dos limites de uma vida humana. Preocupações mesquinhas, esses impérios e alianças.\! A maior luta deste mundo é minha... para libertar toda Tahnra do estrangulamento de Donar, o maior enganador de toda a criação.\! Grande guerreiro, não é sobre o que eu quero. É sobre o que deveria ser!"
"...\| You know there's no way I can just sit here and wait, I've got to do something!","...\| Você sabe que não tem como eu me sentar aqui e só esperar, preciso fazer alguma coisa!"
"I told you to stay back, \n[8]...","Falei para se afastar, \n[8]..."
"We meet again, Avatar of Donar!\! Or \n[8], or...\| however you identify these days.\! You do know that there is truly nothing special about you, I hope?\! Perhaps instead, in your limited understanding of things, you've assigned prophecies to that which you cannot explain.\! I suppose it is commendable that you, \n[8], have simply made yourself into a suitable replica for an ancient legend...\! you and your fellow Nephilim worthy hosts for the divine refugees that are the false gods.\! But, perhaps you know that already... ever the skeptic, this one.","Nos encontramos novamente, Avatar de Donar!\! Ou \n[8], ou... \|seja lá como você se identifica hoje em dia.\! Sabe que não há realmente nada de especial sobre você, não é?\! Quem sabe, em vez disso, em sua compreensão limitada das coisas, você tenha atribuído profecias ao que não consegue explicar.\! Suponho que seja louvável que você, \n[8], simplesmente tenha se tornado uma réplica adequada de uma lenda antiga...\! Você e seus companheiros, receptáculos de Nephilins dignos dos refugiados divinos, que são os falsos deuses.\! Mas, talvez você já saiba disso... sempre com seu ceticismo."
"This is a shame, I admit.\! You Donari... this great human experiment, quite the centerpiece of Tahnra!\! A grand and ultimately brittle manifestation of Donar's meddling.\! No matter... in the new world, these silly identities and histories, Veridian, Sayunaari, what have you.\! There is no room for such delineations in this world's future.\! Those who try to cling to ignorance will simply... go extinct, I suppose!\! As for you, \n[8], I'm afraid your journey has come to an end.\! Rest assured, your death will be permanent this time, and will signal the greatest victory against Donar yet, and a harbinger for a new, enlightened age.","Devo admitir, isso é uma vergonha.\! Vocês, donaris... este grande experimento humano, a peça central de Tahnra!\! Uma grande e frágil manifestação da intromissão de Donar.\! Não importa... No novo mundo, essas identidades e histórias tolas, veridianos, sayunaari, o que vocês têm...\! Não há espaço para tais delineações no futuro deste mundo.\! Aqueles que tentarem se apegar à ignorância irão simplesmente... se extinguir, suponho eu!\! Quanto a você, \n[8], receio que sua jornada tenha chegado ao fim.\! Não se preocupe! Sua morte será permanente desta vez e sinalizará a maior vitória contra Donar até agora, além de um prenúncio de uma nova era iluminada."
Aaaagh....\| Being torn apart!!!,Aaaaah...\| Dilacerando!!!
You crazy fool...\| some things never change...,Seu tolo insano...\| Algumas coisas nunca mudam...
\n[8]...\| where is he?,\n[8]...\| Onde está ele?
"Well, his body disappeared in a spectacular way...\| whatever that means.","Bom, o corpo dele desapareceu de um jeito espetacular...\| seja lá o que isso signifique."
Guess I really shook him up.,Acho que realmente o abalei.
How did you manage to hurt him that way?,Como você conseguiu machucá-lo assim?
Blood link...\| thought he could keep me in line with it...\| didn't think I'd really do it...\| did...,Ligação de sangue...\| Achei que ele poderia me manter na linha com isso...\| Não achou que eu realmente faria isso...\|
...Zelos??,... Zelos??
"No...\| Come on, Zelos...","Não...\| Por favor, Zelos..."
Damn...\| I'm still not strong enough.,Droga...\| Ainda não tenho força o suficiente.
"Open, hurry up!!","Abra, depressa!!"
