ENGLISH,PORTUGUÊS (BRASIL)
"Barnabas Fitch, the former Master Sergeant of the Imperial Army.\! After decades of being a soldier, he finally retires to his ranch in Melmonde country.\! Approached many times with offers to join the New Republic, Barnabas rejects, preferring the simple life.","Barnabas Fitch, o antigo Primeiro Sargento do Exército Imperial.\! Após décadas sendo um soldado, ele finalmente se aposentou em seu rancho na região de Melmonde.\! Abordado diversas vezes com ofertas para participar da Nova República, Barnabas rejeitou, preferindo a vida simples."
"Barnabas and Sybil had grown close during the Nephilim War.\! Within Sybil is a miracle...\| a son who, with his two future brothers, will be Barnabas's greatest joy until the end of his days.","Barnabas e Sybil se aproximaram um do outro durante a Guerra Nephilim.\! No ventre de Sybil, há um milagre...\| Um filho que, junto com seus dois futuros irmãos, serão a maior alegria de Barnabas pelo resto de sua vida."
"Sybil Byrne, the restless heart.\! Sybil's allegiances shifted many times in her life, always seeking fame and approval.\! Even though her deeds during the Nephilim War have been honored, Sybil struggles to rebuild her reputation after joining Lysander's mutiny.\! But for the first time, happily accepts the hardship and awaits her long-awaited goal with patience and dilligence.","Sybil Byrne, o coração incansável.\! A lealdade de Sybil mudou muitas vezes em sua vida, sempre buscando fama e aprovação.\! Mesmo que seus feitos durante a Guerra Nephilim tenham sido honrados, Sybil luta para reconstruir sua reputação depois de se juntar ao motim de Lysander.\! Mas, pela primeira vez, aceita com alegria as adversidades e aguarda com paciência e diligência o seu tão esperado objetivo."
"Sybil Byrne, the restless heart.\! She and Jules, after a long friendship, finally found something more between them.\! Jules's ascension to King of Sayunaa has added a twist to their relationship, but they are in love and they plan to marry.\! Jules is urged to bear a full-blooded Sayunaari heir, but to Sybil, this was an unexpected relief, as she never saw herself bearing children anyway.","Sybil Byrne, o coração incansável.\! Ela e Jules, depois de uma longa amizade, finalmente encontraram algo mais entre eles.\! A ascensão de Jules a Rei de Sayunaa acrescentou uma reviravolta ao relacionamento deles, mas eles estão apaixonados e planejam se casar.\! Jules é tem pressa para ter um herdeiro Sayunaari de sangue puro, mas, para Sybil, isso foi um alívio inesperado, já que ela nunca se imaginou tendo filhos."
"Sybil Byrne, the restless heart.\! After regaining her stature with the Temple, she turns her passions to raising her three new sons with Barnabas.\! Though she would not see battle again, her love for her children made her all the more invested in a future free of the evil tyrants she fought so vigorously to defeat.","Sybil Byrne, o coração incansável.\! Depois de recuperar sua posição no Templo, ela voltou sua paixão para criar seus três novos filhos com Barnabas.\! Embora ela não fosse ver a batalha novamente, seu amor por seus filhos a fez investir ainda mais em um futuro livre dos tiranos malignos que ela lutou tão vigorosamente para derrotar."
"Raskuja, the Barek Tor mercenary.\! After the death of Zanatus, he quickly returned to his homeland with a king's ransom in reward for his service to the Nephilim Army.\! Because of the great boon he provided his people, Raskuja became a venerated alpha male, to bare a small army of offspring.\! Raskuja lived to a ripe old age and passed away surrounded by an expansive and adoring family.","Raskuja, o mercenário Barek Tor.\! Após a morte de Zanatus, ele rapidamente voltou para sua terra natal com o resgate de um rei como recompensa por seus serviços ao Exército Nephilim.\! Por causa do grande benefício que forneceu ao seu povo, Raskuja tornou-se um macho-alfa venerado, para gerar um pequeno exército de filhos.\! Raskuja viveu até uma idade avançada e faleceu cercado por uma família grande e adorável."
"Edelia Haugen, of the Sisterhood of Mercy, and Diana's Bonded.\! With Alex back in her custody, Edelia returns to her duties as Diana's support.\! Her example and conduct have been held up as the exemplary Priestess of the Sisterhood of Mercy, which defined the ancient order for many years to come.","Edelia Haugen, da Irmandade da Misericórdia, e Diana formaram uma Ligação.\! Com Alex de volta sob sua custódia, Edelia retornou às suas funções como apoio de Diana.\! Seu exemplo e sua conduta foram considerados como exemplar Sacerdotisa da Irmandade da Misericórdia, que definiu a antiga ordem por muitos anos."
"Though forbidden by the Temple, Lysander and Edelia had fallen in love.\! Edelia has not yet decided to leave tradition, but the two lovers have been inseperable...","Embora proibido pelo Templo, Lysander e Edelia se apaixonaram.\! Edelia ainda não decidiu deixar a tradição, mas os dois amantes têm sido inseparáveis..."
"Karl Jaromir XIII, Duke of the Duchy of Embor.\! He had committed his Duchy and his life to the Nephilim Army from its very inception, all the way to the end.\! As the last major nobleman from a bygone era, Jaromir found himself alone in a new world, one that had looked past the time of lords.\! The founders of the Republic proposed Jaromir become a proconsul - the highest rank of government under the Consul, and to function as a representative for the Embor region.\! Jaromir, putting his people first, accepted the role, and abandoned the idea of noble lineage.\! This astounding act of humility served the new Republic well, setting the stage for new traditions and institutions that would create a lasting peace.","Karl Jaromir XIII, Duque do Ducado de Embor.\! Ele dedicou seu ducado e sua vida ao Exército Nephilim desde o início, por todo o caminho até o fim.\! Como o último grande nobre de uma antiga era, Jaromir se viu sozinho em um novo mundo, um que foi além do tempo dos lordes.\! Os fundadores da República propuseram que Jaromir se tornasse procônsul, o mais alto posto do governo sob o cônsul, e atuasse como representante da região de Embor.\! Jaromir, colocando seu povo em primeiro lugar, aceitou o papel e abandonou a ideia de linhagem nobre.\! Este impressionante ato de humildade serviu bem à nova República, preparando o terreno para novas tradições e instituições que criariam uma paz duradoura."
"The young priestess, Abigayle, had grown fond of Jaromir during their time with \n[8].\! She was more than thrilled to support him in his new role as a key leader of the Republic, and they eventually married.","A jovem sacerdotisa, Abigayle, passou a gostar de Jaromir durante a época que passou com \n[8].\! Ela ficou mais do que emocionada em apoiá-lo em seu novo papel como um dos principais líderes da República, e eles acabaram se casando."
