ENGLISH,PORTUGUÊS (BRASIL)
All the children are safe?,Todas as crianças estão a salvo?
"Yep, but we're runnin' out of places to send 'em...","Sim, mas estamos ficando sem lugares para enviá-las..."
And what of our partners in the other cities?,E os nossos parceiros nas outras cidades?
Not a peep. Wouldn't get my hopes up.,Nem um pio. Não aumentaria minhas esperanças.
"We have defeated so many of them, and freed so many children... and I am no closer to my Alex.\! The Empire takes them to the detention camps faster than we can move.\! We cannot keep this up forever...",Derrotamos tantos deles e libertamos tantas crianças... e não estou mais perto do meu Alex.\! O Império os leva para os campos de detenção mais rápido do que podemos nos mover.\! Não podemos continuar assim para sempre...
I take it you all feel the same?,"Acho que todos vocês sentem o mesmo, certo?"
I'll keep swingin' my sword and killin' Imperials until my strength gives out.\! Big picture be damned.,Vou continuar brandindo minha espada e matando Imperiais até que minhas forças se esgotem.\! Que o todo se exploda.
Our men are pretty exhausted...,Nossos homens estão bem exaustos...
"This is the fourth home we've made for ourselves.\! They will eventually come here as well, and we will have to find a fifth.","Esta é a quarta casa que construímos para nós.\! Eventualmente, virão para cá também e teremos que encontrar uma quinta."
It is time we finally pursued the prophecy as we should have long ago.\! Gods forgive me for my lack of faith...,É hora de finalmente perseguirmos a profecia como deveríamos ter feito há muito tempo.\! Que os deuses me perdoem pela minha falta de fé...
"Alex... I'm sorry...\| I will find you some day, but for now I must follow my faith...","Alex... Sinto muito...\| Vou encontrá-lo algum dia, mas, por ora, devo seguir minha fé..."
Ya mean that page you found from the monastery ruins?,Você quer dizer aquela página que encontrou nas ruínas do mosteiro?
"""Back to where it all began"" were the Grandmaster's dying words, as he handed me the key to the vault.\! These words have haunted me since \n[8] left us.\! The page, and his words, point to the holy mountain, Mount Ptolomea, where the first battle with Zanatus took place.\! I must make the pilgrimage to the holy site there.","""De volta para onde tudo começou"" foram as últimas palavras do Grão-mestre ao me entregar a chave do cofre.\! Essas palavras me assombraram desde que \n[8] nos deixou.\! A página e suas palavras apontam para a montanha sagrada, o Monte Ptolomea, onde ocorreu a primeira batalha contra Zanatus.\! Devo fazer a peregrinação até o local sagrado lá."
Only the gods above can be our salvation now...,Somente os deuses acima podem ser nossa salvação agora...
"If I must, I will do this alone.","Se for preciso, farei isso só."
"Problem bein', not even you could go that route by your lonesome.\! The only way is through the Imperial palace... they've got that holy site guarded by some magical doodads.",O problema é que nem mesmo você poderia seguir esse caminho sem companhia.\! O único caminho é através do Palácio Imperial... eles têm aquele local sagrado protegido por alguns apetrechos mágicos.
"You know the way, Barnabas?","Você conhece o caminho, Barnabas?"
"Yep, but yer not gonna like it.\! I betcha we can break into the palace through the sewer exits, but even that's got an Imperial presence guarding it on the outside.\! You'll need all of us to get in there.\! ...And ya got me so far.","Sim, mas vocês não vão gostar dele.\! Aposto que podemos invadir o palácio pelas saídas de esgoto, mas até lá há uma guarda imperial guardando-a do lado de fora.\! Você vai precisar de todos nós para entrar lá.\! ... E você já nos trouxe tão longe."
"Of course I will support you as well, Sister Diana...\! As will my brother, yes?","Claro que também vou apoiá-la, Irmã Diana...\! Assim como meu irmão, certo?"
It looks like my sister has decided for me!\! I'll do my best...,Parece que minha irmã decidiu por mim!\! Farei o meu melhor...
Diana...,Diana...
"I've stuck by your side through much worse.\! Well, not sure we've ever tried to break into the capital of a world-spannin' empire before, but hey, y'only live once, I say.","Eu fiquei ao seu lado por coisas muito piores.\! Bem, não tenho certeza se já tentamos invadir a capital de um império mundial antes, mas... ei, só se vive uma vez."
"Thank you...\| And for the last two years as well.\! We have fought, and we have run away, but at least, we are still here, still fighting.\! If I die on this mission, I will die a free woman, with my knee unbent to the will of evil.\! I do not expect any of you to throw your lives away.\! Once I am on the path to Mount Ptolomea, please go into hiding, or retreat back here to safety...","Obrigada...\| E obrigada pelos últimos dois anos também.\! Lutamos e fugimos, mas, pelo menos, ainda estamos aqui, ainda lutando.\! Se eu morrer nesta missão, morrerei uma mulher livre, sem me ajoelhar à vontade do mal.\! Não espero que vocês abram mão de suas vidas.\! Assim que eu estiver no caminho para o Monte Ptolomea, por favor, escondam-se ou voltem para cá em segurança..."
"Don't say g'bye just yet, lady.\! Come on, let's give fate and prophecy a little nudge in the right direction...","Não diga adeus ainda, senhorita.\! Vamos, hora de dar um empurrãozinho para o destino e para a profecia na direção certa..."
