ENGLISH,PORTUGUÊS (BRASIL)
Sir Jaromir...,Sir Jaromir...
Donar's mercy...\| you live and breathe.,Pela misericórdia de Donar...\| Você ainda vive.
"Only by the mercy of the Nephilim Army. In truth, I should not.",Somente pela misericórdia do Exército Nephilim. A verdade é que não deveria.
...\| Why?,...\| Por quê?
I...\| am a coward.,Eu...\| sou um covarde.
How could you speak such words?,Como pode dizer tais palavras?
"You do not see it? Sir Jaromir...\| I am a Swordmistress of Sayunaa, sworn to give my life for the integrity and sovereignty of my homeland.\! Now that I have traded my honor to spare my life, that title rings hollow.\! Sayunaa was subdued with nothing but words from the Veridian enemy.","Não consegue ver? Sir Jaromir...\| Eu sou uma Espadachim de Sayunaa, jurei dar minha vida pela integridade e soberania de minha terra natal.\! Agora que troquei minha honra para poupar minha vida, esse título soa vazio.\! Sayunaa foi subjugada por nada além de palavras do inimigo veridiano."
"Swordmistress of Sayunaa...\| what a grand title. Fitting, for a grand woman.",Espadachim de Sayunaa...\| que título imponente. Adequado para uma mulher imponente.
"I do understand fully, the need to put one's life below that of your sovereign. But, if I could share some insights from my talks with \n[8].\! I believe, if \n[5] were to opine, \n[5] would highlight that we live in an age of profound evil. That, as \n[5] would say ""lofty concepts"", such as reason and honor, have all but been thrown to the wind.\! That your chosen course was far wiser, that you not waste the gift Donar has asked you to use to better this world.\! And to the last part, I cannot disagree.","Entendo totalmente a necessidade de colocar a vida de alguém abaixo de sua soberania. Mas, se eu pudesse compartilhar algumas compreensões de minhas conversas com \n[8].\! Acredito que se \n[5] estivesse aqui para opinar, citaria que vivemos em uma era de mau profundo. Como \n[5] diria “conceitos elevados”, como razão e honra, foram jogados ao vento.\! Que seu caminho escolhido foi muito mais sábio, que você não desperdiçou o dom que Donar pediu para você usar para melhorar este mundo.\! Pelo até essa última parte, não sou capaz de discordar."
"To dispose of these so-called lofty concepts as a means of gaining advantage...\| That is the way of the schemer. The charlatan.\! It is, so...\| if you'll forgive the analogy...\| Veridian.",Para dispor desses assim chamados conceitos elevados como um meio de se obter vantagem...\| Esse é o caminho do maquinador. Do charlatão.\! É tão...\| me perdoe a analogia...\| Veridiano.
Ha. Of course.,Haha! É claro.
"Sir Jaromir, I believe I am hearing you correctly. There is wisdom in \n[8]'s philosophy from a certain point of view.","Sir Jaromir, acredito que o compreendo. De certo ponto de vista, há sabedoria na filosofia de \n[8]."
If you had resisted... if you had gone against the wishes of your leaders...,Se você tivesse resistido... se tivesse ido contra o desejo de seus líderes...
"The military of Casamir was beyond anything we could have imagined. Had we resisted, our defenses would surely have been crushed. And...","Os militares de Casamir estavam além de qualquer coisa que poderíamos imaginar. Se tivéssemos resistido, nossas defesas certamente teriam sido esmagadas. E..."
"So too would be the soul of Sayunaa. It would take generations to recover, if at all.\! What is more fundamental to that which defines you? And your homeland?\! I believe Donar would see it that, Swordmistress of Sayunaa, you have fulfilled your duty. By surviving.","O mesmo aconteceria com a alma de Sayunaa. Levaria gerações para recuperar, isso se fosse possível.\! O que é mais fundamental do que aquilo que te define? E à sua terra natal?\! Acredito que Donar veria assim. Espadachim de Sayunaa, você cumpriu seu dever. Ao sobreviver."
...Sir Jaromir...\| I did not anticipate this. But it seems Donar has seen fit to deliver you to Sayunaa.\! We truly need your aid...,... Sir Jaromir...\| Não esperava por isso. Mas parece que Donar vê como correto levá-lo a Sayunaa.\! Precisamos verdadeiramente de sua ajuda...
...Just as I once did yours.,... Assim como precisei da sua.
Donar watch over us...,Que Donar nos acompanhe...
