ENGLISH,PORTUGUÊS (BRASIL)
Yes? Can I help you?,Pois não? Posso ajudar?
I am simply greeting a new friend among us!\! Let me express my pleasure in bringing you into our little band of misfits.,Estou só cumprimentando alguém novo entre nós!\! Deixe-me expressa o prazer que tenho em trazer você para nosso pequeno grupo de desajustados.
Thank you. I am grateful to be out of my former situation.,Agradeço a consideração. Fico feliz de sair da minha antiga situação.
And I must say I am grateful to have the scenery greatly improved with your arrival.,E devo dizer a gratidão que sinto por ter o cenário melhorado com a sua chegada.
...Scenery?\! How flattering.,... Cenário?\! Que honra.
You know... you do seem a little out of sorts.\! Did you bump your head when you fell from heaven?,Sabe... você parece um pouco fora de si.\! bateu a cabeça quando caiu do céu?
...By Donar.\! That was just pathetic...,... Por Donar.\! Isso foi patético...
"Just like my heart, every day it lives on without you...","Assim como meu coração, que dia após dia vive sem você..."
...We have just met. How does that make any sense?\! ...Has this tripe ever worked?,... Acabamos de nos conhecer. Como isso faria algum sentido?\! ... Essas cantadas já funcionaram alguma vez?
"Nice try, but a magician never reveals his tricks.","Boa tentativa, mas um mágico nunca revela seus truques."
...\| I will just see myself out.,...\| Me despeço agora.
By all means!\! May the wind be at your back.,Sem problemas!\! Que os ventos lhe acompanhem.
Sure...,Claro...
