ENGLISH,PORTUGUÊS (BRASIL)
\c[1]Port Jenos harbor\c[0],\c[1]Cair do Porto Jenos\c[0]
Thank you for coming prior to your army's departure.\! You certainly are the trusting type...,Agradeço por vir antes da partida do seu exército.\! Certamente você passa confiança...
Who are you?,Quem é você?
My name is Lysander.,Meu nome é Lysander.
Wha... Lysander?!\! General Lysander? Of the Imperial Army?,O qu... Lysander??\! General Lysander? Do Exército Imperial?
Yes. I know your name from the Academy.\! Seems we never crossed paths before.,Sim. Conheço seu nome da Academia.\! Parece que nunca cruzamos nossos caminhos antes.
I just thought you would be older...,Só imaginei que você seria... mais velho.
Heh heh....,Hehe...
...How did you know where to find me?,... Como sabia onde me encontrar?
All that matters now is that I come to you with a warning.\! News is already spreading... Empress Florina was murdered.,Tudo o que importa agora é que vim até você com um aviso.\! As notícias já estão se espalhando... A Imperatriz Florina foi assassinada.
"War is imminent.\! The Empress's death has opened old wounds, sparked old rivalries.\! The two strongest Dukes, Lothair and Terenor, have mobilized their armies.\! It's civil war, and it's just a matter of time.","A guerra é iminente.\! A morte da Imperatriz abriu velhas feridas e atiçou antigas rivalidades.\! Os dois duques mais fortes, Lothair e Terenor, mobilizaram seus exércitos.\! É uma guerra civil e é só uma questão de tempo."
"Lysander, there's got to be more to this... and you know who.","Lysander, deve haver mais coisa por trás disso... e você deve saber quem."
"Careful what you say, \n[8].\! The Prime Minister is very popular among the people.\! He has surrounded himself with powerful allies...","Cuidado com o que diz, \n[8].\! O Primeiro-Ministro é bem popular entre o povo.\! Ele se cercou de poderosos aliados..."
"Then you believe he is responsible for the murder?\! Come on, just admit it!\! He's been obsessed with becoming Emperor for so long.\! He would do anything...",Então você acredita que ele é o responsável pelo assassinato?\! Vamos lá! Admita!\! Ele tem sido obcecado em se tornar Imperador há muito tempo.\! Ele faria qualquer coisa...
You must keep your voice down.,Mantenha sua voz mais baixa.
"There are those among us in the Imperial Army who think as you do.\! Do not act rashly. Casamir will make a mistake eventually.\! For now, you should stay with the Temple.\! When I have collected enough evidence to expose Casamir, I will find you.","Há outros entre nós no Exército Imperial que pensam como você.\! Não aja precipitadamente. Eventualmente, Casamir cometerá algum erro.\! Por ora, você deve permanecer com o Templo.\! Quando eu tiver coletado evidência o suficiente para expor Casamir, lhe encontrarei."
"Until then, I trust you will keep this meeting to yourself?","Até lá, posso confiar que você manterá este encontro em segredo?"
Of course...,É claro...
