ENGLISH,PORTUGUÊS (BRASIL)
"It is a miracle that we found you when we did, \n[8].","É um milagre que te encontramos quando te encontramos, \n[8]."
...Who were my captors?,... Quem me capturou?
The Followers of Zanatus.\! My mortal enemy. Scourge to all the innocent people of our world.,Os Seguidores de Zanatus.\! Meu inimigo mortal. Praga para todas as pessoas inocentes do nosso mundo.
Zanatus...,Zanatus...
"Yep, that one. Some call him the devil, the bringer of death, dark god, what have you.\! Turns out he's got quite the following here among us mortals, a cult of sorts.\! They might've taken you away, never to be seen again had we been just a tad slower.","É, esse mesmo. Alguns o chamam de demônio, o precursor da morte, deus das trevas...\! Parece que ele conseguiu um bando de seguidores entre nós, mortais, um tipo de culto.\! Eles teriam te levado para nunca mais encontrar caso tivéssemos demorado um pouco mais."
Have you heard of the battle between the dark god Zanatus and Donar?,Você ouviu falar da batalha entre o deus das trevas Zanatus e Donar?
No,Não
Yes,Sim
"\c[1]In a time long before living memory, the world was covered in despair.\! The dark god Zanatus was summoned into our world, and the human race endured unspeakable tyranny and hardship under his rule.","\c[1]Em uma época, muito antes da memória dos vivos, o mundo estava coberto em desespero.\! O deus das trevas Zanatus foi evocado ao nosso mundo e a raça humana suportou tirania e dificuldades inimagináveis sob seu comando."
"\c[1]Seeking to liberate their people, five warriors lead by the legendary hero, Donar, rose up in rebellion.\! Donar became the symbol of hope, and for the first time, people believed that Zanatus could be defeated, and they could be free.","\c[1]Buscando libertar seu povo, cinco guerreiros, liderados pelo lendário herói Donar, se ergueram em rebelião.\! Donar se tornou o símbolo da esperança e, pela primeira vez, as pessoas acreditaram que Zanatus poderia ser derrotado e que poderiam ser libertos."
"\c[1]On the brink of defeat against overwhelming odds, the five heroes received the boon of the heavens.\! With this new power, they pushed back the demonic forces of Zanatus, and Donar plunged his blade into the heart of the dark god himself, sending him to the void.","\c[1]À beira da derrota e contra todas as adversidades, os cinco heróis receberam a benção dos céus.\! Com esse novo poder, eles lutaram contra as forças demoníacas de Zanatus, e Donar cravou sua espada no coração do próprio deus das trevas, enviando-o de volta ao vazio."
"\c[1]With the defeat of Zanatus followed the collapse of his empire.\! The human survivors, guided by faith, planted the seeds of civilization as we know it today, and prospered for centuries.","\c[1]Com a derrota de Zanatus, seguiu o colapso de seu império.\! Os humanos que sobreviveram, guiados pela fé, plantaram as sementes da civilização como a conhecemos hoje, que prosperou por séculos."
Yep... the event which the history books say forged our world.\! Makes for a great story.,Sim... o evento que os livros de história diz ter forjado nosso mundo.\! Dá uma ótima história.
This ancient battle is about to return to our world.\! Everything has been set into motion as it is told in the prophecy.\! This is why the cultists have mobilized... they are searching for the Nephilim.,"A batalha ancestral está prestes a voltar ao nosso mundo.\! Tudo já se encaminha, igual ao que conta a profecia.\! Por isso que os adoradores se mobilizaram... Eles estão em busca de Nephilim."
...Nephilim? You mean the giants in children's fairy tales?,... Nephilim? Você quer dizer os gigantes dos contos de fadas infantis?
"The five heroes who defeated Zanatus so long ago ascended to the heavens to watch over us as the gods.\! Their spirits have seen fit to return to our world to be reborn into five mortals, five Nephilim.\! We of the Temple have no doubt...\| war is coming, and Zanatus is marshalling his forces against us.","Os cinco heróis que derrotaram Zanatus há tanto tempo subiram aos céus para nos vigiar como deuses.\! Seus espíritos parecem destinados a voltar ao nosso mundo para renascerem como cinco mortais, cinco Nephilins.\! Nós do Templo não temos dúvida... \| a guerra está chegando e Zanatus escolhendo suas forças contra nós."
"Come on, Diana. Are you gonna tell \n[1] or do I have to?\! We did just witness you in battle...","Qual é, Diana. Você conta para \n[1] ou eu conto?\! Acabamos de te ver em batalha..."
"...What, are you supposed to be one of these Nephilim or something?",... O quê? É para você ser um desses Nephilins ou algo do tipo?
"The prophecy is not so easily interpreted. The Temple Grandmaster Oxley believes I bear the characteristics of a Nephilim, due to my lineage.","A profecia não é interpretada tão facilmente assim. O Grão-mestre Oxley do Templo acredita que eu carrego as características de um Nephilim, devido à minha linhagem."
"But you were the only survivor we found here.\! They know something about you, \n[8].\! That makes you a part of the prophecy.","Mas você foi a única pessoa sobrevivente que encontramos aqui.\! Eles sabem algo a seu respeito, \n[8].\! Isso te torna parte da profecia."
"That's...\| Come on.\! There's nothing special about me, I'm just on the wrong side of Casamir's scheming.\! If you expect me to just listen and believe...",Isso é...\| Fala sério.\! Não há nada de especial sobre mim. Só estou do lado errado do esquema de Casamir.\! Se espera que eu só escute e acredite...
You need not simply believe.\! Look.,Você não precisa só acreditar.\! Veja.
