ENGLISH,PORTUGUÊS (BRASIL)
"Damn you, Antares. All these men had to die just to fulfill your delusions. Good men... wasted.","Maldito seja, Antares. Todos esses homens precisavam morrer só para alcançar os seus delírios? Bons homens... desperdiçados."
Empress Florina... Hang tight! It's almost over!,Imperatriz Florina... Aguente firme! Está quase no fim!
Florina...\| I have failed.,Florina...\| Falhei.
General... just let it end now...\| Turn yourself in to these people... There's no more reason to fight...,General... deixe o fim chegar...\| Entregue-se a essas pessoas... Não há mais motivo para lutar...
"I will die this day, Imperials. But I will live on in the hearts of those who have been betrayed, who walk this life a stranger in their own lands.","Morrerei hoje, imperialistas. Mas viverei nos corações daqueles que foram traídos, que caminharam nesta vida como estranhos em suas próprias terras."
"You, Imperials, have forgotten us. Those who bled for you, and those who now toil for you. But the people are beginning to see!\! And when you have finally pushed too hard, and plunged my homeland into chaos, those who survive will remember you as traitors.","Vocês, imperialistas, esqueceram de nós. Aqueles que sangraram por vocês e aqueles que agora trabalham por vocês. Mas as pessoas estão começando a ver!\! E, quando vocês tiverem forçado demais e mergulhado minha terra natal em caos, aqueles que sobreviverem lembrarão de vocês como traidores."
What are you doing?!\! .....NO!!!!,O que está fazendo??\!... NÃO!!!!
"Holy Donar, take me...","Santo Donar, leve-me..."
All this... for what...,Tudo isso... pelo quê...
He admitted defeat and died with honor. It is the only way an old warrior like him could go.,Ele admitiu derrota e morreu com honra. É o único jeito que um velho guerreiro como ele poderia morrer.
"No, this is different. There is a chill in my bones.","Não, isso é diferente. Sinto arrepios na espinha."
All this sentiment over a relic of the past? It escapes me...,Todo esse sentimento por uma relíquia do passado? Não entendo...
Zelos...\| What's going on...,Zelos...\| O que está acontecendo?
"Stay calm, \n[8]...","Acalme-se, \n[8]..."
"\n[8], Zelos. I must congratulate you on your victory. Your key role in dispatching of the rebel Antares is noted, and for that you have earned our gratitude.","\n[8], Zelos. Devo parabenizá-los pela vitória. Seu papel fundamental de despachar o rebelde Antares foi percebido e, por isso, vocês têm nossa eterna gratidão."
"That gratitude will serve you well in what's coming for you. On the behalf of the Empire of Veridia, you are hereby guilty of high treason and conspiracy to murder the Empress.\! Yes, we've heard of your plans for treachery, \n[8], and so too will all the world.","Essa gratidão lhe servirá bem no que os espera. Em nome do Império de Veridia, vocês são aqui declarados culpados de alta traição e conspiração para assassinar a Imperatriz.\! Sim, ouvimos os seus planos de traição, \n[8], bem como o mundo inteiro ouvirá."
That's not at all what...,Não é nada disso que...
...Is this some kind of joke?!,... Isso é algum tipo de piada?
"Troops, you may fire when ready. Numbing poison, they are to be kept alive.","Tropas, podem atirar quando estiverem prontos. Veneno anestésico. Eles precisam ser mantidos vivos."
"AAUUGGHH!! \n[8]!! What have you traitors done?! Face me, you cowards! Come to meet your deaths!","AAAAAAAH!! \n[8]!! Traidores! O que vocês fizeram?? Enfrentem-me, covardes! Venham de encontro às suas mortes!"
"Imbeciles... we discussed this! Don't cross blades with that one - shoot him, now!!","Imbecis... já discutimos sobre isso! Não troquem golpes com aquele ali... Atirem nele, agora!!"
Ugghhh....\|\| Is that all you've got?!,Agghhh....\|\| Isso é tudo o que têm??
Casamir...\| W-What's going on?,Casamir...\| O... O que está acontecendo?
"My Empress... it is a relief we were able to uncover \n[8]'s plot. Rest assured, the traitors will be dealt with. ...Is something else the matter?","Minha Imperatriz... é um alívio que pudemos desvendar os planos de \n[8]. Fique tranquila, lidaremos com os traidores. ... Posso ajudar em mais alguma coisa?"
"...but, why would...","... mas, por que vocês..."
"It shocked me as well. But a head of state naturally has many enemies, it is the way of politics in this age.\! Now then, let us return to the capital and put all this nonsense behind us, hmm? After you.","Também me chocou. Mas uma cabeça de estátua naturalmente tem muitos inimigos. É como a política funciona nesta era.\! Agora, vamos retornar à capital e deixar toda essa bagunça para trás, ok? Após, vossa majestade."
A-Alright....,C... certo...
"Florina, assigned as a child the privilege to sit on the Imperial throne...\| because of a blood relation that barely qualifies as legitimate.\! The high seat above all the world. Does someone like you even appreciate the power that it emanates?\! Some day, this land will have a leader that gives it the reverence it deserves...\! As you breathe your dying breaths, take solace in knowing I will take great care of all the people of this land.","Florina, nomeada quando criança ao privilégio de se sentar no trono imperial...\| por conta de uma relação de sangue mal se qualifica como legítima.\! O grande trono sobre todo o mundo. Alguém como você ao menos aprecia o poder que ele emana?\! Algum dia, estas terras terão um líder que dá o devido valor que elas merecem... \! Enquanto dá seus últimos suspiros, console-se ao saber que cuidarem bem de todo o povo dessas terras."
